company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta EX (O) Diesel,Engine Type,1.5L U2 CRDi
HYUNDAI,CRETA,Creta EX (O) Diesel,Displacement,1493 cc
HYUNDAI,CRETA,Creta EX (O) Diesel,Max Power,114bhp@4000rpm
HYUNDAI,CRETA,Creta EX (O) Diesel,Max Torque,250Nm@1500-2750rpm
HYUNDAI,CRETA,Creta EX (O) Diesel,No. of Cylinders,4
HYUNDAI,CRETA,Creta EX (O) Diesel,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta EX (O) Diesel,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta EX (O) Diesel,Fuel Supply System,CRDi
HYUNDAI,CRETA,Creta EX (O) Diesel,Turbo Charger,YES
HYUNDAI,CRETA,Creta EX (O) Diesel,Transmission Type,Manual
HYUNDAI,CRETA,Creta EX (O) Diesel,Gearbox,6-Speed
HYUNDAI,CRETA,Creta EX (O) Diesel,Drive Type,FWD
HYUNDAI,CRETA,Creta EX (O) Diesel,Fuel Type,Diesel
HYUNDAI,CRETA,Creta EX (O) Diesel,Diesel Mileage ARAI,21.8 kmpl
HYUNDAI,CRETA,Creta EX (O) Diesel,Diesel Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta EX (O) Diesel,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta EX (O) Diesel,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta EX (O) Diesel,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta EX (O) Diesel,Steering Type,Electric
HYUNDAI,CRETA,Creta EX (O) Diesel,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta EX (O) Diesel,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta EX (O) Diesel,Front Brake Type,Disc
HYUNDAI,CRETA,Creta EX (O) Diesel,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta EX (O) Diesel,Length,4330 mm
HYUNDAI,CRETA,Creta EX (O) Diesel,Width,1790 mm
