company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta King DT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta King DT,Displacement,1497 cc
HYUNDAI,CRETA,Creta King DT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta King DT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta King DT,No. of Cylinders,4
HYUNDAI,CRETA,Creta King DT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta King DT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta King DT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta King DT,Turbo Charger,NO
HYUNDAI,CRETA,Creta King DT,Transmission Type,Manual
HYUNDAI,CRETA,Creta King DT,Gearbox,6-Speed
HYUNDAI,CRETA,Creta King DT,Drive Type,FWD
HYUNDAI,CRETA,Creta King DT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta King DT,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta King DT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta King DT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta King DT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta King DT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta King DT,Steering Type,Electric
HYUNDAI,CRETA,Creta King DT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta King DT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta King DT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta King DT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta King DT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta King DT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta King DT,Length,4330 mm
HYUNDAI,CRETA,Creta King DT,Width,1790 mm
HYUNDAI,CRETA,Creta King DT,Height,1635 mm
HYUNDAI,CRETA,Creta King DT,Seating Capacity,5
HYUNDAI,CRETA,Creta King DT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta King DT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta King DT,No. of Doors,5
HYUNDAI,CRETA,Creta King DT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta King DT,Power Steering,YES
HYUNDAI,CRETA,Creta King DT,Air Conditioner,YES
HYUNDAI,CRETA,Creta King DT,Heater,YES
HYUNDAI,CRETA,Creta King DT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta King DT,Ventilated Seats,YES
HYUNDAI,CRETA,Creta King DT,Electric Adjustable Seats,Front
HYUNDAI,CRETA,Creta King DT,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta King DT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta King DT,Trunk Light,YES
HYUNDAI,CRETA,Creta King DT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta King DT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta King DT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta King DT,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta King DT,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta King DT,Rear AC Vents,YES
HYUNDAI,CRETA,Creta King DT,Cruise Control,YES
HYUNDAI,CRETA,Creta King DT,Parking Sensors,Front & Rear
HYUNDAI,CRETA,Creta King DT,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta King DT,KeyLess Entry,YES
HYUNDAI,CRETA,Creta King DT,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta King DT,Cooled Glovebox,YES
HYUNDAI,CRETA,Creta King DT,Voice Commands,YES
HYUNDAI,CRETA,Creta King DT,Paddle Shifters,NO
HYUNDAI,CRETA,Creta King DT,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta King DT,Central Console Armrest,With Storage
HYUNDAI,CRETA,Creta King DT,Hands-Free Tailgate,NO
HYUNDAI,CRETA,Creta King DT,Idle Start-Stop System,YES
HYUNDAI,CRETA,Creta King DT,Rear Window Sunblind,YES
HYUNDAI,CRETA,Creta King DT,Automatic Headlamps,YES
HYUNDAI,CRETA,Creta King DT,Follow Me Home Headlamps,YES
HYUNDAI,CRETA,Creta King DT,Additional Features,Sunglass holder
HYUNDAI,CRETA,Creta King DT,Voice assisted sunroof,YES
HYUNDAI,CRETA,Creta King DT,Drive Mode Types,NA
HYUNDAI,CRETA,Creta King DT,Power Windows,Front & Rear
HYUNDAI,CRETA,Creta King DT,Cup Holders,Front & Rear
HYUNDAI,CRETA,Creta King DT,Tachometer,YES
HYUNDAI,CRETA,Creta King DT,Glove Box,YES
HYUNDAI,CRETA,Creta King DT,Digital Odometer,YES
HYUNDAI,CRETA,Creta King DT,Dual Tone Dashboard,YES
HYUNDAI,CRETA,Creta King DT,Additional Features,Rear parcel tray
HYUNDAI,CRETA,Creta King DT,Digital Cluster,Full
HYUNDAI,CRETA,Creta King DT,Digital Cluster Size,10.25 Inch
HYUNDAI,CRETA,Creta King DT,Upholstery,Leatherette
HYUNDAI,CRETA,Creta King DT,Rear Window Wiper,YES
HYUNDAI,CRETA,Creta King DT,Rear Window Washer,YES
HYUNDAI,CRETA,Creta King DT,Rear Window Defogger,YES
HYUNDAI,CRETA,Creta King DT,Wheel Covers,NO
HYUNDAI,CRETA,Creta King DT,Alloy Wheels,YES
HYUNDAI,CRETA,Creta King DT,Rear Spoiler,YES
HYUNDAI,CRETA,Creta King DT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,CRETA,Creta King DT,Integrated Antenna,YES
HYUNDAI,CRETA,Creta King DT,Projector Headlamps,NO
HYUNDAI,CRETA,Creta King DT,Roof Rails,YES
HYUNDAI,CRETA,Creta King DT,Antenna,Shark Fin
HYUNDAI,CRETA,Creta King DT,Sunroof,Panoramic
HYUNDAI,CRETA,Creta King DT,Boot Opening,Electronic
HYUNDAI,CRETA,Creta King DT,Puddle Lamps,YES
HYUNDAI,CRETA,Creta King DT,Tyre Size,215/55 R18
HYUNDAI,CRETA,Creta King DT,Tyre Type,Radial Tubeless
HYUNDAI,CRETA,Creta King DT,LED DRLs,YES
HYUNDAI,CRETA,Creta King DT,LED Headlamps,YES
HYUNDAI,CRETA,Creta King DT,LED Taillights,YES
HYUNDAI,CRETA,Creta King DT,Anti-lock Braking System (ABS),YES
HYUNDAI,CRETA,Creta King DT,Central Locking,YES
HYUNDAI,CRETA,Creta King DT,Child Safety Locks,YES
HYUNDAI,CRETA,Creta King DT,Anti-Theft Alarm,YES
HYUNDAI,CRETA,Creta King DT,No. of Airbags,6
HYUNDAI,CRETA,Creta King DT,Driver Airbag,YES
HYUNDAI,CRETA,Creta King DT,Passenger Airbag,YES
HYUNDAI,CRETA,Creta King DT,Side Airbag,YES
HYUNDAI,CRETA,Creta King DT,Side Airbag-Rear,NO
HYUNDAI,CRETA,Creta King DT,Day & Night Rear View Mirror,YES
HYUNDAI,CRETA,Creta King DT,Curtain Airbag,YES
HYUNDAI,CRETA,Creta King DT,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,CRETA,Creta King DT,Seat Belt Warning,YES
HYUNDAI,CRETA,Creta King DT,Door Ajar Warning,YES
HYUNDAI,CRETA,Creta King DT,Traction Control,NO
HYUNDAI,CRETA,Creta King DT,Tyre Pressure Monitoring System (TPMS),YES
HYUNDAI,CRETA,Creta King DT,Engine Immobilizer,YES
HYUNDAI,CRETA,Creta King DT,Electronic Stability Control (ESC),YES
HYUNDAI,CRETA,Creta King DT,Rear Camera,With Guidedlines
HYUNDAI,CRETA,Creta King DT,Anti-Theft Device,YES
HYUNDAI,CRETA,Creta King DT,Anti-Pinch Power Windows,Driver's Window
HYUNDAI,CRETA,Creta King DT,Speed Alert,YES
HYUNDAI,CRETA,Creta King DT,Speed Sensing Auto Door Lock,YES
HYUNDAI,CRETA,Creta King DT,Knee Airbags,NO
HYUNDAI,CRETA,Creta King DT,ISOFIX Child Seat Mounts,YES
HYUNDAI,CRETA,Creta King DT,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
HYUNDAI,CRETA,Creta King DT,Hill Assist,YES
HYUNDAI,CRETA,Creta King DT,Impact Sensing Auto Door Unlock,YES
HYUNDAI,CRETA,Creta King DT,360 View Camera,YES
HYUNDAI,CRETA,Creta King DT,Radio,YES
HYUNDAI,CRETA,Creta King DT,Integrated 2DIN Audio,YES
HYUNDAI,CRETA,Creta King DT,Wireless Phone Charging,YES
HYUNDAI,CRETA,Creta King DT,Bluetooth Connectivity,YES
HYUNDAI,CRETA,Creta King DT,Touchscreen,YES
HYUNDAI,CRETA,Creta King DT,Touchscreen Size,10.25 inch
HYUNDAI,CRETA,Creta King DT,Connectivity,Android Auto
HYUNDAI,CRETA,Creta King DT,Android Auto,YES
HYUNDAI,CRETA,Creta King DT,Apple CarPlay,YES
HYUNDAI,CRETA,Creta King DT,No. of Speakers,5
HYUNDAI,CRETA,Creta King DT,Usb Ports,YES
HYUNDAI,CRETA,Creta King DT,Inbuilt Apps,JioSaavan
HYUNDAI,CRETA,Creta King DT,Tweeters,2
HYUNDAI,CRETA,Creta King DT,Subwoofer,1
HYUNDAI,CRETA,Creta King DT,Additional Features,Bose premium sound 8 speaker system with front central speaker & sub-woofer
HYUNDAI,CRETA,Creta King DT,Speakers,Front & Rear
