company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta King Knight iVT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta King Knight iVT,Displacement,1497 cc
HYUNDAI,CRETA,Creta King Knight iVT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta King Knight iVT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta King Knight iVT,No. of Cylinders,4
HYUNDAI,CRETA,Creta King Knight iVT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta King Knight iVT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta King Knight iVT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta King Knight iVT,Turbo Charger,NO
HYUNDAI,CRETA,Creta King Knight iVT,Transmission Type,Automatic
HYUNDAI,CRETA,Creta King Knight iVT,Gearbox,6-Speed iVT
HYUNDAI,CRETA,Creta King Knight iVT,Drive Type,FWD
HYUNDAI,CRETA,Creta King Knight iVT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta King Knight iVT,Petrol Mileage ARAI,17.7 kmpl
HYUNDAI,CRETA,Creta King Knight iVT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta King Knight iVT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta King Knight iVT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta King Knight iVT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta King Knight iVT,Steering Type,Electric
HYUNDAI,CRETA,Creta King Knight iVT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta King Knight iVT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta King Knight iVT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta King Knight iVT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta King Knight iVT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta King Knight iVT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta King Knight iVT,Length,4330 mm
HYUNDAI,CRETA,Creta King Knight iVT,Width,1790 mm
HYUNDAI,CRETA,Creta King Knight iVT,Height,1635 mm
HYUNDAI,CRETA,Creta King Knight iVT,Seating Capacity,5
HYUNDAI,CRETA,Creta King Knight iVT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta King Knight iVT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta King Knight iVT,No. of Doors,5
HYUNDAI,CRETA,Creta King Knight iVT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta King Knight iVT,Power Steering,YES
HYUNDAI,CRETA,Creta King Knight iVT,Air Conditioner,YES
HYUNDAI,CRETA,Creta King Knight iVT,Heater,YES
HYUNDAI,CRETA,Creta King Knight iVT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta King Knight iVT,Ventilated Seats,YES
HYUNDAI,CRETA,Creta King Knight iVT,Electric Adjustable Seats,Front
HYUNDAI,CRETA,Creta King Knight iVT,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta King Knight iVT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta King Knight iVT,Trunk Light,YES
HYUNDAI,CRETA,Creta King Knight iVT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta King Knight iVT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta King Knight iVT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta King Knight iVT,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta King Knight iVT,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta King Knight iVT,Rear AC Vents,YES
HYUNDAI,CRETA,Creta King Knight iVT,Cruise Control,YES
HYUNDAI,CRETA,Creta King Knight iVT,Parking Sensors,Front & Rear
