company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta King,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta King,Displacement,1497 cc
HYUNDAI,CRETA,Creta King,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta King,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta King,No. of Cylinders,4
HYUNDAI,CRETA,Creta King,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta King,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta King,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta King,Turbo Charger,NO
HYUNDAI,CRETA,Creta King,Transmission Type,Manual
HYUNDAI,CRETA,Creta King,Gearbox,6-Speed
HYUNDAI,CRETA,Creta King,Drive Type,FWD
HYUNDAI,CRETA,Creta King,Fuel Type,Petrol
HYUNDAI,CRETA,Creta King,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta King,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta King,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta King,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta King,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta King,Steering Type,Electric
HYUNDAI,CRETA,Creta King,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta King,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta King,Front Brake Type,Disc
HYUNDAI,CRETA,Creta King,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta King,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta King,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta King,Length,4330 mm
HYUNDAI,CRETA,Creta King,Width,1790 mm
HYUNDAI,CRETA,Creta King,Height,1635 mm
HYUNDAI,CRETA,Creta King,Seating Capacity,5
HYUNDAI,CRETA,Creta King,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta King,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta King,No. of Doors,5
HYUNDAI,CRETA,Creta King,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta King,Power Steering,YES
HYUNDAI,CRETA,Creta King,Air Conditioner,YES
HYUNDAI,CRETA,Creta King,Heater,YES
HYUNDAI,CRETA,Creta King,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta King,Ventilated Seats,YES
HYUNDAI,CRETA,Creta King,Electric Adjustable Seats,Front
HYUNDAI,CRETA,Creta King,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta King,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta King,Trunk Light,YES
HYUNDAI,CRETA,Creta King,Vanity Mirror,YES
HYUNDAI,CRETA,Creta King,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta King,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta King,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta King,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta King,Rear AC Vents,YES
HYUNDAI,CRETA,Creta King,Cruise Control,YES
HYUNDAI,CRETA,Creta King,Parking Sensors,Front & Rear
HYUNDAI,CRETA,Creta King,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta King,KeyLess Entry,YES
HYUNDAI,CRETA,Creta King,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta King,Cooled Glovebox,YES
