company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta King iVT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta King iVT,Displacement,1497 cc
HYUNDAI,CRETA,Creta King iVT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta King iVT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta King iVT,No. of Cylinders,4
HYUNDAI,CRETA,Creta King iVT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta King iVT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta King iVT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta King iVT,Turbo Charger,NO
HYUNDAI,CRETA,Creta King iVT,Transmission Type,Automatic
HYUNDAI,CRETA,Creta King iVT,Gearbox,6-Speed iVT
HYUNDAI,CRETA,Creta King iVT,Drive Type,FWD
HYUNDAI,CRETA,Creta King iVT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta King iVT,Petrol Mileage ARAI,17.7 kmpl
HYUNDAI,CRETA,Creta King iVT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta King iVT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta King iVT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta King iVT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta King iVT,Steering Type,Electric
HYUNDAI,CRETA,Creta King iVT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta King iVT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta King iVT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta King iVT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta King iVT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta King iVT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta King iVT,Length,4330 mm
HYUNDAI,CRETA,Creta King iVT,Width,1790 mm
HYUNDAI,CRETA,Creta King iVT,Height,1635 mm
HYUNDAI,CRETA,Creta King iVT,Seating Capacity,5
HYUNDAI,CRETA,Creta King iVT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta King iVT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta King iVT,No. of Doors,5
HYUNDAI,CRETA,Creta King iVT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta King iVT,Power Steering,YES
HYUNDAI,CRETA,Creta King iVT,Air Conditioner,YES
HYUNDAI,CRETA,Creta King iVT,Heater,YES
HYUNDAI,CRETA,Creta King iVT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta King iVT,Ventilated Seats,YES
HYUNDAI,CRETA,Creta King iVT,Electric Adjustable Seats,Front
HYUNDAI,CRETA,Creta King iVT,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta King iVT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta King iVT,Trunk Light,YES
HYUNDAI,CRETA,Creta King iVT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta King iVT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta King iVT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta King iVT,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta King iVT,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta King iVT,Rear AC Vents,YES
HYUNDAI,CRETA,Creta King iVT,Cruise Control,YES
HYUNDAI,CRETA,Creta King iVT,Parking Sensors,Front & Rear
HYUNDAI,CRETA,Creta King iVT,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta King iVT,KeyLess Entry,YES
HYUNDAI,CRETA,Creta King iVT,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta King iVT,Cooled Glovebox,YES
HYUNDAI,CRETA,Creta King iVT,Voice Commands,YES
HYUNDAI,CRETA,Creta King iVT,Paddle Shifters,YES
HYUNDAI,CRETA,Creta King iVT,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta King iVT,Central Console Armrest,With Storage
HYUNDAI,CRETA,Creta King iVT,Hands-Free Tailgate,NO
HYUNDAI,CRETA,Creta King iVT,Drive Modes,3
HYUNDAI,CRETA,Creta King iVT,Idle Start-Stop System,YES
HYUNDAI,CRETA,Creta King iVT,Rear Window Sunblind,YES
HYUNDAI,CRETA,Creta King iVT,Automatic Headlamps,YES
HYUNDAI,CRETA,Creta King iVT,Follow Me Home Headlamps,YES
HYUNDAI,CRETA,Creta King iVT,Additional Features,Sunglass holder
HYUNDAI,CRETA,Creta King iVT,Voice assisted sunroof,YES
HYUNDAI,CRETA,Creta King iVT,Drive Mode Types,ECO|NORMAL|SPORT
HYUNDAI,CRETA,Creta King iVT,Power Windows,Front & Rear
HYUNDAI,CRETA,Creta King iVT,Cup Holders,Front & Rear
HYUNDAI,CRETA,Creta King iVT,Tachometer,YES
HYUNDAI,CRETA,Creta King iVT,Glove Box,YES
HYUNDAI,CRETA,Creta King iVT,Digital Odometer,YES
HYUNDAI,CRETA,Creta King iVT,Dual Tone Dashboard,YES
HYUNDAI,CRETA,Creta King iVT,Additional Features,Rear parcel tray
HYUNDAI,CRETA,Creta King iVT,Digital Cluster,Full
HYUNDAI,CRETA,Creta King iVT,Digital Cluster Size,10.25 Inch
HYUNDAI,CRETA,Creta King iVT,Upholstery,Leatherette
HYUNDAI,CRETA,Creta King iVT,Rear Window Wiper,YES
HYUNDAI,CRETA,Creta King iVT,Rear Window Washer,YES
HYUNDAI,CRETA,Creta King iVT,Rear Window Defogger,YES
HYUNDAI,CRETA,Creta King iVT,Wheel Covers,NO
HYUNDAI,CRETA,Creta King iVT,Alloy Wheels,YES
HYUNDAI,CRETA,Creta King iVT,Rear Spoiler,YES
HYUNDAI,CRETA,Creta King iVT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,CRETA,Creta King iVT,Integrated Antenna,YES
HYUNDAI,CRETA,Creta King iVT,Projector Headlamps,NO
HYUNDAI,CRETA,Creta King iVT,Roof Rails,YES
HYUNDAI,CRETA,Creta King iVT,Antenna,Shark Fin
HYUNDAI,CRETA,Creta King iVT,Sunroof,Panoramic
HYUNDAI,CRETA,Creta King iVT,Boot Opening,Electronic
HYUNDAI,CRETA,Creta King iVT,Puddle Lamps,YES
HYUNDAI,CRETA,Creta King iVT,Tyre Size,215/55 R18
HYUNDAI,CRETA,Creta King iVT,Tyre Type,Radial Tubeless
HYUNDAI,CRETA,Creta King iVT,LED DRLs,YES
HYUNDAI,CRETA,Creta King iVT,LED Headlamps,YES
HYUNDAI,CRETA,Creta King iVT,LED Taillights,YES
HYUNDAI,CRETA,Creta King iVT,Anti-lock Braking System (ABS),YES
HYUNDAI,CRETA,Creta King iVT,Central Locking,YES
HYUNDAI,CRETA,Creta King iVT,Child Safety Locks,YES
HYUNDAI,CRETA,Creta King iVT,Anti-Theft Alarm,YES
HYUNDAI,CRETA,Creta King iVT,No. of Airbags,6
HYUNDAI,CRETA,Creta King iVT,Driver Airbag,YES
HYUNDAI,CRETA,Creta King iVT,Passenger Airbag,YES
HYUNDAI,CRETA,Creta King iVT,Side Airbag,YES
HYUNDAI,CRETA,Creta King iVT,Side Airbag-Rear,NO
HYUNDAI,CRETA,Creta King iVT,Day & Night Rear View Mirror,YES
HYUNDAI,CRETA,Creta King iVT,Curtain Airbag,YES
HYUNDAI,CRETA,Creta King iVT,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,CRETA,Creta King iVT,Seat Belt Warning,YES
HYUNDAI,CRETA,Creta King iVT,Door Ajar Warning,YES
HYUNDAI,CRETA,Creta King iVT,Traction Control,YES
HYUNDAI,CRETA,Creta King iVT,Tyre Pressure Monitoring System (TPMS),YES
HYUNDAI,CRETA,Creta King iVT,Engine Immobilizer,YES
HYUNDAI,CRETA,Creta King iVT,Electronic Stability Control (ESC),YES
HYUNDAI,CRETA,Creta King iVT,Rear Camera,With Guidedlines
HYUNDAI,CRETA,Creta King iVT,Anti-Theft Device,YES
HYUNDAI,CRETA,Creta King iVT,Anti-Pinch Power Windows,Driver's Window
HYUNDAI,CRETA,Creta King iVT,Speed Alert,YES
HYUNDAI,CRETA,Creta King iVT,Speed Sensing Auto Door Lock,YES
HYUNDAI,CRETA,Creta King iVT,Knee Airbags,NO
HYUNDAI,CRETA,Creta King iVT,ISOFIX Child Seat Mounts,YES
HYUNDAI,CRETA,Creta King iVT,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
HYUNDAI,CRETA,Creta King iVT,Hill Assist,YES
HYUNDAI,CRETA,Creta King iVT,Impact Sensing Auto Door Unlock,YES
HYUNDAI,CRETA,Creta King iVT,360 View Camera,YES
HYUNDAI,CRETA,Creta King iVT,Radio,YES
HYUNDAI,CRETA,Creta King iVT,Integrated 2DIN Audio,YES
HYUNDAI,CRETA,Creta King iVT,Wireless Phone Charging,YES
