company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta S (O) Diesel,Engine Type,1.5L U2 CRDi
HYUNDAI,CRETA,Creta S (O) Diesel,Displacement,1493 cc
HYUNDAI,CRETA,Creta S (O) Diesel,Max Power,114bhp@4000rpm
HYUNDAI,CRETA,Creta S (O) Diesel,Max Torque,250Nm@1500-2750rpm
HYUNDAI,CRETA,Creta S (O) Diesel,No. of Cylinders,4
HYUNDAI,CRETA,Creta S (O) Diesel,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta S (O) Diesel,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta S (O) Diesel,Fuel Supply System,CRDi
HYUNDAI,CRETA,Creta S (O) Diesel,Turbo Charger,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Transmission Type,Manual
HYUNDAI,CRETA,Creta S (O) Diesel,Gearbox,6-Speed
HYUNDAI,CRETA,Creta S (O) Diesel,Drive Type,FWD
HYUNDAI,CRETA,Creta S (O) Diesel,Fuel Type,Diesel
HYUNDAI,CRETA,Creta S (O) Diesel,Diesel Mileage ARAI,21.8 kmpl
HYUNDAI,CRETA,Creta S (O) Diesel,Diesel Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta S (O) Diesel,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta S (O) Diesel,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta S (O) Diesel,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta S (O) Diesel,Steering Type,Electric
HYUNDAI,CRETA,Creta S (O) Diesel,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta S (O) Diesel,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta S (O) Diesel,Front Brake Type,Disc
HYUNDAI,CRETA,Creta S (O) Diesel,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta S (O) Diesel,Alloy Wheel Size Front,17 Inch
HYUNDAI,CRETA,Creta S (O) Diesel,Alloy Wheel Size Rear,17 Inch
HYUNDAI,CRETA,Creta S (O) Diesel,Length,4330 mm
HYUNDAI,CRETA,Creta S (O) Diesel,Width,1790 mm
HYUNDAI,CRETA,Creta S (O) Diesel,Height,1635 mm
HYUNDAI,CRETA,Creta S (O) Diesel,Seating Capacity,5
HYUNDAI,CRETA,Creta S (O) Diesel,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta S (O) Diesel,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta S (O) Diesel,No. of Doors,5
HYUNDAI,CRETA,Creta S (O) Diesel,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta S (O) Diesel,Power Steering,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Air Conditioner,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Heater,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Ventilated Seats,NO
HYUNDAI,CRETA,Creta S (O) Diesel,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta S (O) Diesel,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Trunk Light,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Vanity Mirror,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Rear AC Vents,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Cruise Control,YES
HYUNDAI,CRETA,Creta S (O) Diesel,Parking Sensors,Rear
HYUNDAI,CRETA,Creta S (O) Diesel,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta S (O) Diesel,KeyLess Entry,YES
