company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta S (O) Knight,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta S (O) Knight,Displacement,1497 cc
HYUNDAI,CRETA,Creta S (O) Knight,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta S (O) Knight,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta S (O) Knight,No. of Cylinders,4
HYUNDAI,CRETA,Creta S (O) Knight,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta S (O) Knight,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta S (O) Knight,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta S (O) Knight,Turbo Charger,NO
HYUNDAI,CRETA,Creta S (O) Knight,Transmission Type,Manual
HYUNDAI,CRETA,Creta S (O) Knight,Drive Type,FWD
HYUNDAI,CRETA,Creta S (O) Knight,Fuel Type,Petrol
HYUNDAI,CRETA,Creta S (O) Knight,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta S (O) Knight,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta S (O) Knight,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta S (O) Knight,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta S (O) Knight,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta S (O) Knight,Steering Type,Electric
HYUNDAI,CRETA,Creta S (O) Knight,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta S (O) Knight,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta S (O) Knight,Front Brake Type,Disc
HYUNDAI,CRETA,Creta S (O) Knight,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta S (O) Knight,Alloy Wheel Size Front,17 Inch
HYUNDAI,CRETA,Creta S (O) Knight,Alloy Wheel Size Rear,17 Inch
HYUNDAI,CRETA,Creta S (O) Knight,Length,4330 mm
HYUNDAI,CRETA,Creta S (O) Knight,Width,1790 mm
HYUNDAI,CRETA,Creta S (O) Knight,Height,1635 mm
HYUNDAI,CRETA,Creta S (O) Knight,Seating Capacity,5
HYUNDAI,CRETA,Creta S (O) Knight,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta S (O) Knight,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta S (O) Knight,No. of Doors,5
HYUNDAI,CRETA,Creta S (O) Knight,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta S (O) Knight,Power Steering,YES
HYUNDAI,CRETA,Creta S (O) Knight,Air Conditioner,YES
HYUNDAI,CRETA,Creta S (O) Knight,Heater,YES
HYUNDAI,CRETA,Creta S (O) Knight,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta S (O) Knight,Ventilated Seats,NO
HYUNDAI,CRETA,Creta S (O) Knight,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta S (O) Knight,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta S (O) Knight,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta S (O) Knight,Trunk Light,YES
HYUNDAI,CRETA,Creta S (O) Knight,Vanity Mirror,YES
HYUNDAI,CRETA,Creta S (O) Knight,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta S (O) Knight,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta S (O) Knight,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta S (O) Knight,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta S (O) Knight,Rear AC Vents,YES
HYUNDAI,CRETA,Creta S (O) Knight,Cruise Control,YES
HYUNDAI,CRETA,Creta S (O) Knight,Parking Sensors,Rear
HYUNDAI,CRETA,Creta S (O) Knight,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta S (O) Knight,KeyLess Entry,YES
HYUNDAI,CRETA,Creta S (O) Knight,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta S (O) Knight,Cooled Glovebox,YES
HYUNDAI,CRETA,Creta S (O) Knight,Voice Commands,YES
HYUNDAI,CRETA,Creta S (O) Knight,Paddle Shifters,NO
HYUNDAI,CRETA,Creta S (O) Knight,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta S (O) Knight,Central Console Armrest,With Storage
HYUNDAI,CRETA,Creta S (O) Knight,Hands-Free Tailgate,NO
HYUNDAI,CRETA,Creta S (O) Knight,Idle Start-Stop System,YES
HYUNDAI,CRETA,Creta S (O) Knight,Rear Window Sunblind,YES
HYUNDAI,CRETA,Creta S (O) Knight,Automatic Headlamps,YES
HYUNDAI,CRETA,Creta S (O) Knight,Follow Me Home Headlamps,YES
HYUNDAI,CRETA,Creta S (O) Knight,Additional Features,Sunglass holder
HYUNDAI,CRETA,Creta S (O) Knight,Voice assisted sunroof,NO
HYUNDAI,CRETA,Creta S (O) Knight,Drive Mode Types,NA
HYUNDAI,CRETA,Creta S (O) Knight,Power Windows,Front & Rear
HYUNDAI,CRETA,Creta S (O) Knight,Tachometer,YES
HYUNDAI,CRETA,Creta S (O) Knight,Glove Box,YES
HYUNDAI,CRETA,Creta S (O) Knight,Digital Odometer,YES
HYUNDAI,CRETA,Creta S (O) Knight,Dual Tone Dashboard,YES
HYUNDAI,CRETA,Creta S (O) Knight,Additional Features,Rear parcel tray
HYUNDAI,CRETA,Creta S (O) Knight,Digital Cluster,YES
HYUNDAI,CRETA,Creta S (O) Knight,Upholstery,Fabric
HYUNDAI,CRETA,Creta S (O) Knight,Rear Window Wiper,YES
HYUNDAI,CRETA,Creta S (O) Knight,Rear Window Washer,YES
HYUNDAI,CRETA,Creta S (O) Knight,Rear Window Defogger,YES
HYUNDAI,CRETA,Creta S (O) Knight,Wheel Covers,NO
HYUNDAI,CRETA,Creta S (O) Knight,Alloy Wheels,YES
HYUNDAI,CRETA,Creta S (O) Knight,Rear Spoiler,YES
HYUNDAI,CRETA,Creta S (O) Knight,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,CRETA,Creta S (O) Knight,Integrated Antenna,YES
HYUNDAI,CRETA,Creta S (O) Knight,Projector Headlamps,NO
HYUNDAI,CRETA,Creta S (O) Knight,Roof Rails,YES
HYUNDAI,CRETA,Creta S (O) Knight,Antenna,Shark Fin
HYUNDAI,CRETA,Creta S (O) Knight,Sunroof,Panoramic
HYUNDAI,CRETA,Creta S (O) Knight,Boot Opening,Electronic
HYUNDAI,CRETA,Creta S (O) Knight,Puddle Lamps,NO
HYUNDAI,CRETA,Creta S (O) Knight,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,CRETA,Creta S (O) Knight,Tyre Size,215 / 55 R18
HYUNDAI,CRETA,Creta S (O) Knight,Tyre Type,Radial & Tubeless
HYUNDAI,CRETA,Creta S (O) Knight,LED DRLs,YES
HYUNDAI,CRETA,Creta S (O) Knight,LED Headlamps,YES
HYUNDAI,CRETA,Creta S (O) Knight,LED Taillights,YES
HYUNDAI,CRETA,Creta S (O) Knight,Anti-lock Braking System (ABS),YES
HYUNDAI,CRETA,Creta S (O) Knight,Central Locking,YES
HYUNDAI,CRETA,Creta S (O) Knight,Child Safety Locks,YES
HYUNDAI,CRETA,Creta S (O) Knight,Anti-Theft Alarm,YES
HYUNDAI,CRETA,Creta S (O) Knight,No. of Airbags,6
HYUNDAI,CRETA,Creta S (O) Knight,Driver Airbag,YES
HYUNDAI,CRETA,Creta S (O) Knight,Passenger Airbag,YES
HYUNDAI,CRETA,Creta S (O) Knight,Side Airbag,YES
HYUNDAI,CRETA,Creta S (O) Knight,Side Airbag-Rear,NO
HYUNDAI,CRETA,Creta S (O) Knight,Day & Night Rear View Mirror,YES
HYUNDAI,CRETA,Creta S (O) Knight,Curtain Airbag,YES
HYUNDAI,CRETA,Creta S (O) Knight,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,CRETA,Creta S (O) Knight,Seat Belt Warning,YES
