company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX (O) DT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX (O) DT,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX (O) DT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX (O) DT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX (O) DT,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX (O) DT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX (O) DT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX (O) DT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX (O) DT,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX (O) DT,Transmission Type,Manual
HYUNDAI,CRETA,Creta SX (O) DT,Gearbox,6-Speed
HYUNDAI,CRETA,Creta SX (O) DT,Drive Type,FWD
HYUNDAI,CRETA,Creta SX (O) DT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX (O) DT,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta SX (O) DT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX (O) DT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX (O) DT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX (O) DT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX (O) DT,Steering Type,Electric
HYUNDAI,CRETA,Creta SX (O) DT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX (O) DT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX (O) DT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX (O) DT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX (O) DT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX (O) DT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta SX (O) DT,Length,4330 mm
HYUNDAI,CRETA,Creta SX (O) DT,Width,1790 mm
HYUNDAI,CRETA,Creta SX (O) DT,Height,1635 mm
HYUNDAI,CRETA,Creta SX (O) DT,Seating Capacity,5
HYUNDAI,CRETA,Creta SX (O) DT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta SX (O) DT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta SX (O) DT,No. of Doors,5
HYUNDAI,CRETA,Creta SX (O) DT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta SX (O) DT,Power Steering,YES
HYUNDAI,CRETA,Creta SX (O) DT,Air Conditioner,YES
HYUNDAI,CRETA,Creta SX (O) DT,Heater,YES
HYUNDAI,CRETA,Creta SX (O) DT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta SX (O) DT,Ventilated Seats,YES
HYUNDAI,CRETA,Creta SX (O) DT,Electric Adjustable Seats,Front
HYUNDAI,CRETA,Creta SX (O) DT,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta SX (O) DT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta SX (O) DT,Trunk Light,YES
HYUNDAI,CRETA,Creta SX (O) DT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta SX (O) DT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta SX (O) DT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta SX (O) DT,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta SX (O) DT,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta SX (O) DT,Rear AC Vents,YES
HYUNDAI,CRETA,Creta SX (O) DT,Cruise Control,YES
HYUNDAI,CRETA,Creta SX (O) DT,Parking Sensors,Front & Rear
HYUNDAI,CRETA,Creta SX (O) DT,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta SX (O) DT,KeyLess Entry,YES
HYUNDAI,CRETA,Creta SX (O) DT,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta SX (O) DT,Cooled Glovebox,YES
HYUNDAI,CRETA,Creta SX (O) DT,Voice Commands,YES
HYUNDAI,CRETA,Creta SX (O) DT,Paddle Shifters,NO
HYUNDAI,CRETA,Creta SX (O) DT,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta SX (O) DT,Central Console Armrest,With Storage
HYUNDAI,CRETA,Creta SX (O) DT,Hands-Free Tailgate,NO
HYUNDAI,CRETA,Creta SX (O) DT,Idle Start-Stop System,YES
HYUNDAI,CRETA,Creta SX (O) DT,Rear Window Sunblind,YES
HYUNDAI,CRETA,Creta SX (O) DT,Automatic Headlamps,YES
HYUNDAI,CRETA,Creta SX (O) DT,Follow Me Home Headlamps,YES
HYUNDAI,CRETA,Creta SX (O) DT,Additional Features,Sunglass holder
HYUNDAI,CRETA,Creta SX (O) DT,Voice assisted sunroof,YES
HYUNDAI,CRETA,Creta SX (O) DT,Drive Mode Types,NA
HYUNDAI,CRETA,Creta SX (O) DT,Power Windows,Front & Rear
HYUNDAI,CRETA,Creta SX (O) DT,Cup Holders,Front & Rear
HYUNDAI,CRETA,Creta SX (O) DT,Tachometer,YES
HYUNDAI,CRETA,Creta SX (O) DT,Glove Box,YES
HYUNDAI,CRETA,Creta SX (O) DT,Digital Odometer,YES
HYUNDAI,CRETA,Creta SX (O) DT,Dual Tone Dashboard,YES
HYUNDAI,CRETA,Creta SX (O) DT,Additional Features,Rear parcel tray
HYUNDAI,CRETA,Creta SX (O) DT,Digital Cluster,Full
HYUNDAI,CRETA,Creta SX (O) DT,Digital Cluster Size,10.25 Inch
HYUNDAI,CRETA,Creta SX (O) DT,Upholstery,Leatherette
HYUNDAI,CRETA,Creta SX (O) DT,Rear Window Wiper,YES
HYUNDAI,CRETA,Creta SX (O) DT,Rear Window Washer,YES
HYUNDAI,CRETA,Creta SX (O) DT,Rear Window Defogger,YES
HYUNDAI,CRETA,Creta SX (O) DT,Wheel Covers,NO
HYUNDAI,CRETA,Creta SX (O) DT,Alloy Wheels,YES
HYUNDAI,CRETA,Creta SX (O) DT,Rear Spoiler,YES
HYUNDAI,CRETA,Creta SX (O) DT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,CRETA,Creta SX (O) DT,Integrated Antenna,YES
HYUNDAI,CRETA,Creta SX (O) DT,Projector Headlamps,NO
HYUNDAI,CRETA,Creta SX (O) DT,Roof Rails,YES
HYUNDAI,CRETA,Creta SX (O) DT,Antenna,Shark Fin
HYUNDAI,CRETA,Creta SX (O) DT,Sunroof,Panoramic
HYUNDAI,CRETA,Creta SX (O) DT,Boot Opening,Electronic
HYUNDAI,CRETA,Creta SX (O) DT,Puddle Lamps,YES
HYUNDAI,CRETA,Creta SX (O) DT,Tyre Size,215/55 R18
HYUNDAI,CRETA,Creta SX (O) DT,Tyre Type,Radial Tubeless
HYUNDAI,CRETA,Creta SX (O) DT,LED DRLs,YES
HYUNDAI,CRETA,Creta SX (O) DT,LED Headlamps,YES
HYUNDAI,CRETA,Creta SX (O) DT,LED Taillights,YES
HYUNDAI,CRETA,Creta SX (O) DT,Anti-lock Braking System (ABS),YES
HYUNDAI,CRETA,Creta SX (O) DT,Central Locking,YES
HYUNDAI,CRETA,Creta SX (O) DT,Child Safety Locks,YES
HYUNDAI,CRETA,Creta SX (O) DT,Anti-Theft Alarm,YES
HYUNDAI,CRETA,Creta SX (O) DT,No. of Airbags,6
HYUNDAI,CRETA,Creta SX (O) DT,Driver Airbag,YES
HYUNDAI,CRETA,Creta SX (O) DT,Passenger Airbag,YES
HYUNDAI,CRETA,Creta SX (O) DT,Side Airbag,YES
HYUNDAI,CRETA,Creta SX (O) DT,Side Airbag-Rear,NO
HYUNDAI,CRETA,Creta SX (O) DT,Day & Night Rear View Mirror,YES
HYUNDAI,CRETA,Creta SX (O) DT,Curtain Airbag,YES
HYUNDAI,CRETA,Creta SX (O) DT,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,CRETA,Creta SX (O) DT,Seat Belt Warning,YES
