company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter S Smart Dual CNG,Engine Type,1.2 l Bi-Fue
HYUNDAI,EXTER,Exter S Smart Dual CNG,Displacement,1197 cc
HYUNDAI,EXTER,Exter S Smart Dual CNG,Max Power,67.72bhp@6000rpm
HYUNDAI,EXTER,Exter S Smart Dual CNG,Max Torque,95.2Nm@4000rpm
HYUNDAI,EXTER,Exter S Smart Dual CNG,No. of Cylinders,4
HYUNDAI,EXTER,Exter S Smart Dual CNG,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter S Smart Dual CNG,Transmission Type,Manual
HYUNDAI,EXTER,Exter S Smart Dual CNG,Gearbox,5-Speed
HYUNDAI,EXTER,Exter S Smart Dual CNG,Drive Type,FWD
HYUNDAI,EXTER,Exter S Smart Dual CNG,Fuel Type,CNG
HYUNDAI,EXTER,Exter S Smart Dual CNG,CNG Mileage ARAI,27.1 km/kg
HYUNDAI,EXTER,Exter S Smart Dual CNG,CNG Fuel Tank Capacity,60 Litres
HYUNDAI,EXTER,Exter S Smart Dual CNG,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter S Smart Dual CNG,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter S Smart Dual CNG,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter S Smart Dual CNG,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter S Smart Dual CNG,Steering Type,Electric
HYUNDAI,EXTER,Exter S Smart Dual CNG,Steering Column,NO
HYUNDAI,EXTER,Exter S Smart Dual CNG,Front Brake Type,Disc
HYUNDAI,EXTER,Exter S Smart Dual CNG,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter S Smart Dual CNG,Length,3815 mm
HYUNDAI,EXTER,Exter S Smart Dual CNG,Width,1710 mm
HYUNDAI,EXTER,Exter S Smart Dual CNG,Height,1631 mm
HYUNDAI,EXTER,Exter S Smart Dual CNG,Seating Capacity,5
HYUNDAI,EXTER,Exter S Smart Dual CNG,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter S Smart Dual CNG,No. of Doors,5
HYUNDAI,EXTER,Exter S Smart Dual CNG,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter S Smart Dual CNG,Power Steering,YES
