company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX CNG,Engine Type,1.2 l Bi-Fuel
HYUNDAI,EXTER,Exter SX CNG,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX CNG,Max Power,67.72bhp@6000rpm
HYUNDAI,EXTER,Exter SX CNG,Max Torque,95.2Nm@4000rpm
HYUNDAI,EXTER,Exter SX CNG,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX CNG,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX CNG,Transmission Type,Manual
HYUNDAI,EXTER,Exter SX CNG,Gearbox,5-Speed
HYUNDAI,EXTER,Exter SX CNG,Drive Type,FWD
HYUNDAI,EXTER,Exter SX CNG,Fuel Type,CNG
HYUNDAI,EXTER,Exter SX CNG,CNG Mileage ARAI,27.1 km/kg
HYUNDAI,EXTER,Exter SX CNG,CNG Fuel Tank Capacity,60 Litres
HYUNDAI,EXTER,Exter SX CNG,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX CNG,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX CNG,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX CNG,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX CNG,Steering Type,Electric
HYUNDAI,EXTER,Exter SX CNG,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX CNG,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX CNG,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX CNG,Length,3815 mm
HYUNDAI,EXTER,Exter SX CNG,Width,1710 mm
HYUNDAI,EXTER,Exter SX CNG,Height,1631 mm
HYUNDAI,EXTER,Exter SX CNG,Seating Capacity,5
HYUNDAI,EXTER,Exter SX CNG,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX CNG,No. of Doors,5
HYUNDAI,EXTER,Exter SX CNG,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX CNG,Power Steering,YES
HYUNDAI,EXTER,Exter SX CNG,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX CNG,Heater,YES
HYUNDAI,EXTER,Exter SX CNG,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX CNG,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX CNG,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter SX CNG,Trunk Light,NO
HYUNDAI,EXTER,Exter SX CNG,Vanity Mirror,YES
HYUNDAI,EXTER,Exter SX CNG,Rear Reading Lamp,YES
HYUNDAI,EXTER,Exter SX CNG,Rear Seat Headrest,Adjustable
HYUNDAI,EXTER,Exter SX CNG,Rear AC Vents,YES
HYUNDAI,EXTER,Exter SX CNG,Cruise Control,NO
HYUNDAI,EXTER,Exter SX CNG,Parking Sensors,Rear
HYUNDAI,EXTER,Exter SX CNG,Foldable Rear Seat,Bench Folding
HYUNDAI,EXTER,Exter SX CNG,KeyLess Entry,YES
HYUNDAI,EXTER,Exter SX CNG,Engine Start/Stop Button,NO
HYUNDAI,EXTER,Exter SX CNG,Cooled Glovebox,NO
HYUNDAI,EXTER,Exter SX CNG,Voice Commands,YES
HYUNDAI,EXTER,Exter SX CNG,Paddle Shifters,NO
HYUNDAI,EXTER,Exter SX CNG,USB Charger,Front
