company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter SX Opt Connect AMT,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Transmission Type,Automatic
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Gearbox,5 Speed AMT
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Drive Type,FWD
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Fuel Type,Petrol
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Petrol Mileage ARAI,19.2 kmpl
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Steering Type,Electric
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Alloy Wheel Size Front,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Alloy Wheel Size Rear,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Length,3815 mm
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Width,1710 mm
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Height,1631 mm
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Seating Capacity,5
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX Opt Connect AMT,No. of Doors,5
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Power Steering,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Heater,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Trunk Light,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Vanity Mirror,YES
HYUNDAI,EXTER,Exter SX Opt Connect AMT,Rear Reading Lamp,YES
