company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX Opt Connect DT,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter SX Opt Connect DT,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX Opt Connect DT,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter SX Opt Connect DT,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter SX Opt Connect DT,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX Opt Connect DT,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX Opt Connect DT,Transmission Type,Manual
HYUNDAI,EXTER,Exter SX Opt Connect DT,Gearbox,5-Speed
HYUNDAI,EXTER,Exter SX Opt Connect DT,Drive Type,FWD
HYUNDAI,EXTER,Exter SX Opt Connect DT,Fuel Type,Petrol
HYUNDAI,EXTER,Exter SX Opt Connect DT,Petrol Mileage ARAI,19.4 kmpl
HYUNDAI,EXTER,Exter SX Opt Connect DT,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter SX Opt Connect DT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX Opt Connect DT,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX Opt Connect DT,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX Opt Connect DT,Steering Type,Electric
HYUNDAI,EXTER,Exter SX Opt Connect DT,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX Opt Connect DT,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX Opt Connect DT,Alloy Wheel Size Front,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect DT,Alloy Wheel Size Rear,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect DT,Length,3815 mm
HYUNDAI,EXTER,Exter SX Opt Connect DT,Width,1710 mm
HYUNDAI,EXTER,Exter SX Opt Connect DT,Height,1631 mm
HYUNDAI,EXTER,Exter SX Opt Connect DT,Seating Capacity,5
HYUNDAI,EXTER,Exter SX Opt Connect DT,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX Opt Connect DT,No. of Doors,5
HYUNDAI,EXTER,Exter SX Opt Connect DT,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX Opt Connect DT,Power Steering,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Heater,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Trunk Light,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Vanity Mirror,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Reading Lamp,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Seat Headrest,Adjustable
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear AC Vents,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Cruise Control,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Parking Sensors,Rear
HYUNDAI,EXTER,Exter SX Opt Connect DT,Foldable Rear Seat,Bench Folding
HYUNDAI,EXTER,Exter SX Opt Connect DT,KeyLess Entry,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Engine Start/Stop Button,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Cooled Glovebox,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Voice Commands,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Paddle Shifters,NO
HYUNDAI,EXTER,Exter SX Opt Connect DT,USB Charger,Front
HYUNDAI,EXTER,Exter SX Opt Connect DT,Luggage Hook & Net,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Battery Saver,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Idle Start-Stop System,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Automatic Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Follow Me Home Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Additional Features,Rear parcel tray
HYUNDAI,EXTER,Exter SX Opt Connect DT,Voice assisted sunroof,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Power Windows,Front & Rear
HYUNDAI,EXTER,Exter SX Opt Connect DT,Tachometer,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Glove Box,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Digital Cluster,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Upholstery,Leatherette
HYUNDAI,EXTER,Exter SX Opt Connect DT,Adjustable Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Window Wiper,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Window Washer,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Window Defogger,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Wheel Covers,NO
HYUNDAI,EXTER,Exter SX Opt Connect DT,Alloy Wheels,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Spoiler,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Projector Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Halogen Headlamps,NO
HYUNDAI,EXTER,Exter SX Opt Connect DT,Roof Rails,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Antenna,Shark Fin
HYUNDAI,EXTER,Exter SX Opt Connect DT,Sunroof,Single Pane
HYUNDAI,EXTER,Exter SX Opt Connect DT,Boot Opening,Electronic
HYUNDAI,EXTER,Exter SX Opt Connect DT,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,EXTER,Exter SX Opt Connect DT,Tyre Size,175/65 R15
HYUNDAI,EXTER,Exter SX Opt Connect DT,Tyre Type,Radial Tubeless
HYUNDAI,EXTER,Exter SX Opt Connect DT,LED DRLs,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,LED Taillights,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Anti-lock Braking System (ABS),YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Central Locking,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Child Safety Locks,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Anti-Theft Alarm,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,No. of Airbags,6
HYUNDAI,EXTER,Exter SX Opt Connect DT,Driver Airbag,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Passenger Airbag,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Side Airbag,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Side Airbag-Rear,NO
HYUNDAI,EXTER,Exter SX Opt Connect DT,Day & Night Rear View Mirror,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Curtain Airbag,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Seat Belt Warning,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Door Ajar Warning,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Tyre Pressure Monitoring System (TPMS),YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Engine Immobilizer,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Electronic Stability Control (ESC),YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Rear Camera,With Guidedlines
HYUNDAI,EXTER,Exter SX Opt Connect DT,Anti-Theft Device,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Speed Alert,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Speed Sensing Auto Door Lock,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,ISOFIX Child Seat Mounts,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
HYUNDAI,EXTER,Exter SX Opt Connect DT,Hill Assist,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Impact Sensing Auto Door Unlock,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Radio,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Wireless Phone Charging,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Bluetooth Connectivity,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Touchscreen,YES
HYUNDAI,EXTER,Exter SX Opt Connect DT,Touchscreen Size,8 inch
HYUNDAI,EXTER,Exter SX Opt Connect DT,Connectivity,"Android Auto, Apple CarPlay"
