company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Transmission Type,Automatic
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Gearbox,5 Speed AMT
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Drive Type,FWD
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Fuel Type,Petrol
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Petrol Mileage ARAI,19.2 kmpl
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Steering Type,Electric
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Alloy Wheel Size Front,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Alloy Wheel Size Rear,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Length,3815 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Width,1710 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Height,1631 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Seating Capacity,5
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight AMT,No. of Doors,5
