company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX Tech CNG,Engine Type,1.2 l Bi-Fuel
HYUNDAI,EXTER,Exter SX Tech CNG,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX Tech CNG,Max Power,67.72bhp@6000rpm
HYUNDAI,EXTER,Exter SX Tech CNG,Max Torque,95.2Nm@4000rpm
HYUNDAI,EXTER,Exter SX Tech CNG,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX Tech CNG,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX Tech CNG,Transmission Type,Manual
HYUNDAI,EXTER,Exter SX Tech CNG,Gearbox,5-Speed
HYUNDAI,EXTER,Exter SX Tech CNG,Drive Type,FWD
HYUNDAI,EXTER,Exter SX Tech CNG,Fuel Type,CNG
HYUNDAI,EXTER,Exter SX Tech CNG,CNG Mileage ARAI,27.1 km/kg
HYUNDAI,EXTER,Exter SX Tech CNG,CNG Fuel Tank Capacity,60 Litres
HYUNDAI,EXTER,Exter SX Tech CNG,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX Tech CNG,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX Tech CNG,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX Tech CNG,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX Tech CNG,Steering Type,Electric
HYUNDAI,EXTER,Exter SX Tech CNG,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX Tech CNG,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX Tech CNG,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX Tech CNG,Length,3815 mm
HYUNDAI,EXTER,Exter SX Tech CNG,Width,1710 mm
HYUNDAI,EXTER,Exter SX Tech CNG,Height,1631 mm
HYUNDAI,EXTER,Exter SX Tech CNG,Seating Capacity,5
HYUNDAI,EXTER,Exter SX Tech CNG,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX Tech CNG,No. of Doors,5
HYUNDAI,EXTER,Exter SX Tech CNG,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX Tech CNG,Power Steering,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Heater,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Trunk Light,NO
HYUNDAI,EXTER,Exter SX Tech CNG,Vanity Mirror,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Rear Reading Lamp,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Rear Seat Headrest,Adjustable
HYUNDAI,EXTER,Exter SX Tech CNG,Rear AC Vents,YES
HYUNDAI,EXTER,Exter SX Tech CNG,Cruise Control,NO
HYUNDAI,EXTER,Exter SX Tech CNG,Parking Sensors,Rear
HYUNDAI,EXTER,Exter SX Tech CNG,Foldable Rear Seat,Bench Folding
HYUNDAI,EXTER,Exter SX Tech CNG,KeyLess Entry,YES
