company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Engine Type,U2 1.5 l CRDi
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Displacement,1493 cc
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Max Power,114bhp@4000rpm
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Max Torque,250Nm@1500-2750rpm
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Fuel Supply System,CRDi
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Transmission Type,Automatic
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Gearbox,6 -Speed AT
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Fuel Type,Diesel
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Diesel Mileage ARAI,17.9 kmpl
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Diesel Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Brake Type,Disc
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Alloy Wheel Size Front,16 Inch
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Alloy Wheel Size Rear,16 Inch
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Length,3995 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Width,1800 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Height,1665 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,No. of Doors,5
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Power Steering,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Heater,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Ventilated Seats,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Electric Adjustable Seats,Front
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Automatic Climate Control,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Trunk Light,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Seat Headrest,Adjustable
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Seat Centre Arm Rest,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Parking Sensors,Front & Rear
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Foldable Rear Seat,60:40 Split
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Engine Start/Stop Button,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Cooled Glovebox,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Paddle Shifters,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Central Console Armrest,With Storage
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Drive Modes,3
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Idle Start-Stop System,NO
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Window Sunblind,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Follow Me Home Headlamps,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Voice assisted sunroof,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Drive Mode Types,Normal | Eco | Sport
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Power Windows,Front & Rear
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Cup Holders,Front & Rear
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Tachometer,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Glove Box,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Lighting,Ambient light
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Additional Features,Rear parcel tray
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Digital Cluster,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Digital Cluster Size,12.3
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Upholstery,Leatherette
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Window Wiper,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Window Washer,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Window Defogger,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Wheel Covers,NO
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Alloy Wheels,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Rear Spoiler,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Chrome Grille,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Projector Headlamps,NO
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Roof Rails,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Antenna,Shark Fin
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Sunroof,Single Pane
HYUNDAI,VENUE,Venue HX 10 Diesel AT Dual Tone,Puddle Lamps,YES
