company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Engine Type,U2 1.5 l CRDi
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Displacement,1493 cc
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Max Power,114bhp@4000rpm
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Max Torque,250Nm@1500-2750rpm
HYUNDAI,VENUE,Venue HX 5 Diesel AT,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Fuel Supply System,CRDi
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Transmission Type,Automatic
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Gearbox,6 - Speed AT
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Fuel Type,Diesel
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Diesel Mileage ARAI,17.9 kmpl
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Diesel Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Length,3995 mm
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Width,1800 mm
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Height,1665 mm
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 5 Diesel AT,No. of Doors,5
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Power Steering,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Heater,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Ventilated Seats,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Electric Adjustable Seats,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Automatic Climate Control,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Trunk Light,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Seat Headrest,Integrated
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Seat Centre Arm Rest,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Foldable Rear Seat,Bench Folding
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Engine Start/Stop Button,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Cooled Glovebox,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Paddle Shifters,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Central Console Armrest,With Storage
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Luggage Hook & Net,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Drive Modes,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Idle Start-Stop System,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Window Sunblind,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Automatic Headlamps,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Follow Me Home Headlamps,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Voice assisted sunroof,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Drive Mode Types,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Power Windows,Front & Rear
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Cup Holders,Front Only
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Tachometer,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Glove Box,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Digital Cluster,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Digital Cluster Size,10.66
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Upholstery,Fabric
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Window Wiper,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Window Washer,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Window Defogger,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Wheel Covers,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Alloy Wheels,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Rear Spoiler,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Chrome Grille,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Projector Headlamps,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Roof Rails,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Automatic Headlamps,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Antenna,Shark Fin
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Sunroof,Single Pane
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Puddle Lamps,NO
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Tyre Size,215/60 R16
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Tyre Type,Radial Tubeless
HYUNDAI,VENUE,Venue HX 5 Diesel AT,Wheel Size,16 Inch
HYUNDAI,VENUE,Venue HX 5 Diesel AT,LED DRLs,YES
HYUNDAI,VENUE,Venue HX 5 Diesel AT,LED Taillights,YES
