company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 5,Engine Type,1.2 l Kappa MPi
HYUNDAI,VENUE,Venue HX 5,Displacement,1197 cc
HYUNDAI,VENUE,Venue HX 5,Max Power,82bhp@6000rpm
HYUNDAI,VENUE,Venue HX 5,Max Torque,114.7Nm@4200rpm
HYUNDAI,VENUE,Venue HX 5,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 5,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 5,Fuel Supply System,MPi
HYUNDAI,VENUE,Venue HX 5,Turbo Charger,NO
HYUNDAI,VENUE,Venue HX 5,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 5,Gearbox,5-Speed
HYUNDAI,VENUE,Venue HX 5,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 5,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 5,Petrol Mileage ARAI,18.5 kmpl
HYUNDAI,VENUE,Venue HX 5,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 5,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 5,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 5,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 5,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 5,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 5,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 5,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 5,Length,3995 mm
HYUNDAI,VENUE,Venue HX 5,Width,1800 mm
HYUNDAI,VENUE,Venue HX 5,Height,1665 mm
HYUNDAI,VENUE,Venue HX 5,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 5,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 5,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 5,No. of Doors,5
HYUNDAI,VENUE,Venue HX 5,Power Steering,YES
HYUNDAI,VENUE,Venue HX 5,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 5,Heater,YES
HYUNDAI,VENUE,Venue HX 5,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 5,Height Adjustable Driver Seat,YES
