company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 6T,Engine Type,1.2 l Kappa MPi
HYUNDAI,VENUE,Venue HX 6T,Displacement,1197 cc
HYUNDAI,VENUE,Venue HX 6T,Max Power,82bhp@6000rpm
HYUNDAI,VENUE,Venue HX 6T,Max Torque,114.7Nm@4200rpm
HYUNDAI,VENUE,Venue HX 6T,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 6T,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 6T,Fuel Supply System,MPi
HYUNDAI,VENUE,Venue HX 6T,Turbo Charger,NO
HYUNDAI,VENUE,Venue HX 6T,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 6T,Gearbox,5-speed
HYUNDAI,VENUE,Venue HX 6T,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 6T,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 6T,Petrol Mileage ARAI,18.5 kmpl
HYUNDAI,VENUE,Venue HX 6T,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 6T,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 6T,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 6T,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 6T,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 6T,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 6T,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 6T,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 6T,Length,3995 mm
HYUNDAI,VENUE,Venue HX 6T,Width,1800 mm
HYUNDAI,VENUE,Venue HX 6T,Height,1665 mm
HYUNDAI,VENUE,Venue HX 6T,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 6T,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 6T,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 6T,No. of Doors,5
HYUNDAI,VENUE,Venue HX 6T,Power Steering,YES
HYUNDAI,VENUE,Venue HX 6T,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 6T,Heater,YES
HYUNDAI,VENUE,Venue HX 6T,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 6T,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 6T,Ventilated Seats,NO
HYUNDAI,VENUE,Venue HX 6T,Electric Adjustable Seats,NO
HYUNDAI,VENUE,Venue HX 6T,Automatic Climate Control,YES
HYUNDAI,VENUE,Venue HX 6T,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 6T,Trunk Light,NO
HYUNDAI,VENUE,Venue HX 6T,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 6T,Rear Seat Headrest,Integrated
HYUNDAI,VENUE,Venue HX 6T,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 6T,Rear Seat Centre Arm Rest,NO
HYUNDAI,VENUE,Venue HX 6T,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 6T,Cruise Control,NO
HYUNDAI,VENUE,Venue HX 6T,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 6T,Foldable Rear Seat,Bench Folding
HYUNDAI,VENUE,Venue HX 6T,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 6T,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 6T,Engine Start/Stop Button,YES
HYUNDAI,VENUE,Venue HX 6T,Cooled Glovebox,NO
HYUNDAI,VENUE,Venue HX 6T,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 6T,Paddle Shifters,NO
HYUNDAI,VENUE,Venue HX 6T,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 6T,Central Console Armrest,With Storage
HYUNDAI,VENUE,Venue HX 6T,Drive Modes,NO
HYUNDAI,VENUE,Venue HX 6T,Idle Start-Stop System,NO
HYUNDAI,VENUE,Venue HX 6T,Rear Window Sunblind,YES
HYUNDAI,VENUE,Venue HX 6T,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 6T,Follow Me Home Headlamps,YES
HYUNDAI,VENUE,Venue HX 6T,Voice assisted sunroof,YES
HYUNDAI,VENUE,Venue HX 6T,Drive Mode Types,##changes##
HYUNDAI,VENUE,Venue HX 6T,Power Windows,Front & Rear
HYUNDAI,VENUE,Venue HX 6T,Cup Holders,Front Only
HYUNDAI,VENUE,Venue HX 6T,Tachometer,YES
HYUNDAI,VENUE,Venue HX 6T,Glove Box,YES
HYUNDAI,VENUE,Venue HX 6T,Additional Features,Rear parcel tray
HYUNDAI,VENUE,Venue HX 6T,Digital Cluster,YES
HYUNDAI,VENUE,Venue HX 6T,Digital Cluster Size,10.66
HYUNDAI,VENUE,Venue HX 6T,Upholstery,Fabric
HYUNDAI,VENUE,Venue HX 6T,Rear Window Wiper,YES
HYUNDAI,VENUE,Venue HX 6T,Rear Window Washer,YES
HYUNDAI,VENUE,Venue HX 6T,Rear Window Defogger,YES
HYUNDAI,VENUE,Venue HX 6T,Wheel Covers,YES
HYUNDAI,VENUE,Venue HX 6T,Alloy Wheels,NO
HYUNDAI,VENUE,Venue HX 6T,Rear Spoiler,YES
HYUNDAI,VENUE,Venue HX 6T,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,VENUE,Venue HX 6T,Chrome Grille,YES
HYUNDAI,VENUE,Venue HX 6T,Projector Headlamps,NO
HYUNDAI,VENUE,Venue HX 6T,Roof Rails,YES
HYUNDAI,VENUE,Venue HX 6T,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 6T,Antenna,Shark Fin
HYUNDAI,VENUE,Venue HX 6T,Sunroof,Single Pane
HYUNDAI,VENUE,Venue HX 6T,Puddle Lamps,NO
HYUNDAI,VENUE,Venue HX 6T,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,VENUE,Venue HX 6T,Tyre Size,195/65 R15
HYUNDAI,VENUE,Venue HX 6T,Tyre Type,Tubeless Radial
HYUNDAI,VENUE,Venue HX 6T,Wheel Size,15 Inch
HYUNDAI,VENUE,Venue HX 6T,LED DRLs,YES
HYUNDAI,VENUE,Venue HX 6T,LED Headlamps,YES
HYUNDAI,VENUE,Venue HX 6T,LED Taillights,YES
HYUNDAI,VENUE,Venue HX 6T,Anti-lock Braking System (ABS),YES
HYUNDAI,VENUE,Venue HX 6T,Central Locking,YES
HYUNDAI,VENUE,Venue HX 6T,Child Safety Locks,YES
HYUNDAI,VENUE,Venue HX 6T,Anti-Theft Alarm,YES
HYUNDAI,VENUE,Venue HX 6T,No. of Airbags,6
HYUNDAI,VENUE,Venue HX 6T,Driver Airbag,YES
HYUNDAI,VENUE,Venue HX 6T,Passenger Airbag,YES
HYUNDAI,VENUE,Venue HX 6T,Side Airbag,YES
HYUNDAI,VENUE,Venue HX 6T,Side Airbag-Rear,NO
HYUNDAI,VENUE,Venue HX 6T,Day & Night Rear View Mirror,YES
HYUNDAI,VENUE,Venue HX 6T,Curtain Airbag,YES
HYUNDAI,VENUE,Venue HX 6T,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,VENUE,Venue HX 6T,Seat Belt Warning,YES
HYUNDAI,VENUE,Venue HX 6T,Door Ajar Warning,YES
HYUNDAI,VENUE,Venue HX 6T,Traction Control,NO
HYUNDAI,VENUE,Venue HX 6T,Tyre Pressure Monitoring System (TPMS),YES
HYUNDAI,VENUE,Venue HX 6T,Engine Immobilizer,YES
HYUNDAI,VENUE,Venue HX 6T,Electronic Stability Control (ESC),YES
HYUNDAI,VENUE,Venue HX 6T,Rear Camera,With Guidedlines
HYUNDAI,VENUE,Venue HX 6T,Anti-Pinch Power Windows,Driver's Window
HYUNDAI,VENUE,Venue HX 6T,Speed Alert,YES
HYUNDAI,VENUE,Venue HX 6T,Speed Sensing Auto Door Lock,YES
HYUNDAI,VENUE,Venue HX 6T,ISOFIX Child Seat Mounts,YES
HYUNDAI,VENUE,Venue HX 6T,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
HYUNDAI,VENUE,Venue HX 6T,Blind Spot Camera,NO
HYUNDAI,VENUE,Venue HX 6T,Hill Assist,YES
HYUNDAI,VENUE,Venue HX 6T,Impact Sensing Auto Door Unlock,YES
HYUNDAI,VENUE,Venue HX 6T,360 View Camera,NO
HYUNDAI,VENUE,Venue HX 6T,Radio,YES
HYUNDAI,VENUE,Venue HX 6T,Wireless Phone Charging,YES
HYUNDAI,VENUE,Venue HX 6T,Bluetooth Connectivity,YES
HYUNDAI,VENUE,Venue HX 6T,Touchscreen,YES
HYUNDAI,VENUE,Venue HX 6T,Touchscreen Size,10.25 inch
HYUNDAI,VENUE,Venue HX 6T,Android Auto,YES
HYUNDAI,VENUE,Venue HX 6T,Apple CarPlay,YES
HYUNDAI,VENUE,Venue HX 6T,No. of Speakers,4
HYUNDAI,VENUE,Venue HX 6T,Usb Ports,YES
HYUNDAI,VENUE,Venue HX 6T,Tweeters,2
HYUNDAI,VENUE,Venue HX 6T,Additional Features,Wireless Android Auto and Apple Carplay
HYUNDAI,VENUE,Venue HX 6T,Speakers,Front & Rear
