company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 7 Diesel,Engine Type,U2 1.5 l CRDi
HYUNDAI,VENUE,Venue HX 7 Diesel,Displacement,1493 cc
HYUNDAI,VENUE,Venue HX 7 Diesel,Max Power,114bhp@4000rpm
HYUNDAI,VENUE,Venue HX 7 Diesel,Max Torque,250Nm@1500-2750rpm
HYUNDAI,VENUE,Venue HX 7 Diesel,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 7 Diesel,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 7 Diesel,Fuel Supply System,CRDi
HYUNDAI,VENUE,Venue HX 7 Diesel,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 7 Diesel,Gearbox,6-Speed
HYUNDAI,VENUE,Venue HX 7 Diesel,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 7 Diesel,Fuel Type,Diesel
HYUNDAI,VENUE,Venue HX 7 Diesel,Diesel Mileage ARAI,20.99 kmpl
HYUNDAI,VENUE,Venue HX 7 Diesel,Diesel Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 7 Diesel,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 7 Diesel,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 7 Diesel,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 7 Diesel,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 7 Diesel,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 7 Diesel,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 7 Diesel,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 7 Diesel,Alloy Wheel Size Front,16 Inch
HYUNDAI,VENUE,Venue HX 7 Diesel,Alloy Wheel Size Rear,16 Inch
HYUNDAI,VENUE,Venue HX 7 Diesel,Length,3995 mm
HYUNDAI,VENUE,Venue HX 7 Diesel,Width,1800 mm
HYUNDAI,VENUE,Venue HX 7 Diesel,Height,1665 mm
HYUNDAI,VENUE,Venue HX 7 Diesel,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 7 Diesel,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 7 Diesel,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 7 Diesel,No. of Doors,5
HYUNDAI,VENUE,Venue HX 7 Diesel,Power Steering,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Heater,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 7 Diesel,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Ventilated Seats,NO
HYUNDAI,VENUE,Venue HX 7 Diesel,Electric Adjustable Seats,NO
HYUNDAI,VENUE,Venue HX 7 Diesel,Automatic Climate Control,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Trunk Light,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 7 Diesel,Rear Seat Headrest,Adjustable
HYUNDAI,VENUE,Venue HX 7 Diesel,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Rear Seat Centre Arm Rest,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 7 Diesel,Foldable Rear Seat,60:40 Split
HYUNDAI,VENUE,Venue HX 7 Diesel,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 7 Diesel,Engine Start/Stop Button,YES
