company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Engine Type,1.0 l Kappa Turbo
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Displacement,998 cc
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Max Power,118bhp@6000rpm
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Max Torque,172Nm@1500-4000rpm
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,No. of Cylinders,3
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Fuel Supply System,GDi
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Gearbox,6-Speed
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Petrol Mileage ARAI,18.74 kmpl
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Alloy Wheel Size Front,16 Inch
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Alloy Wheel Size Rear,16 Inch
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Length,3995 mm
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Width,1800 mm
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Height,1665 mm
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,No. of Doors,5
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Power Steering,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Heater,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Ventilated Seats,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Electric Adjustable Seats,Front
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Automatic Climate Control,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Trunk Light,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Rear Seat Headrest,Adjustable
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Rear Seat Centre Arm Rest,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Foldable Rear Seat,60:40 Split
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Engine Start/Stop Button,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Cooled Glovebox,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Paddle Shifters,NO
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Central Console Armrest,With Storage
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Idle Start-Stop System,NO
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Rear Window Sunblind,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Follow Me Home Headlamps,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Voice assisted sunroof,YES
HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone,Drive Mode Types,NO
