company,model,variant,feature_name,feature_details
KIA,CARENS,Carens Premium Opt CNG,Engine Type,Smartstream
KIA,CARENS,Carens Premium Opt CNG,Displacement,1497 cc
KIA,CARENS,Carens Premium Opt CNG,Max Power,113.42bhp@6300rpm
KIA,CARENS,Carens Premium Opt CNG,Max Torque,144Nm@4500rpm
KIA,CARENS,Carens Premium Opt CNG,No. of Cylinders,4
KIA,CARENS,Carens Premium Opt CNG,Valves Per Cylinder,4
KIA,CARENS,Carens Premium Opt CNG,Fuel Supply System,Di
KIA,CARENS,Carens Premium Opt CNG,Turbo Charger,NO
KIA,CARENS,Carens Premium Opt CNG,Transmission Type,Manual
KIA,CARENS,Carens Premium Opt CNG,Gearbox,6-Speed
KIA,CARENS,Carens Premium Opt CNG,Drive Type,FWD
KIA,CARENS,Carens Premium Opt CNG,Fuel Type,CNG
KIA,CARENS,Carens Premium Opt CNG,CNG Highway Mileage,15.58 km/kg
KIA,CARENS,Carens Premium Opt CNG,Emission Norm Compliance,BS VI 2.0
KIA,CARENS,Carens Premium Opt CNG,Top Speed,174 kmph
KIA,CARENS,Carens Premium Opt CNG,Front Suspension,MacPherson Strut suspension
KIA,CARENS,Carens Premium Opt CNG,Rear Suspension,Rear twist beam
KIA,CARENS,Carens Premium Opt CNG,Steering Type,Electric
KIA,CARENS,Carens Premium Opt CNG,Steering Column,Tilt
KIA,CARENS,Carens Premium Opt CNG,Front Brake Type,Disc
KIA,CARENS,Carens Premium Opt CNG,Rear Brake Type,Disc
KIA,CARENS,Carens Premium Opt CNG,Length,4540 mm
KIA,CARENS,Carens Premium Opt CNG,Width,1800 mm
KIA,CARENS,Carens Premium Opt CNG,Height,1708 mm
KIA,CARENS,Carens Premium Opt CNG,Boot Space,216 Litres
KIA,CARENS,Carens Premium Opt CNG,Seating Capacity,7
KIA,CARENS,Carens Premium Opt CNG,Wheel Base,2780 mm
KIA,CARENS,Carens Premium Opt CNG,No. of Doors,5
KIA,CARENS,Carens Premium Opt CNG,Reported Ground Clearance (Unladen),195 mm
KIA,CARENS,Carens Premium Opt CNG,Power Steering,YES
KIA,CARENS,Carens Premium Opt CNG,Air Conditioner,YES
KIA,CARENS,Carens Premium Opt CNG,Heater,YES
KIA,CARENS,Carens Premium Opt CNG,Height Adjustable Driver Seat,YES
KIA,CARENS,Carens Premium Opt CNG,Ventilated Seats,NO
KIA,CARENS,Carens Premium Opt CNG,Electric Adjustable Seats,NO
KIA,CARENS,Carens Premium Opt CNG,Automatic Climate Control,NO
KIA,CARENS,Carens Premium Opt CNG,Air Quality Control,NO
KIA,CARENS,Carens Premium Opt CNG,Remote Fuel Lid Opener,NO
KIA,CARENS,Carens Premium Opt CNG,Accessory Power Outlet,YES
KIA,CARENS,Carens Premium Opt CNG,Trunk Light,NO
KIA,CARENS,Carens Premium Opt CNG,Vanity Mirror,YES
KIA,CARENS,Carens Premium Opt CNG,Rear Reading Lamp,YES
KIA,CARENS,Carens Premium Opt CNG,Adjustable Headrest,YES
KIA,CARENS,Carens Premium Opt CNG,Rear Seat Centre Arm Rest,YES
KIA,CARENS,Carens Premium Opt CNG,Height Adjustable Front Seat Belts,NO
KIA,CARENS,Carens Premium Opt CNG,Rear AC Vents,YES
KIA,CARENS,Carens Premium Opt CNG,Cruise Control,NO
KIA,CARENS,Carens Premium Opt CNG,Parking Sensors,Front & Rear
KIA,CARENS,Carens Premium Opt CNG,Foldable Rear Seat,60:40 Split
KIA,CARENS,Carens Premium Opt CNG,KeyLess Entry,YES
KIA,CARENS,Carens Premium Opt CNG,Engine Start/Stop Button,NO
KIA,CARENS,Carens Premium Opt CNG,Voice Commands,YES
KIA,CARENS,Carens Premium Opt CNG,Paddle Shifters,NO
KIA,CARENS,Carens Premium Opt CNG,USB Charger,Front & Rear
KIA,CARENS,Carens Premium Opt CNG,Central Console Armrest,With Storage
KIA,CARENS,Carens Premium Opt CNG,Gear Shift Indicator,NO
KIA,CARENS,Carens Premium Opt CNG,Rear Curtain,NO
KIA,CARENS,Carens Premium Opt CNG,Luggage Hook & Net,NO
KIA,CARENS,Carens Premium Opt CNG,Drive Modes,NO
KIA,CARENS,Carens Premium Opt CNG,Idle Start-Stop System,YES
KIA,CARENS,Carens Premium Opt CNG,Rear Window Sunblind,YES
KIA,CARENS,Carens Premium Opt CNG,Rear Windscreen Sunblind,NO
KIA,CARENS,Carens Premium Opt CNG,Automatic Headlamps,NO
KIA,CARENS,Carens Premium Opt CNG,Follow Me Home Headlamps,YES
KIA,CARENS,Carens Premium Opt CNG,Tachometer,YES
KIA,CARENS,Carens Premium Opt CNG,Leather Wrapped Steering Wheel,NO
KIA,CARENS,Carens Premium Opt CNG,Leather wrap gear-shift selector,NO
KIA,CARENS,Carens Premium Opt CNG,Glove Box,YES
KIA,CARENS,Carens Premium Opt CNG,Folding Table in The Rear,NO
KIA,CARENS,Carens Premium Opt CNG,Dual Tone Dashboard,YES
KIA,CARENS,Carens Premium Opt CNG,Digital Cluster,YES
KIA,CARENS,Carens Premium Opt CNG,Digital Cluster Size,4.2
KIA,CARENS,Carens Premium Opt CNG,Upholstery,Fabric
KIA,CARENS,Carens Premium Opt CNG,Adjustable Headlamps,YES
KIA,CARENS,Carens Premium Opt CNG,Rain Sensing Wiper,NO
KIA,CARENS,Carens Premium Opt CNG,Rear Window Wiper,NO
KIA,CARENS,Carens Premium Opt CNG,Rear Window Washer,NO
KIA,CARENS,Carens Premium Opt CNG,Rear Window Defogger,NO
KIA,CARENS,Carens Premium Opt CNG,Wheel Covers,YES
KIA,CARENS,Carens Premium Opt CNG,Alloy Wheels,NO
KIA,CARENS,Carens Premium Opt CNG,Rear Spoiler,YES
KIA,CARENS,Carens Premium Opt CNG,Side Stepper,NO
KIA,CARENS,Carens Premium Opt CNG,Outside Rear View Mirror Turn Indicators,YES
KIA,CARENS,Carens Premium Opt CNG,Integrated Antenna,YES
KIA,CARENS,Carens Premium Opt CNG,Chrome Grille,NO
KIA,CARENS,Carens Premium Opt CNG,Chrome Garnish,YES
KIA,CARENS,Carens Premium Opt CNG,Halogen Headlamps,YES
KIA,CARENS,Carens Premium Opt CNG,Roof Rails,NO
KIA,CARENS,Carens Premium Opt CNG,Fog Lights,NO
KIA,CARENS,Carens Premium Opt CNG,Antenna,Shark Fin
KIA,CARENS,Carens Premium Opt CNG,Sunroof,NO
KIA,CARENS,Carens Premium Opt CNG,Boot Opening,Electronic
KIA,CARENS,Carens Premium Opt CNG,Heated Outside Rear View Mirror,NO
KIA,CARENS,Carens Premium Opt CNG,Tyre Size,195/65 R15
KIA,CARENS,Carens Premium Opt CNG,Tyre Type,Radial Tubeless
KIA,CARENS,Carens Premium Opt CNG,Wheel Size,15 Inch
KIA,CARENS,Carens Premium Opt CNG,LED DRLs,NO
KIA,CARENS,Carens Premium Opt CNG,LED Headlamps,NO
KIA,CARENS,Carens Premium Opt CNG,LED Taillights,NO
KIA,CARENS,Carens Premium Opt CNG,LED Fog Lamps,NO
KIA,CARENS,Carens Premium Opt CNG,Anti-lock Braking System (ABS),YES
KIA,CARENS,Carens Premium Opt CNG,Brake Assist,YES
KIA,CARENS,Carens Premium Opt CNG,Central Locking,YES
KIA,CARENS,Carens Premium Opt CNG,Child Safety Locks,YES
KIA,CARENS,Carens Premium Opt CNG,Anti-Theft Alarm,YES
KIA,CARENS,Carens Premium Opt CNG,No. of Airbags,6
KIA,CARENS,Carens Premium Opt CNG,Driver Airbag,YES
KIA,CARENS,Carens Premium Opt CNG,Passenger Airbag,YES
KIA,CARENS,Carens Premium Opt CNG,Side Airbag,YES
KIA,CARENS,Carens Premium Opt CNG,Side Airbag-Rear,NO
KIA,CARENS,Carens Premium Opt CNG,Day & Night Rear View Mirror,YES
KIA,CARENS,Carens Premium Opt CNG,Curtain Airbag,YES
KIA,CARENS,Carens Premium Opt CNG,Electronic Brakeforce Distribution (EBD),YES
KIA,CARENS,Carens Premium Opt CNG,Seat Belt Warning,YES
KIA,CARENS,Carens Premium Opt CNG,Door Ajar Warning,YES
KIA,CARENS,Carens Premium Opt CNG,Tyre Pressure Monitoring System (TPMS),YES
KIA,CARENS,Carens Premium Opt CNG,Engine Immobilizer,YES
KIA,CARENS,Carens Premium Opt CNG,Electronic Stability Control (ESC),YES
KIA,CARENS,Carens Premium Opt CNG,Rear Camera,With Guidedlines
KIA,CARENS,Carens Premium Opt CNG,Speed Alert,YES
KIA,CARENS,Carens Premium Opt CNG,Speed Sensing Auto Door Lock,YES
KIA,CARENS,Carens Premium Opt CNG,ISOFIX Child Seat Mounts,YES
KIA,CARENS,Carens Premium Opt CNG,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
KIA,CARENS,Carens Premium Opt CNG,Hill Descent Control,YES
KIA,CARENS,Carens Premium Opt CNG,Hill Assist,YES
KIA,CARENS,Carens Premium Opt CNG,Impact Sensing Auto Door Unlock,YES
KIA,CARENS,Carens Premium Opt CNG,Radio,YES
KIA,CARENS,Carens Premium Opt CNG,Integrated 2DIN Audio,YES
KIA,CARENS,Carens Premium Opt CNG,Wireless Phone Charging,NO
KIA,CARENS,Carens Premium Opt CNG,Bluetooth Connectivity,YES
KIA,CARENS,Carens Premium Opt CNG,Touchscreen,YES
KIA,CARENS,Carens Premium Opt CNG,Touchscreen Size,8 inch
KIA,CARENS,Carens Premium Opt CNG,Connectivity,"Android Auto, Apple CarPlay"
KIA,CARENS,Carens Premium Opt CNG,Android Auto,YES
KIA,CARENS,Carens Premium Opt CNG,Apple CarPlay,YES
KIA,CARENS,Carens Premium Opt CNG,No. of Speakers,4
KIA,CARENS,Carens Premium Opt CNG,Rear Entertainment System,NO
KIA,CARENS,Carens Premium Opt CNG,Usb Ports,YES
KIA,CARENS,Carens Premium Opt CNG,Tweeters,2
KIA,CARENS,Carens Premium Opt CNG,Rear Touchscreen,NO
KIA,CARENS,Carens Premium Opt CNG,Additional Features,"Smart Phone Wireless Charger with (Android Auto, Apple CarPlay), BOSE Premium Sound System with 8 Speakers"
KIA,CARENS,Carens Premium Opt CNG,Speakers,Front & Rear
