company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTE Diesel,Engine Type,1.5l CRDi VGT
KIA,SELTOS,Seltos HTE Diesel,Displacement,1493 cc
KIA,SELTOS,Seltos HTE Diesel,Max Power,114bhp@4000rpm
KIA,SELTOS,Seltos HTE Diesel,Max Torque,250Nm@1500-2750rpm
KIA,SELTOS,Seltos HTE Diesel,No. of Cylinders,4
KIA,SELTOS,Seltos HTE Diesel,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTE Diesel,Fuel Supply System,CRDI
KIA,SELTOS,Seltos HTE Diesel,Turbo Charger,YES
KIA,SELTOS,Seltos HTE Diesel,Transmission Type,Manual
KIA,SELTOS,Seltos HTE Diesel,Gearbox,6-Speed
KIA,SELTOS,Seltos HTE Diesel,Drive Type,2WD
KIA,SELTOS,Seltos HTE Diesel,Fuel Type,Diesel
KIA,SELTOS,Seltos HTE Diesel,Diesel Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTE Diesel,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTE Diesel,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTE Diesel,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTE Diesel,Steering Type,Electric
KIA,SELTOS,Seltos HTE Diesel,Steering Column,Tilt
KIA,SELTOS,Seltos HTE Diesel,Front Brake Type,Disc
KIA,SELTOS,Seltos HTE Diesel,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTE Diesel,Length,4460 mm
KIA,SELTOS,Seltos HTE Diesel,Width,1830 mm
KIA,SELTOS,Seltos HTE Diesel,Height,1635 mm
KIA,SELTOS,Seltos HTE Diesel,Boot Space,447 Litres
KIA,SELTOS,Seltos HTE Diesel,Seating Capacity,5
KIA,SELTOS,Seltos HTE Diesel,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTE Diesel,No. of Doors,5
KIA,SELTOS,Seltos HTE Diesel,Power Steering,YES
KIA,SELTOS,Seltos HTE Diesel,Air Conditioner,YES
KIA,SELTOS,Seltos HTE Diesel,Heater,YES
KIA,SELTOS,Seltos HTE Diesel,Adjustable Steering,Height only
KIA,SELTOS,Seltos HTE Diesel,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTE Diesel,Ventilated Seats,NO
KIA,SELTOS,Seltos HTE Diesel,Electric Adjustable Seats,NO
KIA,SELTOS,Seltos HTE Diesel,Automatic Climate Control,NO
KIA,SELTOS,Seltos HTE Diesel,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTE Diesel,Vanity Mirror,YES
KIA,SELTOS,Seltos HTE Diesel,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTE Diesel,Rear Seat Headrest,Integrated
KIA,SELTOS,Seltos HTE Diesel,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTE Diesel,Rear Seat Centre Arm Rest,NO
KIA,SELTOS,Seltos HTE Diesel,Rear AC Vents,YES
KIA,SELTOS,Seltos HTE Diesel,Lumbar Support,NO
KIA,SELTOS,Seltos HTE Diesel,Cruise Control,YES
KIA,SELTOS,Seltos HTE Diesel,Parking Sensors,Rear
KIA,SELTOS,Seltos HTE Diesel,Foldable Rear Seat,Bench Folding
KIA,SELTOS,Seltos HTE Diesel,KeyLess Entry,YES
KIA,SELTOS,Seltos HTE Diesel,Engine Start/Stop Button,NO
KIA,SELTOS,Seltos HTE Diesel,Paddle Shifters,NO
KIA,SELTOS,Seltos HTE Diesel,USB Charger,Front & Rear
KIA,SELTOS,Seltos HTE Diesel,Central Console Armrest,YES
KIA,SELTOS,Seltos HTE Diesel,Tailgate Ajar Warning,YES
