company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTE Opt Diesel,Engine Type,1.5l CRDi VGT
KIA,SELTOS,Seltos HTE Opt Diesel,Displacement,1493 cc
KIA,SELTOS,Seltos HTE Opt Diesel,Max Power,114bhp@4000rpm
KIA,SELTOS,Seltos HTE Opt Diesel,Max Torque,250Nm@1500-2750rpm
KIA,SELTOS,Seltos HTE Opt Diesel,No. of Cylinders,4
KIA,SELTOS,Seltos HTE Opt Diesel,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTE Opt Diesel,Fuel Supply System,CRDI
KIA,SELTOS,Seltos HTE Opt Diesel,Turbo Charger,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Transmission Type,Manual
KIA,SELTOS,Seltos HTE Opt Diesel,Gearbox,6-Speed
KIA,SELTOS,Seltos HTE Opt Diesel,Drive Type,2WD
KIA,SELTOS,Seltos HTE Opt Diesel,Fuel Type,Diesel
KIA,SELTOS,Seltos HTE Opt Diesel,Diesel Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTE Opt Diesel,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTE Opt Diesel,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTE Opt Diesel,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTE Opt Diesel,Steering Type,Electric
KIA,SELTOS,Seltos HTE Opt Diesel,Steering Column,Tilt
KIA,SELTOS,Seltos HTE Opt Diesel,Front Brake Type,Disc
KIA,SELTOS,Seltos HTE Opt Diesel,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTE Opt Diesel,Length,4460 mm
KIA,SELTOS,Seltos HTE Opt Diesel,Width,1830 mm
KIA,SELTOS,Seltos HTE Opt Diesel,Height,1635 mm
KIA,SELTOS,Seltos HTE Opt Diesel,Boot Space,447 Litres
KIA,SELTOS,Seltos HTE Opt Diesel,Seating Capacity,5
KIA,SELTOS,Seltos HTE Opt Diesel,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTE Opt Diesel,No. of Doors,5
KIA,SELTOS,Seltos HTE Opt Diesel,Power Steering,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Air Conditioner,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Heater,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Adjustable Steering,Height only
KIA,SELTOS,Seltos HTE Opt Diesel,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Ventilated Seats,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Electric Adjustable Seats,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Automatic Climate Control,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Vanity Mirror,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos HTE Opt Diesel,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Rear AC Vents,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Lumbar Support,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Cruise Control,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Parking Sensors,Rear
KIA,SELTOS,Seltos HTE Opt Diesel,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos HTE Opt Diesel,KeyLess Entry,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Engine Start/Stop Button,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Paddle Shifters,YES
KIA,SELTOS,Seltos HTE Opt Diesel,USB Charger,Front & Rear
KIA,SELTOS,Seltos HTE Opt Diesel,Central Console Armrest,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Tailgate Ajar Warning,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Drive Modes,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Rear Window Sunblind,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Additional Features,Sunglass Holder
KIA,SELTOS,Seltos HTE Opt Diesel,Drive Mode Types,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Power Windows,Front & Rear
KIA,SELTOS,Seltos HTE Opt Diesel,Cup Holders,Front & Rear
KIA,SELTOS,Seltos HTE Opt Diesel,Tachometer,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Leather Wrapped Steering Wheel,NO
KIA,SELTOS,Seltos HTE Opt Diesel,Glove Box,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Digital Cluster,YES
KIA,SELTOS,Seltos HTE Opt Diesel,Digital Cluster Size,4.2
