company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTE Opt,Engine Type,SmartStream G1.5
KIA,SELTOS,Seltos HTE Opt,Displacement,1497 cc
KIA,SELTOS,Seltos HTE Opt,Max Power,113bhp@6300rpm
KIA,SELTOS,Seltos HTE Opt,Max Torque,144Nm@4500rpm
KIA,SELTOS,Seltos HTE Opt,No. of Cylinders,4
KIA,SELTOS,Seltos HTE Opt,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTE Opt,Fuel Supply System,MPi
KIA,SELTOS,Seltos HTE Opt,Turbo Charger,NO
KIA,SELTOS,Seltos HTE Opt,Transmission Type,Manual
KIA,SELTOS,Seltos HTE Opt,Gearbox,6-Speed
KIA,SELTOS,Seltos HTE Opt,Drive Type,2WD
KIA,SELTOS,Seltos HTE Opt,Fuel Type,Petrol
KIA,SELTOS,Seltos HTE Opt,Petrol Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTE Opt,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTE Opt,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTE Opt,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTE Opt,Steering Type,Electric
KIA,SELTOS,Seltos HTE Opt,Steering Column,Tilt
KIA,SELTOS,Seltos HTE Opt,Front Brake Type,Disc
KIA,SELTOS,Seltos HTE Opt,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTE Opt,Length,4460 mm
KIA,SELTOS,Seltos HTE Opt,Width,1830 mm
KIA,SELTOS,Seltos HTE Opt,Height,1635 mm
KIA,SELTOS,Seltos HTE Opt,Boot Space,447 Litres
KIA,SELTOS,Seltos HTE Opt,Seating Capacity,5
KIA,SELTOS,Seltos HTE Opt,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTE Opt,No. of Doors,5
KIA,SELTOS,Seltos HTE Opt,Power Steering,YES
KIA,SELTOS,Seltos HTE Opt,Air Conditioner,YES
