company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTK Diesel AT,Engine Type,1.5l CRDi VGT
KIA,SELTOS,Seltos HTK Diesel AT,Displacement,1493 cc
KIA,SELTOS,Seltos HTK Diesel AT,Max Power,114bhp@4000rpm
KIA,SELTOS,Seltos HTK Diesel AT,Max Torque,250Nm@1500-2750rpm
KIA,SELTOS,Seltos HTK Diesel AT,No. of Cylinders,4
KIA,SELTOS,Seltos HTK Diesel AT,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTK Diesel AT,Fuel Supply System,CRDI
KIA,SELTOS,Seltos HTK Diesel AT,Turbo Charger,YES
KIA,SELTOS,Seltos HTK Diesel AT,Transmission Type,Automatic
KIA,SELTOS,Seltos HTK Diesel AT,Gearbox,6-Speed
KIA,SELTOS,Seltos HTK Diesel AT,Drive Type,2WD
KIA,SELTOS,Seltos HTK Diesel AT,Fuel Type,Diesel
KIA,SELTOS,Seltos HTK Diesel AT,Diesel Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTK Diesel AT,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTK Diesel AT,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTK Diesel AT,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTK Diesel AT,Steering Type,Electric
KIA,SELTOS,Seltos HTK Diesel AT,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos HTK Diesel AT,Front Brake Type,Disc
KIA,SELTOS,Seltos HTK Diesel AT,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTK Diesel AT,Alloy Wheel Size Front,17 Inch
KIA,SELTOS,Seltos HTK Diesel AT,Alloy Wheel Size Rear,17 Inch
KIA,SELTOS,Seltos HTK Diesel AT,Length,4460 mm
KIA,SELTOS,Seltos HTK Diesel AT,Width,1830 mm
KIA,SELTOS,Seltos HTK Diesel AT,Height,1635 mm
KIA,SELTOS,Seltos HTK Diesel AT,Boot Space,447 Litres
KIA,SELTOS,Seltos HTK Diesel AT,Seating Capacity,5
KIA,SELTOS,Seltos HTK Diesel AT,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTK Diesel AT,No. of Doors,5
KIA,SELTOS,Seltos HTK Diesel AT,Power Steering,YES
KIA,SELTOS,Seltos HTK Diesel AT,Air Conditioner,YES
KIA,SELTOS,Seltos HTK Diesel AT,Heater,YES
KIA,SELTOS,Seltos HTK Diesel AT,Adjustable Steering,Height & Reach
KIA,SELTOS,Seltos HTK Diesel AT,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTK Diesel AT,Ventilated Seats,NO
KIA,SELTOS,Seltos HTK Diesel AT,Electric Adjustable Seats,NO
KIA,SELTOS,Seltos HTK Diesel AT,Automatic Climate Control,NO
KIA,SELTOS,Seltos HTK Diesel AT,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTK Diesel AT,Vanity Mirror,YES
KIA,SELTOS,Seltos HTK Diesel AT,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTK Diesel AT,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos HTK Diesel AT,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTK Diesel AT,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos HTK Diesel AT,Rear AC Vents,YES
KIA,SELTOS,Seltos HTK Diesel AT,Lumbar Support,NO
KIA,SELTOS,Seltos HTK Diesel AT,Cruise Control,YES
KIA,SELTOS,Seltos HTK Diesel AT,Parking Sensors,Rear
KIA,SELTOS,Seltos HTK Diesel AT,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos HTK Diesel AT,KeyLess Entry,YES
KIA,SELTOS,Seltos HTK Diesel AT,Engine Start/Stop Button,YES
KIA,SELTOS,Seltos HTK Diesel AT,Paddle Shifters,YES
KIA,SELTOS,Seltos HTK Diesel AT,USB Charger,Front & Rear
KIA,SELTOS,Seltos HTK Diesel AT,Central Console Armrest,YES
KIA,SELTOS,Seltos HTK Diesel AT,Tailgate Ajar Warning,YES
