company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTK Diesel,Engine Type,1.5l CRDi VGT
KIA,SELTOS,Seltos HTK Diesel,Displacement,1493 cc
KIA,SELTOS,Seltos HTK Diesel,Max Power,114bhp@4000rpm
KIA,SELTOS,Seltos HTK Diesel,Max Torque,250Nm@1500-2750rpm
KIA,SELTOS,Seltos HTK Diesel,No. of Cylinders,4
KIA,SELTOS,Seltos HTK Diesel,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTK Diesel,Fuel Supply System,CRDI
KIA,SELTOS,Seltos HTK Diesel,Turbo Charger,YES
KIA,SELTOS,Seltos HTK Diesel,Transmission Type,Manual
KIA,SELTOS,Seltos HTK Diesel,Gearbox,6-Speed
KIA,SELTOS,Seltos HTK Diesel,Drive Type,2WD
KIA,SELTOS,Seltos HTK Diesel,Fuel Type,Diesel
KIA,SELTOS,Seltos HTK Diesel,Diesel Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTK Diesel,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTK Diesel,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTK Diesel,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTK Diesel,Steering Type,Electric
KIA,SELTOS,Seltos HTK Diesel,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos HTK Diesel,Front Brake Type,Disc
KIA,SELTOS,Seltos HTK Diesel,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTK Diesel,Length,4460 mm
KIA,SELTOS,Seltos HTK Diesel,Width,1830 mm
KIA,SELTOS,Seltos HTK Diesel,Height,1635 mm
KIA,SELTOS,Seltos HTK Diesel,Boot Space,447 Litres
KIA,SELTOS,Seltos HTK Diesel,Seating Capacity,5
KIA,SELTOS,Seltos HTK Diesel,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTK Diesel,No. of Doors,5
KIA,SELTOS,Seltos HTK Diesel,Power Steering,YES
KIA,SELTOS,Seltos HTK Diesel,Air Conditioner,YES
KIA,SELTOS,Seltos HTK Diesel,Heater,YES
KIA,SELTOS,Seltos HTK Diesel,Adjustable Steering,Height & Reach
KIA,SELTOS,Seltos HTK Diesel,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTK Diesel,Ventilated Seats,NO
KIA,SELTOS,Seltos HTK Diesel,Electric Adjustable Seats,NO
KIA,SELTOS,Seltos HTK Diesel,Automatic Climate Control,NO
KIA,SELTOS,Seltos HTK Diesel,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTK Diesel,Vanity Mirror,YES
KIA,SELTOS,Seltos HTK Diesel,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTK Diesel,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos HTK Diesel,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTK Diesel,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos HTK Diesel,Rear AC Vents,YES
KIA,SELTOS,Seltos HTK Diesel,Lumbar Support,NO
KIA,SELTOS,Seltos HTK Diesel,Cruise Control,YES
KIA,SELTOS,Seltos HTK Diesel,Parking Sensors,Rear
KIA,SELTOS,Seltos HTK Diesel,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos HTK Diesel,KeyLess Entry,YES
KIA,SELTOS,Seltos HTK Diesel,Engine Start/Stop Button,YES
KIA,SELTOS,Seltos HTK Diesel,Paddle Shifters,NO
KIA,SELTOS,Seltos HTK Diesel,USB Charger,Front & Rear
KIA,SELTOS,Seltos HTK Diesel,Central Console Armrest,YES
KIA,SELTOS,Seltos HTK Diesel,Tailgate Ajar Warning,YES
KIA,SELTOS,Seltos HTK Diesel,Drive Modes,NO
KIA,SELTOS,Seltos HTK Diesel,Rear Window Sunblind,YES
KIA,SELTOS,Seltos HTK Diesel,Additional Features,Sunglass Holder
KIA,SELTOS,Seltos HTK Diesel,Drive Mode Types,NO
KIA,SELTOS,Seltos HTK Diesel,Power Windows,Front & Rear
KIA,SELTOS,Seltos HTK Diesel,Cup Holders,Front & Rear
KIA,SELTOS,Seltos HTK Diesel,Tachometer,YES
KIA,SELTOS,Seltos HTK Diesel,Leather Wrapped Steering Wheel,NO
KIA,SELTOS,Seltos HTK Diesel,Glove Box,YES
KIA,SELTOS,Seltos HTK Diesel,Additional Features,Rear Parcel Shelf
