company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTK Opt iVT,Engine Type,SmartStream G1.5
KIA,SELTOS,Seltos HTK Opt iVT,Displacement,1497 cc
KIA,SELTOS,Seltos HTK Opt iVT,Max Power,113bhp@6300rpm
KIA,SELTOS,Seltos HTK Opt iVT,Max Torque,144Nm@4500rpm
KIA,SELTOS,Seltos HTK Opt iVT,No. of Cylinders,4
KIA,SELTOS,Seltos HTK Opt iVT,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTK Opt iVT,Fuel Supply System,MPi
KIA,SELTOS,Seltos HTK Opt iVT,Turbo Charger,NO
KIA,SELTOS,Seltos HTK Opt iVT,Transmission Type,Automatic
KIA,SELTOS,Seltos HTK Opt iVT,Gearbox,6-Speed
KIA,SELTOS,Seltos HTK Opt iVT,Drive Type,2WD
KIA,SELTOS,Seltos HTK Opt iVT,Fuel Type,Petrol
KIA,SELTOS,Seltos HTK Opt iVT,Petrol Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTK Opt iVT,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTK Opt iVT,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTK Opt iVT,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTK Opt iVT,Steering Type,Electric
KIA,SELTOS,Seltos HTK Opt iVT,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos HTK Opt iVT,Front Brake Type,Disc
KIA,SELTOS,Seltos HTK Opt iVT,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTK Opt iVT,Alloy Wheel Size Front,17 Inch
KIA,SELTOS,Seltos HTK Opt iVT,Alloy Wheel Size Rear,17 Inch
KIA,SELTOS,Seltos HTK Opt iVT,Length,4460 mm
KIA,SELTOS,Seltos HTK Opt iVT,Width,1830 mm
KIA,SELTOS,Seltos HTK Opt iVT,Height,1635 mm
KIA,SELTOS,Seltos HTK Opt iVT,Boot Space,447 Litres
KIA,SELTOS,Seltos HTK Opt iVT,Seating Capacity,5
KIA,SELTOS,Seltos HTK Opt iVT,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTK Opt iVT,No. of Doors,5
KIA,SELTOS,Seltos HTK Opt iVT,Power Steering,YES
KIA,SELTOS,Seltos HTK Opt iVT,Air Conditioner,YES
KIA,SELTOS,Seltos HTK Opt iVT,Heater,YES
KIA,SELTOS,Seltos HTK Opt iVT,Adjustable Steering,Height & Reach
KIA,SELTOS,Seltos HTK Opt iVT,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTK Opt iVT,Ventilated Seats,YES
KIA,SELTOS,Seltos HTK Opt iVT,Electric Adjustable Seats,Front
KIA,SELTOS,Seltos HTK Opt iVT,Automatic Climate Control,NO
KIA,SELTOS,Seltos HTK Opt iVT,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTK Opt iVT,Vanity Mirror,YES
KIA,SELTOS,Seltos HTK Opt iVT,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTK Opt iVT,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos HTK Opt iVT,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTK Opt iVT,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos HTK Opt iVT,Rear AC Vents,YES
KIA,SELTOS,Seltos HTK Opt iVT,Lumbar Support,NO
KIA,SELTOS,Seltos HTK Opt iVT,Cruise Control,YES
KIA,SELTOS,Seltos HTK Opt iVT,Parking Sensors,Front & Rear
KIA,SELTOS,Seltos HTK Opt iVT,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos HTK Opt iVT,KeyLess Entry,YES
KIA,SELTOS,Seltos HTK Opt iVT,Engine Start/Stop Button,YES
KIA,SELTOS,Seltos HTK Opt iVT,Paddle Shifters,YES
KIA,SELTOS,Seltos HTK Opt iVT,USB Charger,Front & Rear
KIA,SELTOS,Seltos HTK Opt iVT,Central Console Armrest,YES
KIA,SELTOS,Seltos HTK Opt iVT,Tailgate Ajar Warning,YES
KIA,SELTOS,Seltos HTK Opt iVT,Drive Modes,3
KIA,SELTOS,Seltos HTK Opt iVT,Rear Window Sunblind,YES
KIA,SELTOS,Seltos HTK Opt iVT,Additional Features,Sunglass Holder
KIA,SELTOS,Seltos HTK Opt iVT,Drive Mode Types,ECO | NORMAL | SPORTS
KIA,SELTOS,Seltos HTK Opt iVT,Power Windows,Front & Rear
KIA,SELTOS,Seltos HTK Opt iVT,Cup Holders,Front & Rear
KIA,SELTOS,Seltos HTK Opt iVT,Tachometer,YES
KIA,SELTOS,Seltos HTK Opt iVT,Leather Wrapped Steering Wheel,YES
KIA,SELTOS,Seltos HTK Opt iVT,Glove Box,YES
