company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTX Diesel,Engine Type,1.5l CRDi VGT
KIA,SELTOS,Seltos HTX Diesel,Displacement,1493 cc
KIA,SELTOS,Seltos HTX Diesel,Max Power,114bhp@4000rpm
KIA,SELTOS,Seltos HTX Diesel,Max Torque,250Nm@1500-2750rpm
KIA,SELTOS,Seltos HTX Diesel,No. of Cylinders,4
KIA,SELTOS,Seltos HTX Diesel,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTX Diesel,Fuel Supply System,CRDI
KIA,SELTOS,Seltos HTX Diesel,Turbo Charger,YES
KIA,SELTOS,Seltos HTX Diesel,Transmission Type,Manual
KIA,SELTOS,Seltos HTX Diesel,Gearbox,6-Speed
KIA,SELTOS,Seltos HTX Diesel,Drive Type,2WD
KIA,SELTOS,Seltos HTX Diesel,Fuel Type,Diesel
KIA,SELTOS,Seltos HTX Diesel,Diesel Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTX Diesel,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTX Diesel,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTX Diesel,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTX Diesel,Steering Type,Electric
KIA,SELTOS,Seltos HTX Diesel,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos HTX Diesel,Front Brake Type,Disc
KIA,SELTOS,Seltos HTX Diesel,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTX Diesel,Alloy Wheel Size Front,17 Inch
KIA,SELTOS,Seltos HTX Diesel,Alloy Wheel Size Rear,17 Inch
KIA,SELTOS,Seltos HTX Diesel,Length,4460 mm
KIA,SELTOS,Seltos HTX Diesel,Width,1830 mm
KIA,SELTOS,Seltos HTX Diesel,Height,1635 mm
KIA,SELTOS,Seltos HTX Diesel,Boot Space,447 Litres
KIA,SELTOS,Seltos HTX Diesel,Seating Capacity,5
KIA,SELTOS,Seltos HTX Diesel,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTX Diesel,No. of Doors,5
KIA,SELTOS,Seltos HTX Diesel,Power Steering,YES
KIA,SELTOS,Seltos HTX Diesel,Air Conditioner,YES
