company,model,variant,feature_name,feature_details
KIA,SONET,Sonet GTX Plus Diesel AT,Engine Type,1.5L CRDi VGT
KIA,SONET,Sonet GTX Plus Diesel AT,Displacement,1493 cc
KIA,SONET,Sonet GTX Plus Diesel AT,Max Power,114bhp@4000rpm
KIA,SONET,Sonet GTX Plus Diesel AT,Max Torque,250Nm@1500-2750rpm
KIA,SONET,Sonet GTX Plus Diesel AT,No. of Cylinders,4
KIA,SONET,Sonet GTX Plus Diesel AT,Valves Per Cylinder,4
KIA,SONET,Sonet GTX Plus Diesel AT,Fuel Supply System,CRDi
KIA,SONET,Sonet GTX Plus Diesel AT,Turbo Charger,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Transmission Type,Automatic
KIA,SONET,Sonet GTX Plus Diesel AT,Gearbox,6-Speed AT
KIA,SONET,Sonet GTX Plus Diesel AT,Drive Type,FWD
KIA,SONET,Sonet GTX Plus Diesel AT,Fuel Type,Diesel
KIA,SONET,Sonet GTX Plus Diesel AT,Diesel Mileage ARAI,19 kmpl
KIA,SONET,Sonet GTX Plus Diesel AT,Diesel Fuel Tank Capacity,45 Litres
KIA,SONET,Sonet GTX Plus Diesel AT,Emission Norm Compliance,BS VI 2.0
KIA,SONET,Sonet GTX Plus Diesel AT,Front Suspension,MacPherson Strut suspension
KIA,SONET,Sonet GTX Plus Diesel AT,Rear Suspension,Rear twist beam
KIA,SONET,Sonet GTX Plus Diesel AT,Steering Type,Electric
KIA,SONET,Sonet GTX Plus Diesel AT,Steering Column,Tilt
KIA,SONET,Sonet GTX Plus Diesel AT,Front Brake Type,Disc
KIA,SONET,Sonet GTX Plus Diesel AT,Rear Brake Type,Disc
KIA,SONET,Sonet GTX Plus Diesel AT,Alloy Wheel Size Front,16 Inch
KIA,SONET,Sonet GTX Plus Diesel AT,Alloy Wheel Size Rear,16 Inch
KIA,SONET,Sonet GTX Plus Diesel AT,Length,3995 mm
KIA,SONET,Sonet GTX Plus Diesel AT,Width,1790 mm
KIA,SONET,Sonet GTX Plus Diesel AT,Height,1642 mm
KIA,SONET,Sonet GTX Plus Diesel AT,Boot Space,385 Litres
KIA,SONET,Sonet GTX Plus Diesel AT,Seating Capacity,5
KIA,SONET,Sonet GTX Plus Diesel AT,Wheel Base,2500 mm
KIA,SONET,Sonet GTX Plus Diesel AT,No. of Doors,5
KIA,SONET,Sonet GTX Plus Diesel AT,Reported Ground Clearance (Unladen),205 mm
KIA,SONET,Sonet GTX Plus Diesel AT,Power Steering,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Air Conditioner,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Heater,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Adjustable Steering,Height only
KIA,SONET,Sonet GTX Plus Diesel AT,Height Adjustable Driver Seat,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Ventilated Seats,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Electric Adjustable Seats,NO
KIA,SONET,Sonet GTX Plus Diesel AT,Automatic Climate Control,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Air Quality Control,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Accessory Power Outlet,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Rear Reading Lamp,YES
KIA,SONET,Sonet GTX Plus Diesel AT,Rear Seat Headrest,Adjustable
KIA,SONET,Sonet GTX Plus Diesel AT,Adjustable Headrest,YES
