company,model,variant,feature_name,feature_details
KIA,SONET,Sonet HTK,Engine Type,Smartstream G1.2
KIA,SONET,Sonet HTK,Displacement,1197 cc
KIA,SONET,Sonet HTK,Max Power,81.8bhp@6000rpm
KIA,SONET,Sonet HTK,Max Torque,115Nm@4200rpm
KIA,SONET,Sonet HTK,No. of Cylinders,4
KIA,SONET,Sonet HTK,Valves Per Cylinder,4
KIA,SONET,Sonet HTK,Fuel Supply System,MPi
KIA,SONET,Sonet HTK,Turbo Charger,NO
KIA,SONET,Sonet HTK,Transmission Type,Manual
KIA,SONET,Sonet HTK,Gearbox,5-Speed
KIA,SONET,Sonet HTK,Drive Type,FWD
KIA,SONET,Sonet HTK,Fuel Type,Petrol
KIA,SONET,Sonet HTK,Petrol Mileage ARAI,18.4 kmpl
KIA,SONET,Sonet HTK,Petrol Fuel Tank Capacity,45 Litres
KIA,SONET,Sonet HTK,Emission Norm Compliance,BS VI 2.0
KIA,SONET,Sonet HTK,Front Suspension,MacPherson Strut suspension
KIA,SONET,Sonet HTK,Rear Suspension,Rear twist beam
KIA,SONET,Sonet HTK,Steering Type,Electric
KIA,SONET,Sonet HTK,Steering Column,Tilt
KIA,SONET,Sonet HTK,Front Brake Type,Disc
KIA,SONET,Sonet HTK,Rear Brake Type,Drum
KIA,SONET,Sonet HTK,Length,3995 mm
KIA,SONET,Sonet HTK,Width,1790 mm
KIA,SONET,Sonet HTK,Height,1642 mm
KIA,SONET,Sonet HTK,Boot Space,385 Litres
KIA,SONET,Sonet HTK,Seating Capacity,5
KIA,SONET,Sonet HTK,Wheel Base,2500 mm
KIA,SONET,Sonet HTK,No. of Doors,5
KIA,SONET,Sonet HTK,Power Steering,YES
KIA,SONET,Sonet HTK,Air Conditioner,YES
KIA,SONET,Sonet HTK,Heater,YES
KIA,SONET,Sonet HTK,Adjustable Steering,Height only
KIA,SONET,Sonet HTK,Height Adjustable Driver Seat,YES
KIA,SONET,Sonet HTK,Ventilated Seats,NO
KIA,SONET,Sonet HTK,Electric Adjustable Seats,NO
KIA,SONET,Sonet HTK,Automatic Climate Control,NO
KIA,SONET,Sonet HTK,Air Quality Control,NO
KIA,SONET,Sonet HTK,Accessory Power Outlet,YES
KIA,SONET,Sonet HTK,Vanity Mirror,YES
