company,model,variant,feature_name,feature_details
KIA,SONET,Sonet HTX Diesel AT,Engine Type,1.5L CRDi VGT
KIA,SONET,Sonet HTX Diesel AT,Displacement,1493 cc
KIA,SONET,Sonet HTX Diesel AT,Max Power,114bhp@4000rpm
KIA,SONET,Sonet HTX Diesel AT,Max Torque,250Nm@1500-2750rpm
KIA,SONET,Sonet HTX Diesel AT,No. of Cylinders,4
KIA,SONET,Sonet HTX Diesel AT,Valves Per Cylinder,4
KIA,SONET,Sonet HTX Diesel AT,Fuel Supply System,CRDi
KIA,SONET,Sonet HTX Diesel AT,Turbo Charger,YES
KIA,SONET,Sonet HTX Diesel AT,Transmission Type,Automatic
KIA,SONET,Sonet HTX Diesel AT,Gearbox,6-Speed AT
KIA,SONET,Sonet HTX Diesel AT,Drive Type,FWD
KIA,SONET,Sonet HTX Diesel AT,Fuel Type,Diesel
KIA,SONET,Sonet HTX Diesel AT,Diesel Mileage ARAI,19 kmpl
KIA,SONET,Sonet HTX Diesel AT,Diesel Fuel Tank Capacity,45 Litres
KIA,SONET,Sonet HTX Diesel AT,Emission Norm Compliance,BS VI 2.0
KIA,SONET,Sonet HTX Diesel AT,Front Suspension,MacPherson Strut suspension
KIA,SONET,Sonet HTX Diesel AT,Rear Suspension,Rear twist beam
KIA,SONET,Sonet HTX Diesel AT,Steering Type,Electric
KIA,SONET,Sonet HTX Diesel AT,Steering Column,Tilt
KIA,SONET,Sonet HTX Diesel AT,Front Brake Type,Disc
KIA,SONET,Sonet HTX Diesel AT,Rear Brake Type,Disc
KIA,SONET,Sonet HTX Diesel AT,Alloy Wheel Size Front,16 Inch
KIA,SONET,Sonet HTX Diesel AT,Alloy Wheel Size Rear,16 Inch
KIA,SONET,Sonet HTX Diesel AT,Length,3995 mm
KIA,SONET,Sonet HTX Diesel AT,Width,1790 mm
KIA,SONET,Sonet HTX Diesel AT,Height,1642 mm
KIA,SONET,Sonet HTX Diesel AT,Boot Space,385 Litres
KIA,SONET,Sonet HTX Diesel AT,Seating Capacity,5
KIA,SONET,Sonet HTX Diesel AT,Wheel Base,2500 mm
KIA,SONET,Sonet HTX Diesel AT,No. of Doors,5
KIA,SONET,Sonet HTX Diesel AT,Power Steering,YES
KIA,SONET,Sonet HTX Diesel AT,Air Conditioner,YES
KIA,SONET,Sonet HTX Diesel AT,Heater,YES
KIA,SONET,Sonet HTX Diesel AT,Adjustable Steering,Height only
KIA,SONET,Sonet HTX Diesel AT,Height Adjustable Driver Seat,YES
KIA,SONET,Sonet HTX Diesel AT,Ventilated Seats,YES
KIA,SONET,Sonet HTX Diesel AT,Electric Adjustable Seats,NO
KIA,SONET,Sonet HTX Diesel AT,Automatic Climate Control,YES
KIA,SONET,Sonet HTX Diesel AT,Air Quality Control,NO
KIA,SONET,Sonet HTX Diesel AT,Accessory Power Outlet,YES
KIA,SONET,Sonet HTX Diesel AT,Trunk Light,YES
KIA,SONET,Sonet HTX Diesel AT,Rear Reading Lamp,YES
KIA,SONET,Sonet HTX Diesel AT,Rear Seat Headrest,Adjustable
KIA,SONET,Sonet HTX Diesel AT,Adjustable Headrest,YES
KIA,SONET,Sonet HTX Diesel AT,Rear Seat Centre Arm Rest,YES
KIA,SONET,Sonet HTX Diesel AT,Rear AC Vents,YES
KIA,SONET,Sonet HTX Diesel AT,Cruise Control,YES
KIA,SONET,Sonet HTX Diesel AT,Parking Sensors,Front & Rear
KIA,SONET,Sonet HTX Diesel AT,Real-Time Vehicle Tracking,NO
KIA,SONET,Sonet HTX Diesel AT,Foldable Rear Seat,60:40 Split
