company,model,variant,feature_name,feature_details
KIA,SONET,Sonet X-line Turbo DCT,Engine Type,Smartstream G1.0 TGDi
KIA,SONET,Sonet X-line Turbo DCT,Displacement,998 cc
KIA,SONET,Sonet X-line Turbo DCT,Max Power,118bhp@6000rpm
KIA,SONET,Sonet X-line Turbo DCT,Max Torque,172Nm@1500-4000rpm
KIA,SONET,Sonet X-line Turbo DCT,No. of Cylinders,3
KIA,SONET,Sonet X-line Turbo DCT,Valves Per Cylinder,4
KIA,SONET,Sonet X-line Turbo DCT,Fuel Supply System,GDi
KIA,SONET,Sonet X-line Turbo DCT,Turbo Charger,YES
KIA,SONET,Sonet X-line Turbo DCT,Regenerative Braking,NO
KIA,SONET,Sonet X-line Turbo DCT,Transmission Type,Automatic
KIA,SONET,Sonet X-line Turbo DCT,Gearbox,7-Speed DCT
KIA,SONET,Sonet X-line Turbo DCT,Drive Type,FWD
KIA,SONET,Sonet X-line Turbo DCT,Fuel Type,Petrol
KIA,SONET,Sonet X-line Turbo DCT,Petrol Mileage ARAI,18.4 kmpl
KIA,SONET,Sonet X-line Turbo DCT,Petrol Fuel Tank Capacity,45 Litres
KIA,SONET,Sonet X-line Turbo DCT,Emission Norm Compliance,BS VI 2.0
KIA,SONET,Sonet X-line Turbo DCT,Front Suspension,MacPherson Strut suspension
KIA,SONET,Sonet X-line Turbo DCT,Rear Suspension,Rear twist beam
KIA,SONET,Sonet X-line Turbo DCT,Steering Type,Electric
KIA,SONET,Sonet X-line Turbo DCT,Steering Column,Tilt
KIA,SONET,Sonet X-line Turbo DCT,Front Brake Type,Disc
KIA,SONET,Sonet X-line Turbo DCT,Rear Brake Type,Disc
KIA,SONET,Sonet X-line Turbo DCT,Alloy Wheel Size Front,16 Inch
KIA,SONET,Sonet X-line Turbo DCT,Alloy Wheel Size Rear,16 Inch
KIA,SONET,Sonet X-line Turbo DCT,Length,3995 mm
KIA,SONET,Sonet X-line Turbo DCT,Width,1790 mm
KIA,SONET,Sonet X-line Turbo DCT,Height,1642 mm
KIA,SONET,Sonet X-line Turbo DCT,Boot Space,385 Litres
KIA,SONET,Sonet X-line Turbo DCT,Seating Capacity,5
KIA,SONET,Sonet X-line Turbo DCT,Wheel Base,2500 mm
KIA,SONET,Sonet X-line Turbo DCT,No. of Doors,5
KIA,SONET,Sonet X-line Turbo DCT,Power Steering,YES
KIA,SONET,Sonet X-line Turbo DCT,Air Conditioner,YES
KIA,SONET,Sonet X-line Turbo DCT,Heater,YES
KIA,SONET,Sonet X-line Turbo DCT,Height Adjustable Driver Seat,YES
KIA,SONET,Sonet X-line Turbo DCT,Ventilated Seats,YES
KIA,SONET,Sonet X-line Turbo DCT,Electric Adjustable Seats,Front
KIA,SONET,Sonet X-line Turbo DCT,Automatic Climate Control,YES
KIA,SONET,Sonet X-line Turbo DCT,Air Quality Control,YES
KIA,SONET,Sonet X-line Turbo DCT,Accessory Power Outlet,YES
KIA,SONET,Sonet X-line Turbo DCT,Rear Reading Lamp,YES
KIA,SONET,Sonet X-line Turbo DCT,Rear Seat Headrest,Adjustable
KIA,SONET,Sonet X-line Turbo DCT,Adjustable Headrest,YES
KIA,SONET,Sonet X-line Turbo DCT,Rear Seat Centre Arm Rest,YES
KIA,SONET,Sonet X-line Turbo DCT,Rear AC Vents,YES
KIA,SONET,Sonet X-line Turbo DCT,Active noise cancellation,NO
KIA,SONET,Sonet X-line Turbo DCT,Cruise Control,YES
KIA,SONET,Sonet X-line Turbo DCT,Parking Sensors,Front & Rear
KIA,SONET,Sonet X-line Turbo DCT,Foldable Rear Seat,60:40 Split
