company,model,variant,feature_name,feature_details
MAHINDRA,BOLERO,Bolero B6,Engine Type,mHAWK75
MAHINDRA,BOLERO,Bolero B6,Displacement,1493 cc
MAHINDRA,BOLERO,Bolero B6,Max Power,74.96bhp@3600rpm
MAHINDRA,BOLERO,Bolero B6,Max Torque,210Nm@1600-2200rpm
MAHINDRA,BOLERO,Bolero B6,No. of Cylinders,3
MAHINDRA,BOLERO,Bolero B6,Valves Per Cylinder,4
MAHINDRA,BOLERO,Bolero B6,Valve Configuration,SOHC
MAHINDRA,BOLERO,Bolero B6,Turbo Charger,YES
MAHINDRA,BOLERO,Bolero B6,Transmission Type,Manual
MAHINDRA,BOLERO,Bolero B6,Gearbox,5-Speed
MAHINDRA,BOLERO,Bolero B6,Drive Type,RWD
MAHINDRA,BOLERO,Bolero B6,Fuel Type,Diesel
MAHINDRA,BOLERO,Bolero B6,Diesel Mileage ARAI,16 kmpl
MAHINDRA,BOLERO,Bolero B6,Diesel Fuel Tank Capacity,60 Litres
MAHINDRA,BOLERO,Bolero B6,Emission Norm Compliance,BS VI 2.0
MAHINDRA,BOLERO,Bolero B6,Rear Suspension,Leaf spring suspension
MAHINDRA,BOLERO,Bolero B6,Steering Type,Electric
MAHINDRA,BOLERO,Bolero B6,Steering Column,Power
MAHINDRA,BOLERO,Bolero B6,Turning Radius,5.8 m
MAHINDRA,BOLERO,Bolero B6,Front Brake Type,disc
MAHINDRA,BOLERO,Bolero B6,Rear Brake Type,drum
MAHINDRA,BOLERO,Bolero B6,Length,3995 mm
MAHINDRA,BOLERO,Bolero B6,Width,1745 mm
MAHINDRA,BOLERO,Bolero B6,Height,1880 mm
MAHINDRA,BOLERO,Bolero B6,Seating Capacity,7
MAHINDRA,BOLERO,Bolero B6,Wheel Base,2680 mm
MAHINDRA,BOLERO,Bolero B6,No. of Doors,5
MAHINDRA,BOLERO,Bolero B6,Power Steering,YES
MAHINDRA,BOLERO,Bolero B6,Air Conditioner,YES
MAHINDRA,BOLERO,Bolero B6,Heater,YES
MAHINDRA,BOLERO,Bolero B6,Adjustable Steering,NO
MAHINDRA,BOLERO,Bolero B6,Remote Fuel Lid Opener,YES
MAHINDRA,BOLERO,Bolero B6,Accessory Power Outlet,YES
MAHINDRA,BOLERO,Bolero B6,Vanity Mirror,NO
MAHINDRA,BOLERO,Bolero B6,Rear Reading Lamp,YES
MAHINDRA,BOLERO,Bolero B6,Rear Seat Headrest,Adjustable
MAHINDRA,BOLERO,Bolero B6,Adjustable Headrest,YES
MAHINDRA,BOLERO,Bolero B6,Rear Seat Centre Arm Rest,YES
MAHINDRA,BOLERO,Bolero B6,Rear AC Vents,NO
MAHINDRA,BOLERO,Bolero B6,Cruise Control,NO
MAHINDRA,BOLERO,Bolero B6,Parking Sensors,Rear
MAHINDRA,BOLERO,Bolero B6,KeyLess Entry,YES
MAHINDRA,BOLERO,Bolero B6,USB Charger,Front
MAHINDRA,BOLERO,Bolero B6,Gear Shift Indicator,NO
MAHINDRA,BOLERO,Bolero B6,Idle Start-Stop System,YES
MAHINDRA,BOLERO,Bolero B6,Power Windows,Front & Rear
MAHINDRA,BOLERO,Bolero B6,Tachometer,YES
MAHINDRA,BOLERO,Bolero B6,Glove Box,YES
MAHINDRA,BOLERO,Bolero B6,Dual Tone Dashboard,NO
MAHINDRA,BOLERO,Bolero B6,Digital Cluster,YES
MAHINDRA,BOLERO,Bolero B6,Upholstery,Fabric
MAHINDRA,BOLERO,Bolero B6,Adjustable Headlamps,YES
MAHINDRA,BOLERO,Bolero B6,Rear Window Wiper,NO
MAHINDRA,BOLERO,Bolero B6,Rear Window Washer,NO
MAHINDRA,BOLERO,Bolero B6,Rear Window Defogger,YES
MAHINDRA,BOLERO,Bolero B6,Wheel Covers,YES
MAHINDRA,BOLERO,Bolero B6,Alloy Wheels,NO
MAHINDRA,BOLERO,Bolero B6,Rear Spoiler,NO
MAHINDRA,BOLERO,Bolero B6,Side Stepper,YES
MAHINDRA,BOLERO,Bolero B6,Outside Rear View Mirror Turn Indicators,NO
MAHINDRA,BOLERO,Bolero B6,Integrated Antenna,YES
MAHINDRA,BOLERO,Bolero B6,Chrome Grille,YES
MAHINDRA,BOLERO,Bolero B6,Fog Lights,NO
MAHINDRA,BOLERO,Bolero B6,Outside Rear View Mirror (ORVM),Manual
MAHINDRA,BOLERO,Bolero B6,Tyre Size,215/75 R15
MAHINDRA,BOLERO,Bolero B6,Tyre Type,"Tubeless,Radial"
MAHINDRA,BOLERO,Bolero B6,Wheel Size,15 Inch
MAHINDRA,BOLERO,Bolero B6,Anti-lock Braking System (ABS),YES
MAHINDRA,BOLERO,Bolero B6,Central Locking,YES
MAHINDRA,BOLERO,Bolero B6,Child Safety Locks,YES
MAHINDRA,BOLERO,Bolero B6,No. of Airbags,2
MAHINDRA,BOLERO,Bolero B6,Driver Airbag,YES
MAHINDRA,BOLERO,Bolero B6,Passenger Airbag,YES
MAHINDRA,BOLERO,Bolero B6,Side Airbag,NO
MAHINDRA,BOLERO,Bolero B6,Side Airbag-Rear,NO
MAHINDRA,BOLERO,Bolero B6,Day & Night Rear View Mirror,NO
MAHINDRA,BOLERO,Bolero B6,Curtain Airbag,NO
MAHINDRA,BOLERO,Bolero B6,Electronic Brakeforce Distribution (EBD),YES
MAHINDRA,BOLERO,Bolero B6,Seat Belt Warning,YES
