company,model,variant,feature_name,feature_details
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Engine Type,mHAWK 4 Cylinder
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Displacement,2184 cc
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Max Power,130bhp@3750rpm
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Max Torque,300Nm@1600-2800rpm
MAHINDRA,SCORPIO,Scorpio S 11 7CC,No. of Cylinders,4
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Valves Per Cylinder,4
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Fuel Supply System,CRDi
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Turbo Charger,YES
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Transmission Type,Manual
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Gearbox,6-Speed
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Drive Type,RWD
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Fuel Type,Diesel
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Diesel Mileage ARAI,14.44 kmpl
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Diesel Fuel Tank Capacity,60 Litres
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Emission Norm Compliance,BS VI 2.0
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Top Speed,165 kmph
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Front Suspension,Double wishbone suspension
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Rear Suspension,Multi-link suspension
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Shock Absorbers Type,"Hydraulic, Double Acting, Telescopic"
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Steering Type,Hydraulic
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Steering Column,Tilt & Telescopic
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Front Brake Type,Disc
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Rear Brake Type,Drum
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Braking (100-0kmph),41.50 s
MAHINDRA,SCORPIO,Scorpio S 11 7CC,0-100Kmph (Tested),13.1 s
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Alloy Wheel Size Front,17 Inch
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Alloy Wheel Size Rear,17 Inch
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Braking (80-0 kmph),26.14 s
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Length,4456 mm
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Width,1820 mm
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Height,1995 mm
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Boot Space,460 Litres
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Seating Capacity,7
MAHINDRA,SCORPIO,Scorpio S 11 7CC,Wheel Base,2680 mm
MAHINDRA,SCORPIO,Scorpio S 11 7CC,No. of Doors,5
