company,model,variant,feature_name,feature_details
MAHINDRA,THAR,Thar LXT 4WD Diesel,Engine Type,D117 CRDe Diesel
MAHINDRA,THAR,Thar LXT 4WD Diesel,Displacement,1497 cc
MAHINDRA,THAR,Thar LXT 4WD Diesel,Max Power,116.93bhp@3500rpm
MAHINDRA,THAR,Thar LXT 4WD Diesel,Max Torque,300Nm@1750-2500rpm
MAHINDRA,THAR,Thar LXT 4WD Diesel,No. of Cylinders,4
MAHINDRA,THAR,Thar LXT 4WD Diesel,Valves Per Cylinder,4
MAHINDRA,THAR,Thar LXT 4WD Diesel,Turbo Charger,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Transmission Type,Manual
MAHINDRA,THAR,Thar LXT 4WD Diesel,Gearbox,6-Speed
MAHINDRA,THAR,Thar LXT 4WD Diesel,Drive Type,4WD
MAHINDRA,THAR,Thar LXT 4WD Diesel,Fuel Type,Diesel
MAHINDRA,THAR,Thar LXT 4WD Diesel,Diesel Fuel Tank Capacity,45 Litres
MAHINDRA,THAR,Thar LXT 4WD Diesel,Diesel Highway Mileage,11 kmpl
MAHINDRA,THAR,Thar LXT 4WD Diesel,Emission Norm Compliance,BS VI 2.0
MAHINDRA,THAR,Thar LXT 4WD Diesel,Front Suspension,Double wishbone suspension
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Suspension,"Multi-link, Solid Axle"
MAHINDRA,THAR,Thar LXT 4WD Diesel,Steering Type,Hydraulic
MAHINDRA,THAR,Thar LXT 4WD Diesel,Steering Column,Tilt
MAHINDRA,THAR,Thar LXT 4WD Diesel,Steering Gear Type,Rack & Pinion
MAHINDRA,THAR,Thar LXT 4WD Diesel,Front Brake Type,Disc
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Brake Type,Drum
MAHINDRA,THAR,Thar LXT 4WD Diesel,Alloy Wheel Size Front,18 Inch
MAHINDRA,THAR,Thar LXT 4WD Diesel,Alloy Wheel Size Rear,18 Inch
MAHINDRA,THAR,Thar LXT 4WD Diesel,Length,3985 mm
MAHINDRA,THAR,Thar LXT 4WD Diesel,Width,1820 mm
MAHINDRA,THAR,Thar LXT 4WD Diesel,Height,1855 mm
MAHINDRA,THAR,Thar LXT 4WD Diesel,Seating Capacity,4
MAHINDRA,THAR,Thar LXT 4WD Diesel,Ground Clearance Unladen,226 mm
MAHINDRA,THAR,Thar LXT 4WD Diesel,Wheel Base,2450 mm
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Tread,1520 mm
MAHINDRA,THAR,Thar LXT 4WD Diesel,Approach Angle,41.2°
MAHINDRA,THAR,Thar LXT 4WD Diesel,Break-over Angle,26.2°
MAHINDRA,THAR,Thar LXT 4WD Diesel,Departure Angle,36°
MAHINDRA,THAR,Thar LXT 4WD Diesel,No. of Doors,3
MAHINDRA,THAR,Thar LXT 4WD Diesel,Power Steering,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Air Conditioner,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Heater,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Height Adjustable Driver Seat,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Accessory Power Outlet,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Reading Lamp,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Adjustable Headrest,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear AC Vents,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Cruise Control,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Parking Sensors,Rear
MAHINDRA,THAR,Thar LXT 4WD Diesel,Foldable Rear Seat,50:50 Split
MAHINDRA,THAR,Thar LXT 4WD Diesel,KeyLess Entry,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Voice Commands,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Lane Change Indicator,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Follow Me Home Headlamps,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Additional Features,"Adventure Statistics Gen II, Advanced Electronic Brake Locking Differential,Mechanical Locking Differential"
MAHINDRA,THAR,Thar LXT 4WD Diesel,Power Windows,Front Only
MAHINDRA,THAR,Thar LXT 4WD Diesel,Tachometer,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Glove Box,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Digital Cluster,Sami(Coloured)
MAHINDRA,THAR,Thar LXT 4WD Diesel,Digital Cluster Size,4.2 inch
MAHINDRA,THAR,Thar LXT 4WD Diesel,Upholstery,Fabric
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Window Wiper,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Window Washer,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Window Defogger,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Alloy Wheels,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Side Stepper,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Integrated Antenna,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Fog Lights,Front
MAHINDRA,THAR,Thar LXT 4WD Diesel,Antenna,Fender-mounted
MAHINDRA,THAR,Thar LXT 4WD Diesel,Boot Opening,Manual
MAHINDRA,THAR,Thar LXT 4WD Diesel,Outside Rear View Mirror (ORVM),Powered
MAHINDRA,THAR,Thar LXT 4WD Diesel,Tyre Size,255/65 R18
MAHINDRA,THAR,Thar LXT 4WD Diesel,Tyre Type,Tubeless All-Terrain
MAHINDRA,THAR,Thar LXT 4WD Diesel,LED DRLs,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,LED Headlamps,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,LED Taillights,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Anti-lock Braking System (ABS),YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Brake Assist,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Central Locking,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,No. of Airbags,2
MAHINDRA,THAR,Thar LXT 4WD Diesel,Driver Airbag,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Passenger Airbag,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Side Airbag,NO
MAHINDRA,THAR,Thar LXT 4WD Diesel,Side Airbag-Rear,NO
MAHINDRA,THAR,Thar LXT 4WD Diesel,Day & Night Rear View Mirror,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Electronic Brakeforce Distribution (EBD),YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Seat Belt Warning,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Tyre Pressure Monitoring System (TPMS),YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Electronic Stability Control (ESC),YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Rear Camera,With Guidedlines
MAHINDRA,THAR,Thar LXT 4WD Diesel,Speed Alert,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Speed Sensing Auto Door Lock,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,ISOFIX Child Seat Mounts,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Hill Descent Control,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Hill Assist,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Global NCAP Safety Rating,4 Star
MAHINDRA,THAR,Thar LXT 4WD Diesel,Global NCAP Child Safety Rating,4 Star
MAHINDRA,THAR,Thar LXT 4WD Diesel,Radio,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Integrated 2DIN Audio,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Bluetooth Connectivity,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Touchscreen,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Touchscreen Size,10.24 inch
MAHINDRA,THAR,Thar LXT 4WD Diesel,Connectivity,"Android Auto, Apple CarPlay"
MAHINDRA,THAR,Thar LXT 4WD Diesel,Android Auto,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,Apple CarPlay,YES
MAHINDRA,THAR,Thar LXT 4WD Diesel,No. of Speakers,4
