company,model,variant,feature_name,feature_details
MARUTI,ERTIGA,Ertiga Lxi (O),Engine Type,K15C Smart Hybrid
MARUTI,ERTIGA,Ertiga Lxi (O),Displacement,1462 cc
MARUTI,ERTIGA,Ertiga Lxi (O),Max Power,101.64bhp@6000rpm
MARUTI,ERTIGA,Ertiga Lxi (O),Max Torque,139Nm@4300rpm
MARUTI,ERTIGA,Ertiga Lxi (O),No. of Cylinders,4
MARUTI,ERTIGA,Ertiga Lxi (O),Valves Per Cylinder,4
MARUTI,ERTIGA,Ertiga Lxi (O),Transmission Type,Manual
MARUTI,ERTIGA,Ertiga Lxi (O),Gearbox,5-Speed
MARUTI,ERTIGA,Ertiga Lxi (O),Drive Type,FWD
MARUTI,ERTIGA,Ertiga Lxi (O),Fuel Type,Petrol
MARUTI,ERTIGA,Ertiga Lxi (O),Petrol Mileage ARAI,20.51 kmpl
MARUTI,ERTIGA,Ertiga Lxi (O),Petrol Fuel Tank Capacity,45 Litres
MARUTI,ERTIGA,Ertiga Lxi (O),Emission Norm Compliance,BS VI 2.0
MARUTI,ERTIGA,Ertiga Lxi (O),Front Suspension,MacPherson Strut suspension
MARUTI,ERTIGA,Ertiga Lxi (O),Rear Suspension,Rear twist beam
MARUTI,ERTIGA,Ertiga Lxi (O),Steering Type,Power
MARUTI,ERTIGA,Ertiga Lxi (O),Steering Column,Tilt
MARUTI,ERTIGA,Ertiga Lxi (O),Turning Radius,5.2 m
MARUTI,ERTIGA,Ertiga Lxi (O),Front Brake Type,Disc
MARUTI,ERTIGA,Ertiga Lxi (O),Rear Brake Type,Drum
MARUTI,ERTIGA,Ertiga Lxi (O),Length,4395 mm
MARUTI,ERTIGA,Ertiga Lxi (O),Width,1735 mm
MARUTI,ERTIGA,Ertiga Lxi (O),Height,1690 mm
MARUTI,ERTIGA,Ertiga Lxi (O),Boot Space,209 Litres
MARUTI,ERTIGA,Ertiga Lxi (O),Seating Capacity,7
MARUTI,ERTIGA,Ertiga Lxi (O),Wheel Base,2740 mm
MARUTI,ERTIGA,Ertiga Lxi (O),Kerb Weight,1150-1205 kg
MARUTI,ERTIGA,Ertiga Lxi (O),Gross Weight,1760 kg
MARUTI,ERTIGA,Ertiga Lxi (O),No. of Doors,5
MARUTI,ERTIGA,Ertiga Lxi (O),Reported Ground Clearance (Unladen),185 mm
MARUTI,ERTIGA,Ertiga Lxi (O),Power Steering,YES
MARUTI,ERTIGA,Ertiga Lxi (O),Air Conditioner,YES
MARUTI,ERTIGA,Ertiga Lxi (O),Heater,YES
MARUTI,ERTIGA,Ertiga Lxi (O),Height Adjustable Driver Seat,NO
MARUTI,ERTIGA,Ertiga Lxi (O),Automatic Climate Control,NO
MARUTI,ERTIGA,Ertiga Lxi (O),Accessory Power Outlet,YES
MARUTI,ERTIGA,Ertiga Lxi (O),Vanity Mirror,NO
