company,model,variant,feature_name,feature_details
MARUTI,FRONX,FRONX Sigma,Engine Type,"1.2L Dual Jet, Dual VVT"
MARUTI,FRONX,FRONX Sigma,Displacement,1197 cc
MARUTI,FRONX,FRONX Sigma,Max Power,88.50bhp@6000rpm
MARUTI,FRONX,FRONX Sigma,Max Torque,113Nm@4400rpm
MARUTI,FRONX,FRONX Sigma,No. of Cylinders,4
MARUTI,FRONX,FRONX Sigma,Valves Per Cylinder,4
MARUTI,FRONX,FRONX Sigma,Turbo Charger,NO
MARUTI,FRONX,FRONX Sigma,Transmission Type,Manual
MARUTI,FRONX,FRONX Sigma,Gearbox,5-Speed
MARUTI,FRONX,FRONX Sigma,Drive Type,FWD
MARUTI,FRONX,FRONX Sigma,Fuel Type,Petrol
MARUTI,FRONX,FRONX Sigma,Petrol Mileage ARAI,21.79 kmpl
MARUTI,FRONX,FRONX Sigma,Petrol Fuel Tank Capacity,37 Litres
MARUTI,FRONX,FRONX Sigma,Emission Norm Compliance,BS VI 2.0
MARUTI,FRONX,FRONX Sigma,Top Speed,180 kmph
MARUTI,FRONX,FRONX Sigma,Front Suspension,MacPherson Strut suspension
MARUTI,FRONX,FRONX Sigma,Rear Suspension,Rear twist beam
MARUTI,FRONX,FRONX Sigma,Steering Type,Electric
MARUTI,FRONX,FRONX Sigma,Steering Column,Tilt
MARUTI,FRONX,FRONX Sigma,Turning Radius,4.9 m
MARUTI,FRONX,FRONX Sigma,Front Brake Type,Disc
MARUTI,FRONX,FRONX Sigma,Rear Brake Type,Drum
MARUTI,FRONX,FRONX Sigma,Length,3995 mm
MARUTI,FRONX,FRONX Sigma,Width,1765 mm
MARUTI,FRONX,FRONX Sigma,Height,1550 mm
MARUTI,FRONX,FRONX Sigma,Boot Space,308 Litres
MARUTI,FRONX,FRONX Sigma,Seating Capacity,5
MARUTI,FRONX,FRONX Sigma,Wheel Base,2520 mm
MARUTI,FRONX,FRONX Sigma,Kerb Weight,960-970 kg
MARUTI,FRONX,FRONX Sigma,Gross Weight,1450 kg
MARUTI,FRONX,FRONX Sigma,No. of Doors,5
MARUTI,FRONX,FRONX Sigma,Power Steering,YES
MARUTI,FRONX,FRONX Sigma,Air Conditioner,YES
MARUTI,FRONX,FRONX Sigma,Heater,YES
MARUTI,FRONX,FRONX Sigma,Height Adjustable Driver Seat,NO
MARUTI,FRONX,FRONX Sigma,Automatic Climate Control,YES
MARUTI,FRONX,FRONX Sigma,Rear Reading Lamp,YES
MARUTI,FRONX,FRONX Sigma,Adjustable Headrest,YES
MARUTI,FRONX,FRONX Sigma,Rear AC Vents,NO
MARUTI,FRONX,FRONX Sigma,Cruise Control,NO
MARUTI,FRONX,FRONX Sigma,Parking Sensors,Rear
MARUTI,FRONX,FRONX Sigma,Real-Time Vehicle Tracking,NO
MARUTI,FRONX,FRONX Sigma,Foldable Rear Seat,60:40 Split
MARUTI,FRONX,FRONX Sigma,KeyLess Entry,YES
MARUTI,FRONX,FRONX Sigma,Engine Start/Stop Button,NO
MARUTI,FRONX,FRONX Sigma,Voice Commands,NO
MARUTI,FRONX,FRONX Sigma,Paddle Shifters,NO
MARUTI,FRONX,FRONX Sigma,USB Charger,Front
MARUTI,FRONX,FRONX Sigma,Central Console Armrest,NO
MARUTI,FRONX,FRONX Sigma,Gear Shift Indicator,YES
MARUTI,FRONX,FRONX Sigma,Idle Start-Stop System,YES
MARUTI,FRONX,FRONX Sigma,Automatic Headlamps,NO
MARUTI,FRONX,FRONX Sigma,Follow Me Home Headlamps,NO
MARUTI,FRONX,FRONX Sigma,Power Windows,Front & Rear
MARUTI,FRONX,FRONX Sigma,Tachometer,YES
MARUTI,FRONX,FRONX Sigma,Glove Box,YES
MARUTI,FRONX,FRONX Sigma,Dual Tone Dashboard,YES
MARUTI,FRONX,FRONX Sigma,Additional Features,Rear Parcel Tray
MARUTI,FRONX,FRONX Sigma,Digital Cluster,NO
MARUTI,FRONX,FRONX Sigma,Upholstery,Fabric
MARUTI,FRONX,FRONX Sigma,Rear Window Wiper,NO
MARUTI,FRONX,FRONX Sigma,Rear Window Washer,NO
MARUTI,FRONX,FRONX Sigma,Rear Window Defogger,YES
MARUTI,FRONX,FRONX Sigma,Wheel Covers,YES
MARUTI,FRONX,FRONX Sigma,Alloy Wheels,NO
MARUTI,FRONX,FRONX Sigma,Rear Spoiler,YES
MARUTI,FRONX,FRONX Sigma,Outside Rear View Mirror Turn Indicators,NO
MARUTI,FRONX,FRONX Sigma,Integrated Antenna,YES
MARUTI,FRONX,FRONX Sigma,Chrome Grille,YES
MARUTI,FRONX,FRONX Sigma,Projector Headlamps,YES
MARUTI,FRONX,FRONX Sigma,Halogen Headlamps,YES
MARUTI,FRONX,FRONX Sigma,Antenna,Shark Fin
MARUTI,FRONX,FRONX Sigma,Outside Rear View Mirror (ORVM),"Manual,Powered"
MARUTI,FRONX,FRONX Sigma,Tyre Size,195/60 R16
MARUTI,FRONX,FRONX Sigma,Tyre Type,Radial Tubeless
MARUTI,FRONX,FRONX Sigma,Wheel Size,16 Inch
MARUTI,FRONX,FRONX Sigma,LED DRLs,NO
MARUTI,FRONX,FRONX Sigma,LED Headlamps,NO
MARUTI,FRONX,FRONX Sigma,LED Taillights,YES
MARUTI,FRONX,FRONX Sigma,Anti-lock Braking System (ABS),YES
MARUTI,FRONX,FRONX Sigma,Central Locking,YES
MARUTI,FRONX,FRONX Sigma,Anti-Theft Alarm,NO
MARUTI,FRONX,FRONX Sigma,No. of Airbags,6
MARUTI,FRONX,FRONX Sigma,Driver Airbag,YES
MARUTI,FRONX,FRONX Sigma,Passenger Airbag,YES
MARUTI,FRONX,FRONX Sigma,Side Airbag,YES
MARUTI,FRONX,FRONX Sigma,Side Airbag-Rear,NO
MARUTI,FRONX,FRONX Sigma,Day & Night Rear View Mirror,YES
MARUTI,FRONX,FRONX Sigma,Curtain Airbag,YES
MARUTI,FRONX,FRONX Sigma,Electronic Brakeforce Distribution (EBD),YES
MARUTI,FRONX,FRONX Sigma,Seat Belt Warning,YES
MARUTI,FRONX,FRONX Sigma,Door Ajar Warning,YES
MARUTI,FRONX,FRONX Sigma,Engine Immobilizer,YES
MARUTI,FRONX,FRONX Sigma,Electronic Stability Control (ESC),YES
MARUTI,FRONX,FRONX Sigma,Rear Camera,NO
MARUTI,FRONX,FRONX Sigma,Anti-Theft Device,NO
MARUTI,FRONX,FRONX Sigma,Speed Alert,YES
MARUTI,FRONX,FRONX Sigma,Speed Sensing Auto Door Lock,YES
MARUTI,FRONX,FRONX Sigma,ISOFIX Child Seat Mounts,YES
MARUTI,FRONX,FRONX Sigma,Heads-Up Display (HUD),NO
MARUTI,FRONX,FRONX Sigma,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
MARUTI,FRONX,FRONX Sigma,Hill Assist,YES
MARUTI,FRONX,FRONX Sigma,Impact Sensing Auto Door Unlock,YES
MARUTI,FRONX,FRONX Sigma,360 View Camera,NO
MARUTI,FRONX,FRONX Sigma,Radio,NO
MARUTI,FRONX,FRONX Sigma,Integrated 2DIN Audio,NO
MARUTI,FRONX,FRONX Sigma,Wireless Phone Charging,NO
MARUTI,FRONX,FRONX Sigma,Bluetooth Connectivity,NO
MARUTI,FRONX,FRONX Sigma,Touchscreen,NO
MARUTI,FRONX,FRONX Sigma,Touchscreen Size,inch
MARUTI,FRONX,FRONX Sigma,Android Auto,NO
MARUTI,FRONX,FRONX Sigma,Apple CarPlay,NO
MARUTI,FRONX,FRONX Sigma,Usb Ports,NO
MARUTI,FRONX,FRONX Sigma,Additional Features,NO
MARUTI,FRONX,FRONX Sigma,Speakers,NO
