company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Transmission Type,Automatic
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Gearbox,6-Speed
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Petrol Mileage ARAI,20.58 kmpl
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Petrol Highway Mileage,19.05 kmpl
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Secondary Fuel Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Braking (100-0kmph),46.87 s
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,0-100Kmph (Tested),15.13 s
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,City driveability (20-80kmph),8.48 s
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Braking (80-0 kmph),29.41 s
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Boot Space,373 Litres
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Seating Capacity,5
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Ground Clearance Unladen,210 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Wheel Base,2600 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Kerb Weight,1185-1210 kg
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Gross Weight,1670 kg
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,No. of Doors,5
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Power Steering,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Air Conditioner,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Heater,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Height Adjustable Driver Seat,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Ventilated Seats,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Automatic Climate Control,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Accessory Power Outlet,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha AT,Trunk Light,YES
