company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Transmission Type,Automatic
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Drive Type,AWD
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Petrol Mileage ARAI,19.38 kmpl
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Braking (100-0kmph),41.19 s
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,0-100Kmph (Tested),13.99 s
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Braking (80-0 kmph),26.36 s
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Boot Space,373 Litres
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Seating Capacity,5
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Ground Clearance Unladen,210 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Wheel Base,2600 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Kerb Weight,1260 kg
MARUTI,GRAND VITARA,Grand Vitara Alpha AWD AT DT,Gross Weight,1720 kg
