company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Transmission Type,Manual
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Petrol Mileage ARAI,21.11 kmpl
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Secondary Fuel Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Boot Space,373 Litres
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Seating Capacity,5
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Ground Clearance Unladen,210 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Wheel Base,2600 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Kerb Weight,1150-1185 kg
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Gross Weight,1645 kg
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,No. of Doors,5
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Power Steering,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Air Conditioner,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Heater,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Height Adjustable Driver Seat,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Ventilated Seats,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Automatic Climate Control,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Accessory Power Outlet,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Trunk Light,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Vanity Mirror,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Rear Reading Lamp,YES
MARUTI,GRAND VITARA,Grand Vitara Alpha DT,Adjustable Headrest,YES
