company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Transmission Type,Manual
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Petrol Mileage ARAI,21.11 kmpl
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta DT,Alloy Wheel Size Front,17 Inch
