company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Transmission Type,Manual
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Petrol Mileage ARAI,21.11 kmpl
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Boot Space,373 Litres
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Seating Capacity,5
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Ground Clearance Unladen,210 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Wheel Base,2600 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Kerb Weight,1140-1185 kg
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Gross Weight,1645 kg
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,No. of Doors,5
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Power Steering,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Air Conditioner,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Heater,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Height Adjustable Driver Seat,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Ventilated Seats,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Automatic Climate Control,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Accessory Power Outlet,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Trunk Light,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Vanity Mirror,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Rear Reading Lamp,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Adjustable Headrest,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Rear Seat Centre Arm Rest,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Height Adjustable Front Seat Belts,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Rear AC Vents,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Cruise Control,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Parking Sensors,Rear
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Real-Time Vehicle Tracking,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Foldable Rear Seat,60:40 Split
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,KeyLess Entry,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Engine Start/Stop Button,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Voice Commands,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Paddle Shifters,NO
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,USB Charger,Rear
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Central Console Armrest,With Storage
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Gear Shift Indicator,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Glove Box light,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt DT,Idle Start-Stop System,YES
