company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Transmission Type,Manual
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Petrol Mileage ARAI,21.11 kmpl
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta Opt,Length,4345 mm
