company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Engine Type,M15D With Strong Hybrid
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Displacement,1490 cc
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Max Power,91.18bhp@5500rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Max Torque,122Nm@3800-4800rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,No. of Cylinders,3
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Transmission Type,Automatic
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Gearbox,E-CVT
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Petrol Mileage ARAI,27.97 kmpl
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Petrol Highway Mileage,21.97 kmpl
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Secondary Fuel Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Braking (100-0kmph),40.58 s
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,0-100Kmph (Tested),11.55 s
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,City driveability (20-80kmph),8.55 s
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Braking (80-0 kmph),25.82 s
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Boot Space,373 Litres
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Seating Capacity,5
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Ground Clearance Unladen,210 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Wheel Base,2600 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Kerb Weight,1260-1275 kg
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Gross Weight,1745 kg
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,No. of Doors,5
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Power Steering,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Air Conditioner,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Heater,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Height Adjustable Driver Seat,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Ventilated Seats,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Automatic Climate Control,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Accessory Power Outlet,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Trunk Light,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Vanity Mirror,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Rear Reading Lamp,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Adjustable Headrest,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Rear Seat Centre Arm Rest,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Height Adjustable Front Seat Belts,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Rear AC Vents,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Cruise Control,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Parking Sensors,Rear
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Real-Time Vehicle Tracking,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Foldable Rear Seat,60:40 Split
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,KeyLess Entry,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Engine Start/Stop Button,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Voice Commands,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Paddle Shifters,NO
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,USB Charger,Rear
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Central Console Armrest,With Storage
MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT DT,Gear Shift Indicator,NO
