company,model,variant,feature_name,feature_details
MARUTI,S PRESSO,S-Presso STD,Engine Type,K10C
MARUTI,S PRESSO,S-Presso STD,Displacement,998 cc
MARUTI,S PRESSO,S-Presso STD,Max Power,65.71bhp@5500rpm
MARUTI,S PRESSO,S-Presso STD,Max Torque,89Nm@3500rpm
MARUTI,S PRESSO,S-Presso STD,No. of Cylinders,3
MARUTI,S PRESSO,S-Presso STD,Valves Per Cylinder,4
MARUTI,S PRESSO,S-Presso STD,Transmission Type,Manual
MARUTI,S PRESSO,S-Presso STD,Gearbox,5-Speed
MARUTI,S PRESSO,S-Presso STD,Drive Type,FWD
MARUTI,S PRESSO,S-Presso STD,Fuel Type,Petrol
MARUTI,S PRESSO,S-Presso STD,Petrol Mileage ARAI,24.12 kmpl
MARUTI,S PRESSO,S-Presso STD,Petrol Fuel Tank Capacity,27 Litres
MARUTI,S PRESSO,S-Presso STD,Emission Norm Compliance,BS VI 2.0
MARUTI,S PRESSO,S-Presso STD,Top Speed,148 kmph
MARUTI,S PRESSO,S-Presso STD,Front Suspension,MacPherson Strut suspension
MARUTI,S PRESSO,S-Presso STD,Rear Suspension,Rear twist beam
MARUTI,S PRESSO,S-Presso STD,Turning Radius,4.5 m
MARUTI,S PRESSO,S-Presso STD,Front Brake Type,Ventilated Disc
MARUTI,S PRESSO,S-Presso STD,Rear Brake Type,Drum
MARUTI,S PRESSO,S-Presso STD,Length,3565 mm
MARUTI,S PRESSO,S-Presso STD,Width,1520 mm
MARUTI,S PRESSO,S-Presso STD,Height,1553 mm
MARUTI,S PRESSO,S-Presso STD,Boot Space,240 Litres
MARUTI,S PRESSO,S-Presso STD,Seating Capacity,5
MARUTI,S PRESSO,S-Presso STD,Wheel Base,2380 mm
MARUTI,S PRESSO,S-Presso STD,Kerb Weight,736-775 kg
MARUTI,S PRESSO,S-Presso STD,Gross Weight,1170 kg
MARUTI,S PRESSO,S-Presso STD,No. of Doors,5
MARUTI,S PRESSO,S-Presso STD,Power Steering,NO
MARUTI,S PRESSO,S-Presso STD,Air Conditioner,NO
MARUTI,S PRESSO,S-Presso STD,Heater,NO
MARUTI,S PRESSO,S-Presso STD,Accessory Power Outlet,NO
MARUTI,S PRESSO,S-Presso STD,Parking Sensors,Rear
MARUTI,S PRESSO,S-Presso STD,KeyLess Entry,NO
MARUTI,S PRESSO,S-Presso STD,Gear Shift Indicator,NO
MARUTI,S PRESSO,S-Presso STD,Idle Start-Stop System,YES
MARUTI,S PRESSO,S-Presso STD,Glove Box,YES
MARUTI,S PRESSO,S-Presso STD,Digital Cluster,YES
MARUTI,S PRESSO,S-Presso STD,Adjustable Headlamps,YES
MARUTI,S PRESSO,S-Presso STD,Wheel Covers,NO
MARUTI,S PRESSO,S-Presso STD,Integrated Antenna,NO
MARUTI,S PRESSO,S-Presso STD,Halogen Headlamps,YES
MARUTI,S PRESSO,S-Presso STD,Boot Opening,Manual
MARUTI,S PRESSO,S-Presso STD,Tyre Size,145/80 R13
MARUTI,S PRESSO,S-Presso STD,Tyre Type,"Tubeless, Radial"
MARUTI,S PRESSO,S-Presso STD,Wheel Size,13 Inch
MARUTI,S PRESSO,S-Presso STD,LED Taillights,YES
MARUTI,S PRESSO,S-Presso STD,Anti-lock Braking System (ABS),YES
MARUTI,S PRESSO,S-Presso STD,Central Locking,NO
MARUTI,S PRESSO,S-Presso STD,Child Safety Locks,YES
MARUTI,S PRESSO,S-Presso STD,No. of Airbags,2
MARUTI,S PRESSO,S-Presso STD,Driver Airbag,YES
MARUTI,S PRESSO,S-Presso STD,Passenger Airbag,YES
MARUTI,S PRESSO,S-Presso STD,Electronic Brakeforce Distribution (EBD),YES
MARUTI,S PRESSO,S-Presso STD,Seat Belt Warning,YES
MARUTI,S PRESSO,S-Presso STD,Door Ajar Warning,NO
MARUTI,S PRESSO,S-Presso STD,Engine Immobilizer,YES
MARUTI,S PRESSO,S-Presso STD,Electronic Stability Control (ESC),YES
MARUTI,S PRESSO,S-Presso STD,Speed Alert,YES
MARUTI,S PRESSO,S-Presso STD,Speed Sensing Auto Door Lock,NO
MARUTI,S PRESSO,S-Presso STD,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
MARUTI,S PRESSO,S-Presso STD,Hill Assist,NO
MARUTI,S PRESSO,S-Presso STD,Global NCAP Safety Rating,1 Star
MARUTI,S PRESSO,S-Presso STD,Radio,NO
MARUTI,S PRESSO,S-Presso STD,Integrated 2DIN Audio,NO
MARUTI,S PRESSO,S-Presso STD,Bluetooth Connectivity,NO
MARUTI,S PRESSO,S-Presso STD,Touchscreen,NO
MARUTI,S PRESSO,S-Presso STD,Android Auto,NO
MARUTI,S PRESSO,S-Presso STD,Apple CarPlay,NO
