company,model,variant,feature_name,feature_details
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Engine Type,K15B Petrol Engine
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Displacement,1462 cc
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Max Power,103.26bhp@6000rpm
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Max Torque,138nm@4400rpm
MARUTI,VITARA BREZZA,Vitara Brezza LXI,No. of Cylinders,4
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Valves Per Cylinder,4
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Valve Configuration,DOHC
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Transmission Type,Manual
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Gearbox,5 Speed
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Drive Type,FWD
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Fuel Type,Petrol
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Petrol Mileage ARAI,17.03 kmpl
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Petrol Fuel Tank Capacity,48 Litres
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Petrol Highway Mileage,18 kmpl
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Emission Norm Compliance,BS VI
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Front Suspension,MacPherson Strut with coil spring
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Rear Suspension,Torsion Beam With Coil Spring
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Steering Type,Electronic
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Steering Column,Tilt Steering
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Steering Gear Type,Rack & Pinion
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Turning Radius,5.2 metres
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Front Brake Type,Ventilated Disc
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Rear Brake Type,Drum
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Length,3995 mm
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Width,1790 mm
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Height,1640 mm
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Seating Capacity,5
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Wheel Base,2500 mm
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Kerb Weight,1110-1130 kg
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Gross Weight,1600 kg
MARUTI,VITARA BREZZA,Vitara Brezza LXI,No. of Doors,5
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Power Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Power Boot,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Air Conditioner,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Heater,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Adjustable Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Height Adjustable Driver Seat,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Ventilated Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Electric Adjustable Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Automatic Climate Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Air Quality Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Remote Climate Control (A/C),NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Remote Trunk Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Remote Fuel Lid Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Low Fuel Warning Light,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Accessory Power Outlet,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Trunk Light,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Vanity Mirror,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Rear Reading Lamp,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Rear Seat Headrest,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Adjustable Headrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Rear Seat Centre Arm Rest,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Height Adjustable Front Seat Belts,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Rear AC Vents,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Lumbar Support,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Active noise cancellation,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Cruise Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Parking Sensors,Rear
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Navigation System,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Find My Car location,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Real-Time Vehicle Tracking,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Foldable Rear Seat,Bench Folding
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Smart Access Card Entry,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Smart Key Band,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,KeyLess Entry,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Engine Start/Stop Button,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Cooled Glovebox,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Voice Commands,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Paddle Shifters,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,USB Charger,Front
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Central Console Armrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Tailgate Ajar Warning,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Hands-Free Tailgate,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Gear Shift Indicator,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Rear Curtain,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Luggage Hook & Net,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Battery Saver,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Lane Change Indicator,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Drive Modes,0
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Automatic Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Follow Me Home Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Additional Features,"Rear Seat Flip & Fold, Driver Side Footrest, Dust and Pollen Filter"
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Tachometer,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Electronic Multi-Tripmeter,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Leather Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Fabric Upholstery,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Leather Wrapped Steering Wheel,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Leather wrap gear-shift selector,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Glove Box,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Digital Clock,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Outside Temperature Display,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Cigarette Lighter,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Digital Odometer,YES
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Driving Experience Control Eco,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Folding Table in The Rear,NO
MARUTI,VITARA BREZZA,Vitara Brezza LXI,Dual Tone Dashboard,NO
