company,model,variant,feature_name,feature_details
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Engine Type,K15B ISG Petrol Engine
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Displacement,1462 cc
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Max Power,103.26bhp@6000rpm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Max Torque,138nm@4400rpm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,No. of Cylinders,4
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Valves Per Cylinder,4
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Valve Configuration,DOHC
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Transmission Type,Automatic
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Gearbox,4 Speed
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Drive Type,FWD
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Fuel Type,Petrol
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Petrol Mileage ARAI,18.76 kmpl
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Petrol Fuel Tank Capacity,48 Litres
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Emission Norm Compliance,BS VI
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Front Suspension,MacPherson Strut with coil spring
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Rear Suspension,Torsion Beam With Coil Spring
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Steering Type,Electronic
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Steering Column,Tilt Steering
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Steering Gear Type,Rack & Pinion
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Turning Radius,5.2 metres
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Front Brake Type,Ventilated Disc
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Rear Brake Type,Drum
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Length,3995 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Width,1790 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Height,1640 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Seating Capacity,5
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Wheel Base,2500 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Kerb Weight,1135-1150 kg
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Gross Weight,1600 kg
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,No. of Doors,5
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Power Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Power Boot,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Air Conditioner,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Heater,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Adjustable Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Height Adjustable Driver Seat,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Ventilated Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Electric Adjustable Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Automatic Climate Control,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Air Quality Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Remote Climate Control (A/C),NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Remote Trunk Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Remote Fuel Lid Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT Dual Tone,Low Fuel Warning Light,YES
