company,model,variant,feature_name,feature_details
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Engine Type,K15B Petrol Engine
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Displacement,1462 cc
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Max Power,103.26bhp@6000rpm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Max Torque,138nm@4400rpm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,No. of Cylinders,4
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Valves Per Cylinder,4
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Valve Configuration,DOHC
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Transmission Type,Manual
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Gearbox,5 Speed
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Drive Type,FWD
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Fuel Type,Petrol
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Petrol Mileage ARAI,17.03 kmpl
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Petrol Fuel Tank Capacity,48 Litres
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Emission Norm Compliance,BS VI
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Front Suspension,MacPherson Strut with coil spring
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Suspension,Torsion Beam With Coil Spring
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Steering Type,Electronic
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Steering Column,Tilt Steering
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Steering Gear Type,Rack & Pinion
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Turning Radius,5.2 metres
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Front Brake Type,Ventilated Disc
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Brake Type,Drum
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Length,3995 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Width,1790 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Height,1640 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Seating Capacity,5
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Wheel Base,2500 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Kerb Weight,1110-1130 kg
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Gross Weight,1600 kg
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,No. of Doors,5
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Power Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Power Boot,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Air Conditioner,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Heater,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Adjustable Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Height Adjustable Driver Seat,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Ventilated Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Electric Adjustable Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Automatic Climate Control,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Air Quality Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Remote Climate Control (A/C),NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Remote Trunk Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Remote Fuel Lid Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Low Fuel Warning Light,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Accessory Power Outlet,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Trunk Light,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Vanity Mirror,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Reading Lamp,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Seat Headrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Adjustable Headrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Seat Centre Arm Rest,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Height Adjustable Front Seat Belts,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear AC Vents,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Lumbar Support,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Active noise cancellation,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Cruise Control,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Parking Sensors,Rear
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Navigation System,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Find My Car location,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Real-Time Vehicle Tracking,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Foldable Rear Seat,60:40 Split
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Smart Access Card Entry,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Smart Key Band,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,KeyLess Entry,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Engine Start/Stop Button,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Cooled Glovebox,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Voice Commands,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Paddle Shifters,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,USB Charger,Front
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Central Console Armrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Tailgate Ajar Warning,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Hands-Free Tailgate,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Gear Shift Indicator,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Curtain,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Luggage Hook & Net,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Battery Saver,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Lane Change Indicator,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Drive Modes,0
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Automatic Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Follow Me Home Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Additional Features,"Co-Driver Side Vanity Lamp, Sunglass Holder in Overhead Console, Luggage Room Accessory Socket, Dual Side Operable Parcel Tray, Front Seat Back (Dr Side) Luggage Hook, Back Pocket on Front Seats, Co-Driver Side Vanity Mirror, Rear Seat Flip & Fold, Driver Side Footrest, Dust and Pollen Filter"
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Tachometer,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Electronic Multi-Tripmeter,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Leather Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Fabric Upholstery,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Leather Wrapped Steering Wheel,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Leather wrap gear-shift selector,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Glove Box,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Digital Clock,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Outside Temperature Display,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Cigarette Lighter,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Digital Odometer,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Driving Experience Control Eco,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Folding Table in The Rear,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Dual Tone Dashboard,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Additional Features,"Chrome Finish on AC Louver Knobs, Piano Black Center Garnish On IP, Accentuation On IP & Door Trims, Chrome Inside Door Handles, Door Armrest With Fabric, Luggage Room Illumination, Glove Box Illumination, Front Footwell Illumination, Multi-Information Display With Tripmeter And Fuel Indicator, 7 Step Illumination Control, Inside Door Grab Handles, Water Temparature Indicator, Meter Illumination Color, Audible Headlight On Reminder, Key Off Reminder, Center Lower Box, Drivers Ticket Holder, Passenger Sun Visor, Upper Hook in Luggage Room, Center Louver Knob (Chrome), Passenger Ticket Holder, Inside Door Ornament (Techno Effect Accent), Center Louver/Audio Ring (Piano Black), IP Ornament (Techno Effect Accent), Shift Lever (Chrome)"
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Adjustable Headlamps,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Fog Lights - Front,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Fog Lights - Rear,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Headlamp Washers,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rain Sensing Wiper,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Window Wiper,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Window Washer,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Window Defogger,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Wheel Covers,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Alloy Wheels,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Power Antenna,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Tinted Glass,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Rear Spoiler,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Roof Carrier,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Side Stepper,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Outside Rear View Mirror Turn Indicators,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Integrated Antenna,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Chrome Grille,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Chrome Garnish,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Dual Tone Body Colour,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Smoke Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Projector Headlamps,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Halogen Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Cornering Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Cornering Foglamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Roof Rails,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Automatic Headlamps,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Heated Wing Mirror,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Sun Roof,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI,Alloy Wheel Size,R16 Inch
