company,model,variant,feature_name,feature_details
MARUTI,XL6,XL6 Alpha AT,Engine Type,K15C Smart Hybrid
MARUTI,XL6,XL6 Alpha AT,Displacement,1462 cc
MARUTI,XL6,XL6 Alpha AT,Max Power,101.64bhp@6000rpm
MARUTI,XL6,XL6 Alpha AT,Max Torque,136.8Nm@4400rpm
MARUTI,XL6,XL6 Alpha AT,No. of Cylinders,4
MARUTI,XL6,XL6 Alpha AT,Valves Per Cylinder,4
MARUTI,XL6,XL6 Alpha AT,Transmission Type,Automatic
MARUTI,XL6,XL6 Alpha AT,Gearbox,6-Speed AT
MARUTI,XL6,XL6 Alpha AT,Drive Type,FWD
MARUTI,XL6,XL6 Alpha AT,Fuel Type,Petrol
MARUTI,XL6,XL6 Alpha AT,Petrol Mileage ARAI,20.27 kmpl
MARUTI,XL6,XL6 Alpha AT,Petrol Fuel Tank Capacity,45 Litres
MARUTI,XL6,XL6 Alpha AT,Emission Norm Compliance,BS VI 2.0
MARUTI,XL6,XL6 Alpha AT,Top Speed,170 kmph
MARUTI,XL6,XL6 Alpha AT,Front Suspension,MacPherson Strut suspension
MARUTI,XL6,XL6 Alpha AT,Rear Suspension,Rear twist beam
MARUTI,XL6,XL6 Alpha AT,Steering Column,Tilt and Telescopic
MARUTI,XL6,XL6 Alpha AT,Turning Radius,5.2 m
MARUTI,XL6,XL6 Alpha AT,Front Brake Type,Disc
MARUTI,XL6,XL6 Alpha AT,Rear Brake Type,Drum
MARUTI,XL6,XL6 Alpha AT,Alloy Wheel Size Front,16 Inch
MARUTI,XL6,XL6 Alpha AT,Alloy Wheel Size Rear,16 Inch
MARUTI,XL6,XL6 Alpha AT,Length,4445 mm
MARUTI,XL6,XL6 Alpha AT,Width,1775 mm
MARUTI,XL6,XL6 Alpha AT,Height,1755 mm
MARUTI,XL6,XL6 Alpha AT,Boot Space,209 Litres
MARUTI,XL6,XL6 Alpha AT,Seating Capacity,6
MARUTI,XL6,XL6 Alpha AT,Wheel Base,2740 mm
MARUTI,XL6,XL6 Alpha AT,Kerb Weight,1225 kg
MARUTI,XL6,XL6 Alpha AT,Gross Weight,1765 kg
MARUTI,XL6,XL6 Alpha AT,No. of Doors,5
MARUTI,XL6,XL6 Alpha AT,Power Steering,YES
MARUTI,XL6,XL6 Alpha AT,Air Conditioner,YES
MARUTI,XL6,XL6 Alpha AT,Heater,YES
MARUTI,XL6,XL6 Alpha AT,Height Adjustable Driver Seat,YES
MARUTI,XL6,XL6 Alpha AT,Ventilated Seats,NO
MARUTI,XL6,XL6 Alpha AT,Automatic Climate Control,YES
MARUTI,XL6,XL6 Alpha AT,Accessory Power Outlet,YES
MARUTI,XL6,XL6 Alpha AT,Vanity Mirror,YES
MARUTI,XL6,XL6 Alpha AT,Rear Reading Lamp,YES
MARUTI,XL6,XL6 Alpha AT,Rear Seat Centre Arm Rest,YES
MARUTI,XL6,XL6 Alpha AT,Height Adjustable Front Seat Belts,YES
MARUTI,XL6,XL6 Alpha AT,Rear AC Vents,YES
MARUTI,XL6,XL6 Alpha AT,Cruise Control,YES
MARUTI,XL6,XL6 Alpha AT,Parking Sensors,Rear
MARUTI,XL6,XL6 Alpha AT,Real-Time Vehicle Tracking,YES
MARUTI,XL6,XL6 Alpha AT,Foldable Rear Seat,3rd Row 50:50 Split
