company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative AMT,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Creative AMT,Displacement,1199 cc
TATA,NEXON,Nexon Creative AMT,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Creative AMT,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Creative AMT,No. of Cylinders,3
TATA,NEXON,Nexon Creative AMT,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative AMT,Turbo Charger,YES
TATA,NEXON,Nexon Creative AMT,Transmission Type,Automatic
TATA,NEXON,Nexon Creative AMT,Gearbox,6-Speed AMT
TATA,NEXON,Nexon Creative AMT,Drive Type,FWD
TATA,NEXON,Nexon Creative AMT,Fuel Type,Petrol
TATA,NEXON,Nexon Creative AMT,Petrol Mileage ARAI,17.18 kmpl
TATA,NEXON,Nexon Creative AMT,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Creative AMT,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative AMT,Top Speed,180 kmph
TATA,NEXON,Nexon Creative AMT,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative AMT,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative AMT,Steering Type,Electric
TATA,NEXON,Nexon Creative AMT,Steering Column,Tilt
TATA,NEXON,Nexon Creative AMT,Front Brake Type,Disc
TATA,NEXON,Nexon Creative AMT,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative AMT,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative AMT,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative AMT,Length,3995 mm
TATA,NEXON,Nexon Creative AMT,Width,1804 mm
TATA,NEXON,Nexon Creative AMT,Height,1620 mm
TATA,NEXON,Nexon Creative AMT,Boot Space,382 Litres
TATA,NEXON,Nexon Creative AMT,Seating Capacity,5
TATA,NEXON,Nexon Creative AMT,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative AMT,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative AMT,No. of Doors,5
TATA,NEXON,Nexon Creative AMT,Power Steering,YES
TATA,NEXON,Nexon Creative AMT,Air Conditioner,YES
TATA,NEXON,Nexon Creative AMT,Heater,YES
TATA,NEXON,Nexon Creative AMT,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative AMT,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative AMT,Ventilated Seats,NO
TATA,NEXON,Nexon Creative AMT,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative AMT,Air Quality Control,NO
