company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative Plus S Dark CNG,Engine Type,1.2L Turbocharged Revotorq
TATA,NEXON,Nexon Creative Plus S Dark CNG,Displacement,1199 cc
TATA,NEXON,Nexon Creative Plus S Dark CNG,Max Power,99bhp@5000rpm
TATA,NEXON,Nexon Creative Plus S Dark CNG,Max Torque,170Nm@2000rpm
TATA,NEXON,Nexon Creative Plus S Dark CNG,No. of Cylinders,3
TATA,NEXON,Nexon Creative Plus S Dark CNG,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative Plus S Dark CNG,Turbo Charger,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Transmission Type,Manual
TATA,NEXON,Nexon Creative Plus S Dark CNG,Gearbox,6-Speed
TATA,NEXON,Nexon Creative Plus S Dark CNG,Drive Type,FWD
TATA,NEXON,Nexon Creative Plus S Dark CNG,Fuel Type,CNG
TATA,NEXON,Nexon Creative Plus S Dark CNG,CNG Mileage ARAI,17.44 km/kg
TATA,NEXON,Nexon Creative Plus S Dark CNG,CNG Fuel Tank Capacity,60 Litres
TATA,NEXON,Nexon Creative Plus S Dark CNG,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative Plus S Dark CNG,Top Speed,180 kmph
TATA,NEXON,Nexon Creative Plus S Dark CNG,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative Plus S Dark CNG,Steering Type,Electric
TATA,NEXON,Nexon Creative Plus S Dark CNG,Steering Column,Tilt
TATA,NEXON,Nexon Creative Plus S Dark CNG,Front Brake Type,Disc
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative Plus S Dark CNG,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative Plus S Dark CNG,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative Plus S Dark CNG,Length,3995 mm
TATA,NEXON,Nexon Creative Plus S Dark CNG,Width,1804 mm
TATA,NEXON,Nexon Creative Plus S Dark CNG,Height,1620 mm
TATA,NEXON,Nexon Creative Plus S Dark CNG,Boot Space,321 Litres
TATA,NEXON,Nexon Creative Plus S Dark CNG,Seating Capacity,5
TATA,NEXON,Nexon Creative Plus S Dark CNG,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative Plus S Dark CNG,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative Plus S Dark CNG,No. of Doors,5
TATA,NEXON,Nexon Creative Plus S Dark CNG,Power Steering,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Air Conditioner,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Heater,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative Plus S Dark CNG,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Ventilated Seats,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Air Quality Control,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Accessory Power Outlet,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Trunk Light,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Creative Plus S Dark CNG,Adjustable Headrest,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear AC Vents,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Cruise Control,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Parking Sensors,Rear
TATA,NEXON,Nexon Creative Plus S Dark CNG,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Creative Plus S Dark CNG,KeyLess Entry,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Cooled Glovebox,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Voice Commands,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Paddle Shifters,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,USB Charger,Front
TATA,NEXON,Nexon Creative Plus S Dark CNG,Central Console Armrest,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Drive Modes,3
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Window Sunblind,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Voice assisted sunroof,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Power Windows,Front & Rear
TATA,NEXON,Nexon Creative Plus S Dark CNG,Tachometer,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Glove Box,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Digital Cluster,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Digital Cluster Size,4
TATA,NEXON,Nexon Creative Plus S Dark CNG,Upholstery,Fabric
TATA,NEXON,Nexon Creative Plus S Dark CNG,Adjustable Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rain Sensing Wiper,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Window Wiper,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Window Washer,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Window Defogger,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Wheel Covers,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Alloy Wheels,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Spoiler,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Integrated Antenna,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Cornering Foglamps,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Roof Rails,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Fog Lights,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Antenna,Shark Fin
TATA,NEXON,Nexon Creative Plus S Dark CNG,Sunroof,Single Pane
TATA,NEXON,Nexon Creative Plus S Dark CNG,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,NEXON,Nexon Creative Plus S Dark CNG,Tyre Size,215/60 R16
TATA,NEXON,Nexon Creative Plus S Dark CNG,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Creative Plus S Dark CNG,LED DRLs,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,LED Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,LED Taillights,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,LED Fog Lamps,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Central Locking,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Child Safety Locks,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,No. of Airbags,6
TATA,NEXON,Nexon Creative Plus S Dark CNG,Driver Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Passenger Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Side Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Side Airbag-Rear,NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Day & Night Rear View Mirror,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Curtain Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Electronic Brakeforce Distribution (EBD),YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Seat Belt Warning,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Door Ajar Warning,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Tyre Pressure Monitoring System (TPMS),NO
TATA,NEXON,Nexon Creative Plus S Dark CNG,Engine Immobilizer,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Electronic Stability Control (ESC),YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Rear Camera,With Guidedlines
TATA,NEXON,Nexon Creative Plus S Dark CNG,Speed Alert,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Speed Sensing Auto Door Lock,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,ISOFIX Child Seat Mounts,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,NEXON,Nexon Creative Plus S Dark CNG,Impact Sensing Auto Door Unlock,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,360 View Camera,YES
TATA,NEXON,Nexon Creative Plus S Dark CNG,Global NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S Dark CNG,Global NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S Dark CNG,Bharat NCAP Safety Rating,5 Star
