company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Engine Type,1.5L Turbocharged Revotorq
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Displacement,1497 cc
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Max Power,113.31bhp@3750rpm
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Max Torque,260Nm@1500-2750rpm
TATA,NEXON,Nexon Creative Plus S Dark Diesel,No. of Cylinders,4
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Turbo Charger,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Transmission Type,Manual
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Gearbox,6-Speed
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Drive Type,FWD
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Fuel Type,Diesel
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Diesel Mileage ARAI,23.23 kmpl
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Diesel Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Top Speed,180 kmph
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Steering Type,Electric
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Steering Column,Tilt
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Front Brake Type,Disc
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Length,3995 mm
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Width,1804 mm
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Height,1620 mm
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Boot Space,382 Litres
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Seating Capacity,5
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative Plus S Dark Diesel,No. of Doors,5
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Power Steering,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Air Conditioner,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Heater,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Ventilated Seats,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Air Quality Control,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Accessory Power Outlet,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Trunk Light,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Adjustable Headrest,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear AC Vents,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Cruise Control,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Parking Sensors,Rear
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Creative Plus S Dark Diesel,KeyLess Entry,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Cooled Glovebox,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Voice Commands,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Paddle Shifters,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,USB Charger,Front
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Central Console Armrest,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Drive Modes,3
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Window Sunblind,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Voice assisted sunroof,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Power Windows,Front & Rear
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Tachometer,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Glove Box,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Digital Cluster,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Digital Cluster Size,4
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Upholstery,Fabric
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Adjustable Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rain Sensing Wiper,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Window Wiper,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Window Washer,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Window Defogger,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Wheel Covers,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Alloy Wheels,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Rear Spoiler,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Integrated Antenna,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Cornering Foglamps,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Roof Rails,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Fog Lights,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Antenna,Shark Fin
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Sunroof,Single Pane
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Tyre Size,215/60 R16
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Creative Plus S Dark Diesel,LED DRLs,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,LED Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,LED Taillights,YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,LED Fog Lamps,NO
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Creative Plus S Dark Diesel,Central Locking,YES
