company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative Plus S,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Creative Plus S,Displacement,1199 cc
TATA,NEXON,Nexon Creative Plus S,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Creative Plus S,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Creative Plus S,No. of Cylinders,3
TATA,NEXON,Nexon Creative Plus S,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative Plus S,Turbo Charger,YES
TATA,NEXON,Nexon Creative Plus S,Transmission Type,Manual
TATA,NEXON,Nexon Creative Plus S,Gearbox,6-Speed
TATA,NEXON,Nexon Creative Plus S,Drive Type,FWD
TATA,NEXON,Nexon Creative Plus S,Fuel Type,Petrol
TATA,NEXON,Nexon Creative Plus S,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Creative Plus S,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Creative Plus S,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative Plus S,Top Speed,180 kmph
TATA,NEXON,Nexon Creative Plus S,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative Plus S,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative Plus S,Steering Type,Electric
TATA,NEXON,Nexon Creative Plus S,Steering Column,Tilt
TATA,NEXON,Nexon Creative Plus S,Front Brake Type,Disc
TATA,NEXON,Nexon Creative Plus S,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative Plus S,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative Plus S,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative Plus S,Length,3995 mm
TATA,NEXON,Nexon Creative Plus S,Width,1804 mm
TATA,NEXON,Nexon Creative Plus S,Height,1620 mm
TATA,NEXON,Nexon Creative Plus S,Boot Space,382 Litres
TATA,NEXON,Nexon Creative Plus S,Seating Capacity,5
TATA,NEXON,Nexon Creative Plus S,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative Plus S,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative Plus S,No. of Doors,5
TATA,NEXON,Nexon Creative Plus S,Power Steering,YES
TATA,NEXON,Nexon Creative Plus S,Air Conditioner,YES
TATA,NEXON,Nexon Creative Plus S,Heater,YES
TATA,NEXON,Nexon Creative Plus S,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative Plus S,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative Plus S,Ventilated Seats,NO
TATA,NEXON,Nexon Creative Plus S,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative Plus S,Air Quality Control,NO
TATA,NEXON,Nexon Creative Plus S,Accessory Power Outlet,YES
TATA,NEXON,Nexon Creative Plus S,Trunk Light,NO
TATA,NEXON,Nexon Creative Plus S,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Creative Plus S,Adjustable Headrest,YES
TATA,NEXON,Nexon Creative Plus S,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Creative Plus S,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Creative Plus S,Rear AC Vents,YES
TATA,NEXON,Nexon Creative Plus S,Cruise Control,NO
