company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Creative,Displacement,1199 cc
TATA,NEXON,Nexon Creative,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Creative,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Creative,No. of Cylinders,3
TATA,NEXON,Nexon Creative,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative,Turbo Charger,YES
TATA,NEXON,Nexon Creative,Transmission Type,Manual
TATA,NEXON,Nexon Creative,Gearbox,6-Speed
TATA,NEXON,Nexon Creative,Drive Type,FWD
TATA,NEXON,Nexon Creative,Fuel Type,Petrol
TATA,NEXON,Nexon Creative,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Creative,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Creative,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative,Top Speed,180 kmph
TATA,NEXON,Nexon Creative,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative,Steering Type,Electric
TATA,NEXON,Nexon Creative,Steering Column,Tilt
TATA,NEXON,Nexon Creative,Front Brake Type,Disc
TATA,NEXON,Nexon Creative,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative,Length,3995 mm
TATA,NEXON,Nexon Creative,Width,1804 mm
TATA,NEXON,Nexon Creative,Height,1620 mm
TATA,NEXON,Nexon Creative,Boot Space,382 Litres
TATA,NEXON,Nexon Creative,Seating Capacity,5
TATA,NEXON,Nexon Creative,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative,No. of Doors,5
TATA,NEXON,Nexon Creative,Power Steering,YES
TATA,NEXON,Nexon Creative,Air Conditioner,YES
TATA,NEXON,Nexon Creative,Heater,YES
TATA,NEXON,Nexon Creative,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative,Ventilated Seats,NO
TATA,NEXON,Nexon Creative,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative,Air Quality Control,NO
TATA,NEXON,Nexon Creative,Accessory Power Outlet,YES
TATA,NEXON,Nexon Creative,Trunk Light,NO
TATA,NEXON,Nexon Creative,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Creative,Adjustable Headrest,YES
TATA,NEXON,Nexon Creative,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Creative,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Creative,Rear AC Vents,YES
TATA,NEXON,Nexon Creative,Cruise Control,NO
TATA,NEXON,Nexon Creative,Parking Sensors,Rear
TATA,NEXON,Nexon Creative,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Creative,KeyLess Entry,YES
TATA,NEXON,Nexon Creative,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Creative,Cooled Glovebox,YES
TATA,NEXON,Nexon Creative,Voice Commands,NO
TATA,NEXON,Nexon Creative,Paddle Shifters,NO
TATA,NEXON,Nexon Creative,USB Charger,Front
TATA,NEXON,Nexon Creative,Central Console Armrest,YES
TATA,NEXON,Nexon Creative,Drive Modes,3
TATA,NEXON,Nexon Creative,Rear Window Sunblind,NO
TATA,NEXON,Nexon Creative,Automatic Headlamps,NO
TATA,NEXON,Nexon Creative,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Creative,Voice assisted sunroof,NO
TATA,NEXON,Nexon Creative,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Creative,Power Windows,Front & Rear
TATA,NEXON,Nexon Creative,Tachometer,YES
TATA,NEXON,Nexon Creative,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Creative,Glove Box,YES
TATA,NEXON,Nexon Creative,Digital Cluster,YES
TATA,NEXON,Nexon Creative,Digital Cluster Size,4
TATA,NEXON,Nexon Creative,Upholstery,Fabric
