company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Fearless Plus PS DT,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Fearless Plus PS DT,Displacement,1199 cc
TATA,NEXON,Nexon Fearless Plus PS DT,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Fearless Plus PS DT,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Fearless Plus PS DT,No. of Cylinders,3
TATA,NEXON,Nexon Fearless Plus PS DT,Valves Per Cylinder,4
TATA,NEXON,Nexon Fearless Plus PS DT,Turbo Charger,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Transmission Type,Manual
TATA,NEXON,Nexon Fearless Plus PS DT,Gearbox,6-Speed
TATA,NEXON,Nexon Fearless Plus PS DT,Drive Type,FWD
TATA,NEXON,Nexon Fearless Plus PS DT,Fuel Type,Petrol
TATA,NEXON,Nexon Fearless Plus PS DT,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Fearless Plus PS DT,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Fearless Plus PS DT,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Fearless Plus PS DT,Top Speed,180 kmph
TATA,NEXON,Nexon Fearless Plus PS DT,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Fearless Plus PS DT,Steering Type,Electric
TATA,NEXON,Nexon Fearless Plus PS DT,Steering Column,Tilt
TATA,NEXON,Nexon Fearless Plus PS DT,Front Brake Type,Disc
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Brake Type,Drum
TATA,NEXON,Nexon Fearless Plus PS DT,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Fearless Plus PS DT,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Fearless Plus PS DT,Length,3995 mm
TATA,NEXON,Nexon Fearless Plus PS DT,Width,1804 mm
TATA,NEXON,Nexon Fearless Plus PS DT,Height,1620 mm
TATA,NEXON,Nexon Fearless Plus PS DT,Boot Space,382 Litres
TATA,NEXON,Nexon Fearless Plus PS DT,Seating Capacity,5
TATA,NEXON,Nexon Fearless Plus PS DT,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Fearless Plus PS DT,Wheel Base,2498 mm
TATA,NEXON,Nexon Fearless Plus PS DT,No. of Doors,5
TATA,NEXON,Nexon Fearless Plus PS DT,Power Steering,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Air Conditioner,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Heater,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Adjustable Steering,Height only
TATA,NEXON,Nexon Fearless Plus PS DT,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Ventilated Seats,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Automatic Climate Control,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Air Quality Control,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Accessory Power Outlet,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Trunk Light,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Fearless Plus PS DT,Adjustable Headrest,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Seat Centre Arm Rest,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Height Adjustable Front Seat Belts,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rear AC Vents,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Cruise Control,NO
TATA,NEXON,Nexon Fearless Plus PS DT,Parking Sensors,Front & Rear
TATA,NEXON,Nexon Fearless Plus PS DT,Foldable Rear Seat,60:40 Split
TATA,NEXON,Nexon Fearless Plus PS DT,KeyLess Entry,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Cooled Glovebox,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Voice Commands,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Paddle Shifters,NO
TATA,NEXON,Nexon Fearless Plus PS DT,USB Charger,Front & Rear
TATA,NEXON,Nexon Fearless Plus PS DT,Central Console Armrest,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Drive Modes,3
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Window Sunblind,NO
TATA,NEXON,Nexon Fearless Plus PS DT,Automatic Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Voice assisted sunroof,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Drive Mode Types,ECO | CITY | SPORT
TATA,NEXON,Nexon Fearless Plus PS DT,Power Windows,Front & Rear
TATA,NEXON,Nexon Fearless Plus PS DT,Tachometer,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Leather Wrapped Steering Wheel,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Glove Box,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Additional Features,Parcel Tray
TATA,NEXON,Nexon Fearless Plus PS DT,Digital Cluster,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Digital Cluster Size,4
TATA,NEXON,Nexon Fearless Plus PS DT,Upholstery,Leatherette
TATA,NEXON,Nexon Fearless Plus PS DT,Adjustable Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rain Sensing Wiper,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Window Wiper,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Window Washer,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Window Defogger,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Wheel Covers,NO
TATA,NEXON,Nexon Fearless Plus PS DT,Alloy Wheels,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Rear Spoiler,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Integrated Antenna,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Cornering Foglamps,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Roof Rails,NO
TATA,NEXON,Nexon Fearless Plus PS DT,Automatic Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Fog Lights,Front
TATA,NEXON,Nexon Fearless Plus PS DT,Antenna,Shark Fin
TATA,NEXON,Nexon Fearless Plus PS DT,Sunroof,Panoramic
TATA,NEXON,Nexon Fearless Plus PS DT,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,NEXON,Nexon Fearless Plus PS DT,Tyre Size,215/60 R16
TATA,NEXON,Nexon Fearless Plus PS DT,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Fearless Plus PS DT,LED DRLs,YES
TATA,NEXON,Nexon Fearless Plus PS DT,LED Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS DT,LED Taillights,YES
TATA,NEXON,Nexon Fearless Plus PS DT,LED Fog Lamps,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Fearless Plus PS DT,Central Locking,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Child Safety Locks,YES
TATA,NEXON,Nexon Fearless Plus PS DT,No. of Airbags,6
TATA,NEXON,Nexon Fearless Plus PS DT,Driver Airbag,YES
TATA,NEXON,Nexon Fearless Plus PS DT,Passenger Airbag,YES
