company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Displacement,1199 cc
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Fearless Plus PS Red Dark,No. of Cylinders,3
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Valves Per Cylinder,4
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Turbo Charger,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Transmission Type,Manual
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Gearbox,6-Speed
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Drive Type,FWD
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Fuel Type,Petrol
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Top Speed,180 kmph
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Steering Type,Electric
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Steering Column,Tilt
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Front Brake Type,Disc
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Brake Type,Drum
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Length,3995 mm
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Width,1804 mm
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Height,1620 mm
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Boot Space,382 Litres
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Seating Capacity,5
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Wheel Base,2498 mm
TATA,NEXON,Nexon Fearless Plus PS Red Dark,No. of Doors,5
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Power Steering,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Air Conditioner,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Heater,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Adjustable Steering,Height only
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Ventilated Seats,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Automatic Climate Control,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Air Quality Control,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Accessory Power Outlet,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Trunk Light,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Adjustable Headrest,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Seat Centre Arm Rest,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Height Adjustable Front Seat Belts,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear AC Vents,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Cruise Control,NO
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Parking Sensors,Front & Rear
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Foldable Rear Seat,60:40 Split
TATA,NEXON,Nexon Fearless Plus PS Red Dark,KeyLess Entry,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Cooled Glovebox,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Voice Commands,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Paddle Shifters,NO
TATA,NEXON,Nexon Fearless Plus PS Red Dark,USB Charger,Front & Rear
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Central Console Armrest,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Drive Modes,3
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Window Sunblind,NO
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Automatic Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Voice assisted sunroof,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Drive Mode Types,ECO | CITY | SPORT
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Power Windows,Front & Rear
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Tachometer,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Leather Wrapped Steering Wheel,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Glove Box,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Additional Features,"Parcel Tray, Premium Benecke-Kaliko Ventilated Red Leatherette Seats"
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Digital Cluster,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Digital Cluster Size,4
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Upholstery,Leatherette
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Adjustable Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rain Sensing Wiper,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Window Wiper,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Window Washer,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Window Defogger,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Wheel Covers,NO
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Alloy Wheels,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Spoiler,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Integrated Antenna,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Cornering Foglamps,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Roof Rails,NO
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Automatic Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Fog Lights,Front
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Antenna,Shark Fin
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Sunroof,Panoramic
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Tyre Size,215/60 R16
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Fearless Plus PS Red Dark,LED DRLs,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,LED Headlamps,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,LED Taillights,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,LED Fog Lamps,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Central Locking,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Child Safety Locks,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,No. of Airbags,6
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Driver Airbag,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Passenger Airbag,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Side Airbag,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Side Airbag-Rear,NO
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Day & Night Rear View Mirror,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Curtain Airbag,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Electronic Brakeforce Distribution (EBD),YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Seat Belt Warning,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Door Ajar Warning,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Tyre Pressure Monitoring System (TPMS),YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Engine Immobilizer,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Electronic Stability Control (ESC),YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Rear Camera,With Guidedlines
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Speed Alert,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Speed Sensing Auto Door Lock,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,ISOFIX Child Seat Mounts,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Impact Sensing Auto Door Unlock,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,360 View Camera,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Global NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Global NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Bharat NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Bharat NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Radio,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Wireless Phone Charging,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Bluetooth Connectivity,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Touchscreen,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Touchscreen Size,10.24 inch
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Connectivity,"Android Auto, Apple CarPlay"
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Android Auto,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Apple CarPlay,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,No. of Speakers,4
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Usb Ports,YES
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Tweeters,4
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Subwoofer,1
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Additional Features,Wireless Android Auto™ & Apple Car Play™
TATA,NEXON,Nexon Fearless Plus PS Red Dark,Speakers,Front & Rear
