company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Pure Plus CNG,Engine Type,1.2L Turbocharged Revotorq
TATA,NEXON,Nexon Pure Plus CNG,Displacement,1199 cc
TATA,NEXON,Nexon Pure Plus CNG,Max Power,99bhp@5000rpm
TATA,NEXON,Nexon Pure Plus CNG,Max Torque,170Nm@2000rpm
TATA,NEXON,Nexon Pure Plus CNG,No. of Cylinders,3
TATA,NEXON,Nexon Pure Plus CNG,Valves Per Cylinder,4
TATA,NEXON,Nexon Pure Plus CNG,Turbo Charger,YES
TATA,NEXON,Nexon Pure Plus CNG,Transmission Type,Manual
TATA,NEXON,Nexon Pure Plus CNG,Gearbox,6-Speed
TATA,NEXON,Nexon Pure Plus CNG,Drive Type,FWD
TATA,NEXON,Nexon Pure Plus CNG,Fuel Type,CNG
TATA,NEXON,Nexon Pure Plus CNG,CNG Mileage ARAI,17.44 km/kg
TATA,NEXON,Nexon Pure Plus CNG,CNG Fuel Tank Capacity,60 Litres
TATA,NEXON,Nexon Pure Plus CNG,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Pure Plus CNG,Top Speed,180 kmph
TATA,NEXON,Nexon Pure Plus CNG,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Pure Plus CNG,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Pure Plus CNG,Steering Type,Electric
TATA,NEXON,Nexon Pure Plus CNG,Steering Column,Tilt
TATA,NEXON,Nexon Pure Plus CNG,Front Brake Type,Disc
TATA,NEXON,Nexon Pure Plus CNG,Rear Brake Type,Drum
TATA,NEXON,Nexon Pure Plus CNG,Length,3995 mm
TATA,NEXON,Nexon Pure Plus CNG,Width,1804 mm
TATA,NEXON,Nexon Pure Plus CNG,Height,1620 mm
TATA,NEXON,Nexon Pure Plus CNG,Boot Space,321 Litres
TATA,NEXON,Nexon Pure Plus CNG,Seating Capacity,5
TATA,NEXON,Nexon Pure Plus CNG,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Pure Plus CNG,Wheel Base,2498 mm
TATA,NEXON,Nexon Pure Plus CNG,No. of Doors,5
TATA,NEXON,Nexon Pure Plus CNG,Power Steering,YES
TATA,NEXON,Nexon Pure Plus CNG,Air Conditioner,YES
TATA,NEXON,Nexon Pure Plus CNG,Heater,YES
TATA,NEXON,Nexon Pure Plus CNG,Adjustable Steering,Height only
TATA,NEXON,Nexon Pure Plus CNG,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Pure Plus CNG,Ventilated Seats,NO
TATA,NEXON,Nexon Pure Plus CNG,Automatic Climate Control,NO
TATA,NEXON,Nexon Pure Plus CNG,Air Quality Control,NO
TATA,NEXON,Nexon Pure Plus CNG,Accessory Power Outlet,YES
TATA,NEXON,Nexon Pure Plus CNG,Trunk Light,NO
TATA,NEXON,Nexon Pure Plus CNG,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Pure Plus CNG,Adjustable Headrest,YES
TATA,NEXON,Nexon Pure Plus CNG,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Pure Plus CNG,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Pure Plus CNG,Rear AC Vents,YES
TATA,NEXON,Nexon Pure Plus CNG,Cruise Control,NO
TATA,NEXON,Nexon Pure Plus CNG,Parking Sensors,Rear
TATA,NEXON,Nexon Pure Plus CNG,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Pure Plus CNG,KeyLess Entry,YES
TATA,NEXON,Nexon Pure Plus CNG,Engine Start/Stop Button,NO
TATA,NEXON,Nexon Pure Plus CNG,Cooled Glovebox,NO
TATA,NEXON,Nexon Pure Plus CNG,Voice Commands,NO
TATA,NEXON,Nexon Pure Plus CNG,Paddle Shifters,NO
TATA,NEXON,Nexon Pure Plus CNG,USB Charger,Front
