company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Pure Plus Diesel AMT,Engine Type,1.5L Turbocharged Revotorq
TATA,NEXON,Nexon Pure Plus Diesel AMT,Displacement,1497 cc
TATA,NEXON,Nexon Pure Plus Diesel AMT,Max Power,113.31bhp@3750rpm
TATA,NEXON,Nexon Pure Plus Diesel AMT,Max Torque,260Nm@1500-2750rpm
TATA,NEXON,Nexon Pure Plus Diesel AMT,No. of Cylinders,4
TATA,NEXON,Nexon Pure Plus Diesel AMT,Valves Per Cylinder,4
TATA,NEXON,Nexon Pure Plus Diesel AMT,Turbo Charger,YES
TATA,NEXON,Nexon Pure Plus Diesel AMT,Transmission Type,Automatic
TATA,NEXON,Nexon Pure Plus Diesel AMT,Gearbox,6-Speed
TATA,NEXON,Nexon Pure Plus Diesel AMT,Drive Type,FWD
TATA,NEXON,Nexon Pure Plus Diesel AMT,Fuel Type,Diesel
TATA,NEXON,Nexon Pure Plus Diesel AMT,Diesel Mileage ARAI,24.08 kmpl
TATA,NEXON,Nexon Pure Plus Diesel AMT,Diesel Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Pure Plus Diesel AMT,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Pure Plus Diesel AMT,Top Speed,180 kmph
TATA,NEXON,Nexon Pure Plus Diesel AMT,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Pure Plus Diesel AMT,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Pure Plus Diesel AMT,Steering Type,Electric
TATA,NEXON,Nexon Pure Plus Diesel AMT,Steering Column,Tilt
TATA,NEXON,Nexon Pure Plus Diesel AMT,Front Brake Type,Disc
TATA,NEXON,Nexon Pure Plus Diesel AMT,Rear Brake Type,Drum
TATA,NEXON,Nexon Pure Plus Diesel AMT,Length,3995 mm
TATA,NEXON,Nexon Pure Plus Diesel AMT,Width,1804 mm
TATA,NEXON,Nexon Pure Plus Diesel AMT,Height,1620 mm
TATA,NEXON,Nexon Pure Plus Diesel AMT,Boot Space,382 Litres
TATA,NEXON,Nexon Pure Plus Diesel AMT,Seating Capacity,5
