company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Pure Plus S,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Pure Plus S,Displacement,1199 cc
TATA,NEXON,Nexon Pure Plus S,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Pure Plus S,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Pure Plus S,No. of Cylinders,3
TATA,NEXON,Nexon Pure Plus S,Valves Per Cylinder,4
TATA,NEXON,Nexon Pure Plus S,Turbo Charger,YES
TATA,NEXON,Nexon Pure Plus S,Transmission Type,Manual
TATA,NEXON,Nexon Pure Plus S,Gearbox,6-Speed
TATA,NEXON,Nexon Pure Plus S,Drive Type,FWD
TATA,NEXON,Nexon Pure Plus S,Fuel Type,Petrol
TATA,NEXON,Nexon Pure Plus S,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Pure Plus S,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Pure Plus S,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Pure Plus S,Top Speed,180 kmph
TATA,NEXON,Nexon Pure Plus S,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Pure Plus S,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Pure Plus S,Steering Type,Electric
TATA,NEXON,Nexon Pure Plus S,Steering Column,Tilt
TATA,NEXON,Nexon Pure Plus S,Front Brake Type,Disc
TATA,NEXON,Nexon Pure Plus S,Rear Brake Type,Drum
TATA,NEXON,Nexon Pure Plus S,Length,3995 mm
TATA,NEXON,Nexon Pure Plus S,Width,1804 mm
TATA,NEXON,Nexon Pure Plus S,Height,1620 mm
TATA,NEXON,Nexon Pure Plus S,Boot Space,382 Litres
TATA,NEXON,Nexon Pure Plus S,Seating Capacity,5
TATA,NEXON,Nexon Pure Plus S,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Pure Plus S,Wheel Base,2498 mm
TATA,NEXON,Nexon Pure Plus S,No. of Doors,5
