company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Smart CNG,Engine Type,1.2L Turbocharged Revotorq
TATA,NEXON,Nexon Smart CNG,Displacement,1199 cc
TATA,NEXON,Nexon Smart CNG,Max Power,99bhp@5000rpm
TATA,NEXON,Nexon Smart CNG,Max Torque,170Nm@2000rpm
TATA,NEXON,Nexon Smart CNG,No. of Cylinders,3
TATA,NEXON,Nexon Smart CNG,Valves Per Cylinder,4
TATA,NEXON,Nexon Smart CNG,Turbo Charger,YES
TATA,NEXON,Nexon Smart CNG,Transmission Type,Manual
TATA,NEXON,Nexon Smart CNG,Gearbox,6-Speed
TATA,NEXON,Nexon Smart CNG,Drive Type,FWD
TATA,NEXON,Nexon Smart CNG,Fuel Type,CNG
TATA,NEXON,Nexon Smart CNG,CNG Mileage ARAI,17.44 km/kg
TATA,NEXON,Nexon Smart CNG,CNG Fuel Tank Capacity,60 Litres
TATA,NEXON,Nexon Smart CNG,Secondary Fuel Type,Petrol
TATA,NEXON,Nexon Smart CNG,Petrol Fuel Tank Capacity (Litres),44.0
TATA,NEXON,Nexon Smart CNG,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Smart CNG,Top Speed,180 kmph
TATA,NEXON,Nexon Smart CNG,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Smart CNG,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Smart CNG,Steering Type,Electric
TATA,NEXON,Nexon Smart CNG,Steering Column,Tilt
TATA,NEXON,Nexon Smart CNG,Front Brake Type,Disc
TATA,NEXON,Nexon Smart CNG,Rear Brake Type,Drum
TATA,NEXON,Nexon Smart CNG,Length,3995 mm
TATA,NEXON,Nexon Smart CNG,Width,1804 mm
TATA,NEXON,Nexon Smart CNG,Height,1620 mm
TATA,NEXON,Nexon Smart CNG,Boot Space,321 Litres
TATA,NEXON,Nexon Smart CNG,Seating Capacity,5
TATA,NEXON,Nexon Smart CNG,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Smart CNG,Wheel Base,2498 mm
TATA,NEXON,Nexon Smart CNG,No. of Doors,5
TATA,NEXON,Nexon Smart CNG,Power Steering,YES
TATA,NEXON,Nexon Smart CNG,Air Conditioner,YES
TATA,NEXON,Nexon Smart CNG,Heater,YES
TATA,NEXON,Nexon Smart CNG,Adjustable Steering,Height only
TATA,NEXON,Nexon Smart CNG,Height Adjustable Driver Seat,NO
TATA,NEXON,Nexon Smart CNG,Ventilated Seats,NO
TATA,NEXON,Nexon Smart CNG,Automatic Climate Control,NO
TATA,NEXON,Nexon Smart CNG,Air Quality Control,NO
TATA,NEXON,Nexon Smart CNG,Accessory Power Outlet,YES
TATA,NEXON,Nexon Smart CNG,Trunk Light,NO
TATA,NEXON,Nexon Smart CNG,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Smart CNG,Adjustable Headrest,YES
TATA,NEXON,Nexon Smart CNG,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Smart CNG,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Smart CNG,Rear AC Vents,NO
TATA,NEXON,Nexon Smart CNG,Cruise Control,NO
TATA,NEXON,Nexon Smart CNG,Parking Sensors,Rear
TATA,NEXON,Nexon Smart CNG,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Smart CNG,KeyLess Entry,YES
TATA,NEXON,Nexon Smart CNG,Engine Start/Stop Button,NO
TATA,NEXON,Nexon Smart CNG,Cooled Glovebox,NO
TATA,NEXON,Nexon Smart CNG,Voice Commands,NO
TATA,NEXON,Nexon Smart CNG,Paddle Shifters,NO
TATA,NEXON,Nexon Smart CNG,USB Charger,NO
TATA,NEXON,Nexon Smart CNG,Central Console Armrest,NO
TATA,NEXON,Nexon Smart CNG,Drive Modes,3
TATA,NEXON,Nexon Smart CNG,Rear Window Sunblind,NO
TATA,NEXON,Nexon Smart CNG,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart CNG,Follow Me Home Headlamps,NO
TATA,NEXON,Nexon Smart CNG,Voice assisted sunroof,NO
TATA,NEXON,Nexon Smart CNG,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Smart CNG,Power Windows,Front Only
TATA,NEXON,Nexon Smart CNG,Tachometer,YES
TATA,NEXON,Nexon Smart CNG,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Smart CNG,Glove Box,YES
TATA,NEXON,Nexon Smart CNG,Digital Cluster,YES
TATA,NEXON,Nexon Smart CNG,Upholstery,Fabric
TATA,NEXON,Nexon Smart CNG,Adjustable Headlamps,YES
TATA,NEXON,Nexon Smart CNG,Rain Sensing Wiper,NO
TATA,NEXON,Nexon Smart CNG,Rear Window Wiper,NO
TATA,NEXON,Nexon Smart CNG,Rear Window Washer,NO
TATA,NEXON,Nexon Smart CNG,Rear Window Defogger,NO
TATA,NEXON,Nexon Smart CNG,Wheel Covers,YES
TATA,NEXON,Nexon Smart CNG,Alloy Wheels,NO
TATA,NEXON,Nexon Smart CNG,Rear Spoiler,YES
TATA,NEXON,Nexon Smart CNG,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Smart CNG,Integrated Antenna,YES
TATA,NEXON,Nexon Smart CNG,Cornering Foglamps,NO
TATA,NEXON,Nexon Smart CNG,Roof Rails,NO
TATA,NEXON,Nexon Smart CNG,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart CNG,Fog Lights,NO
TATA,NEXON,Nexon Smart CNG,Antenna,Pole Type
TATA,NEXON,Nexon Smart CNG,Sunroof,NO
TATA,NEXON,Nexon Smart CNG,Outside Rear View Mirror (ORVM),Manual
TATA,NEXON,Nexon Smart CNG,Tyre Size,195/60 R16
TATA,NEXON,Nexon Smart CNG,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Smart CNG,Wheel Size,16 Inch
TATA,NEXON,Nexon Smart CNG,LED DRLs,YES
TATA,NEXON,Nexon Smart CNG,LED Headlamps,YES
TATA,NEXON,Nexon Smart CNG,LED Taillights,YES
TATA,NEXON,Nexon Smart CNG,LED Fog Lamps,NO
TATA,NEXON,Nexon Smart CNG,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Smart CNG,Central Locking,YES
TATA,NEXON,Nexon Smart CNG,Child Safety Locks,YES
TATA,NEXON,Nexon Smart CNG,No. of Airbags,6
TATA,NEXON,Nexon Smart CNG,Driver Airbag,YES
TATA,NEXON,Nexon Smart CNG,Passenger Airbag,YES
TATA,NEXON,Nexon Smart CNG,Side Airbag,YES
TATA,NEXON,Nexon Smart CNG,Side Airbag-Rear,NO
TATA,NEXON,Nexon Smart CNG,Day & Night Rear View Mirror,YES
TATA,NEXON,Nexon Smart CNG,Curtain Airbag,YES
TATA,NEXON,Nexon Smart CNG,Electronic Brakeforce Distribution (EBD),YES
TATA,NEXON,Nexon Smart CNG,Seat Belt Warning,YES
TATA,NEXON,Nexon Smart CNG,Door Ajar Warning,YES
TATA,NEXON,Nexon Smart CNG,Tyre Pressure Monitoring System (TPMS),NO
TATA,NEXON,Nexon Smart CNG,Engine Immobilizer,YES
TATA,NEXON,Nexon Smart CNG,Electronic Stability Control (ESC),YES
TATA,NEXON,Nexon Smart CNG,Rear Camera,NO
TATA,NEXON,Nexon Smart CNG,Speed Alert,YES
TATA,NEXON,Nexon Smart CNG,Speed Sensing Auto Door Lock,YES
TATA,NEXON,Nexon Smart CNG,ISOFIX Child Seat Mounts,YES
TATA,NEXON,Nexon Smart CNG,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,NEXON,Nexon Smart CNG,Impact Sensing Auto Door Unlock,YES
TATA,NEXON,Nexon Smart CNG,360 View Camera,NO
TATA,NEXON,Nexon Smart CNG,Global NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Smart CNG,Global NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Smart CNG,Bharat NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Smart CNG,Bharat NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Smart CNG,Radio,NO
TATA,NEXON,Nexon Smart CNG,Wireless Phone Charging,NO
TATA,NEXON,Nexon Smart CNG,Bluetooth Connectivity,NO
TATA,NEXON,Nexon Smart CNG,Touchscreen,NO
TATA,NEXON,Nexon Smart CNG,Android Auto,NO
