company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Accomplished CNG,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Accomplished CNG,Displacement,1199 cc
TATA,PUNCH,Punch Accomplished CNG,Max Power,72bhp@6000rpm
TATA,PUNCH,Punch Accomplished CNG,Max Torque,103Nm@3500rpm
TATA,PUNCH,Punch Accomplished CNG,No. of Cylinders,3
TATA,PUNCH,Punch Accomplished CNG,Valves Per Cylinder,4
TATA,PUNCH,Punch Accomplished CNG,Turbo Charger,NO
TATA,PUNCH,Punch Accomplished CNG,Transmission Type,Manual
TATA,PUNCH,Punch Accomplished CNG,Gearbox,5-Speed
TATA,PUNCH,Punch Accomplished CNG,Drive Type,FWD
TATA,PUNCH,Punch Accomplished CNG,Fuel Type,CNG
TATA,PUNCH,Punch Accomplished CNG,CNG Fuel Tank Capacity,60 Litres
TATA,PUNCH,Punch Accomplished CNG,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Accomplished CNG,Top Speed,150 kmph
TATA,PUNCH,Punch Accomplished CNG,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Accomplished CNG,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Accomplished CNG,Steering Type,Electric
TATA,PUNCH,Punch Accomplished CNG,Steering Column,Tilt
TATA,PUNCH,Punch Accomplished CNG,Front Brake Type,Disc
TATA,PUNCH,Punch Accomplished CNG,Rear Brake Type,Drum
TATA,PUNCH,Punch Accomplished CNG,Alloy Wheel Size Front,16 Inch
TATA,PUNCH,Punch Accomplished CNG,Alloy Wheel Size Rear,16 Inch
TATA,PUNCH,Punch Accomplished CNG,Length,3876 mm
TATA,PUNCH,Punch Accomplished CNG,Width,1742 mm
TATA,PUNCH,Punch Accomplished CNG,Height,1615 mm
TATA,PUNCH,Punch Accomplished CNG,Boot Space,210 Litres
TATA,PUNCH,Punch Accomplished CNG,Seating Capacity,5
TATA,PUNCH,Punch Accomplished CNG,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Accomplished CNG,Wheel Base,2445 mm
TATA,PUNCH,Punch Accomplished CNG,No. of Doors,5
TATA,PUNCH,Punch Accomplished CNG,Power Steering,YES
TATA,PUNCH,Punch Accomplished CNG,Air Conditioner,YES
TATA,PUNCH,Punch Accomplished CNG,Heater,YES
TATA,PUNCH,Punch Accomplished CNG,Adjustable Steering,Height only
TATA,PUNCH,Punch Accomplished CNG,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Accomplished CNG,Automatic Climate Control,YES
TATA,PUNCH,Punch Accomplished CNG,Air Quality Control,YES
TATA,PUNCH,Punch Accomplished CNG,Accessory Power Outlet,YES
TATA,PUNCH,Punch Accomplished CNG,Vanity Mirror,YES
TATA,PUNCH,Punch Accomplished CNG,Rear Seat Headrest,Adjustable
TATA,PUNCH,Punch Accomplished CNG,Adjustable Headrest,YES
TATA,PUNCH,Punch Accomplished CNG,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Accomplished CNG,Rear AC Vents,YES
TATA,PUNCH,Punch Accomplished CNG,Cruise Control,YES
TATA,PUNCH,Punch Accomplished CNG,Parking Sensors,Rear
TATA,PUNCH,Punch Accomplished CNG,KeyLess Entry,YES
TATA,PUNCH,Punch Accomplished CNG,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Accomplished CNG,Cooled Glovebox,YES
TATA,PUNCH,Punch Accomplished CNG,Paddle Shifters,NO
TATA,PUNCH,Punch Accomplished CNG,USB Charger,Front & Rear
TATA,PUNCH,Punch Accomplished CNG,Central Console Armrest,YES
TATA,PUNCH,Punch Accomplished CNG,Drive Modes,2
TATA,PUNCH,Punch Accomplished CNG,Idle Start-Stop System,YES
TATA,PUNCH,Punch Accomplished CNG,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Accomplished CNG,Voice assisted sunroof,NO
TATA,PUNCH,Punch Accomplished CNG,Drive Mode Types,ECO | CITY
TATA,PUNCH,Punch Accomplished CNG,Power Windows,Front & Rear
TATA,PUNCH,Punch Accomplished CNG,Tachometer,YES
