company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Accomplished Plus S Turbo,Engine Type,1.2 l Turbocharged
TATA,PUNCH,Punch Accomplished Plus S Turbo,Displacement,1199 cc
TATA,PUNCH,Punch Accomplished Plus S Turbo,Max Power,118bhp@5500rpm
TATA,PUNCH,Punch Accomplished Plus S Turbo,Max Torque,170Nm@1750-4000rpm
TATA,PUNCH,Punch Accomplished Plus S Turbo,No. of Cylinders,3
TATA,PUNCH,Punch Accomplished Plus S Turbo,Valves Per Cylinder,4
TATA,PUNCH,Punch Accomplished Plus S Turbo,Turbo Charger,YES
TATA,PUNCH,Punch Accomplished Plus S Turbo,Transmission Type,Manual
TATA,PUNCH,Punch Accomplished Plus S Turbo,Gearbox,6-Speed
TATA,PUNCH,Punch Accomplished Plus S Turbo,Drive Type,FWD
TATA,PUNCH,Punch Accomplished Plus S Turbo,Fuel Type,Petrol
TATA,PUNCH,Punch Accomplished Plus S Turbo,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Accomplished Plus S Turbo,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Accomplished Plus S Turbo,Top Speed,150 kmph
TATA,PUNCH,Punch Accomplished Plus S Turbo,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Accomplished Plus S Turbo,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Accomplished Plus S Turbo,Steering Type,Electric
TATA,PUNCH,Punch Accomplished Plus S Turbo,Steering Column,Tilt
TATA,PUNCH,Punch Accomplished Plus S Turbo,Front Brake Type,Disc
TATA,PUNCH,Punch Accomplished Plus S Turbo,Rear Brake Type,Drum
TATA,PUNCH,Punch Accomplished Plus S Turbo,Alloy Wheel Size Front,16 Inch
TATA,PUNCH,Punch Accomplished Plus S Turbo,Alloy Wheel Size Rear,16 Inch
TATA,PUNCH,Punch Accomplished Plus S Turbo,Length,3876 mm
TATA,PUNCH,Punch Accomplished Plus S Turbo,Width,1742 mm
TATA,PUNCH,Punch Accomplished Plus S Turbo,Height,1615 mm
TATA,PUNCH,Punch Accomplished Plus S Turbo,Boot Space,366 Litres
TATA,PUNCH,Punch Accomplished Plus S Turbo,Seating Capacity,5
TATA,PUNCH,Punch Accomplished Plus S Turbo,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Accomplished Plus S Turbo,Wheel Base,2445 mm
TATA,PUNCH,Punch Accomplished Plus S Turbo,No. of Doors,5
TATA,PUNCH,Punch Accomplished Plus S Turbo,Power Steering,YES
TATA,PUNCH,Punch Accomplished Plus S Turbo,Air Conditioner,YES
TATA,PUNCH,Punch Accomplished Plus S Turbo,Heater,YES
TATA,PUNCH,Punch Accomplished Plus S Turbo,Adjustable Steering,Height only
