company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Adventure CNG,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Adventure CNG,Displacement,1199 cc
TATA,PUNCH,Punch Adventure CNG,Max Power,72bhp@6000rpm
TATA,PUNCH,Punch Adventure CNG,Max Torque,103Nm@3500rpm
TATA,PUNCH,Punch Adventure CNG,No. of Cylinders,3
TATA,PUNCH,Punch Adventure CNG,Valves Per Cylinder,4
TATA,PUNCH,Punch Adventure CNG,Turbo Charger,NO
TATA,PUNCH,Punch Adventure CNG,Transmission Type,Manual
TATA,PUNCH,Punch Adventure CNG,Gearbox,5-Speed
TATA,PUNCH,Punch Adventure CNG,Drive Type,FWD
TATA,PUNCH,Punch Adventure CNG,Fuel Type,CNG
TATA,PUNCH,Punch Adventure CNG,CNG Fuel Tank Capacity,60 Litres
TATA,PUNCH,Punch Adventure CNG,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Adventure CNG,Top Speed,150 kmph
TATA,PUNCH,Punch Adventure CNG,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Adventure CNG,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Adventure CNG,Steering Type,Electric
TATA,PUNCH,Punch Adventure CNG,Steering Column,Tilt
TATA,PUNCH,Punch Adventure CNG,Front Brake Type,Disc
TATA,PUNCH,Punch Adventure CNG,Rear Brake Type,Drum
TATA,PUNCH,Punch Adventure CNG,Length,3876 mm
TATA,PUNCH,Punch Adventure CNG,Width,1742 mm
TATA,PUNCH,Punch Adventure CNG,Height,1615 mm
TATA,PUNCH,Punch Adventure CNG,Boot Space,210 Litres
TATA,PUNCH,Punch Adventure CNG,Seating Capacity,5
TATA,PUNCH,Punch Adventure CNG,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Adventure CNG,Wheel Base,2445 mm
TATA,PUNCH,Punch Adventure CNG,No. of Doors,5
TATA,PUNCH,Punch Adventure CNG,Power Steering,YES
TATA,PUNCH,Punch Adventure CNG,Air Conditioner,YES
TATA,PUNCH,Punch Adventure CNG,Heater,YES
TATA,PUNCH,Punch Adventure CNG,Adjustable Steering,Height only
TATA,PUNCH,Punch Adventure CNG,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Adventure CNG,Automatic Climate Control,YES
