company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Adventure S CNG,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Adventure S CNG,Displacement,1199 cc
TATA,PUNCH,Punch Adventure S CNG,Max Power,72bhp@6000rpm
TATA,PUNCH,Punch Adventure S CNG,Max Torque,103Nm@3500rpm
TATA,PUNCH,Punch Adventure S CNG,No. of Cylinders,3
TATA,PUNCH,Punch Adventure S CNG,Valves Per Cylinder,4
TATA,PUNCH,Punch Adventure S CNG,Turbo Charger,NO
TATA,PUNCH,Punch Adventure S CNG,Transmission Type,Manual
TATA,PUNCH,Punch Adventure S CNG,Gearbox,5-Speed
TATA,PUNCH,Punch Adventure S CNG,Drive Type,FWD
TATA,PUNCH,Punch Adventure S CNG,Fuel Type,CNG
TATA,PUNCH,Punch Adventure S CNG,CNG Fuel Tank Capacity,60 Litres
TATA,PUNCH,Punch Adventure S CNG,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Adventure S CNG,Top Speed,150 kmph
TATA,PUNCH,Punch Adventure S CNG,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Adventure S CNG,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Adventure S CNG,Steering Type,Electric
TATA,PUNCH,Punch Adventure S CNG,Steering Column,Tilt
TATA,PUNCH,Punch Adventure S CNG,Front Brake Type,Disc
TATA,PUNCH,Punch Adventure S CNG,Rear Brake Type,Drum
TATA,PUNCH,Punch Adventure S CNG,Length,3876 mm
TATA,PUNCH,Punch Adventure S CNG,Width,1742 mm
TATA,PUNCH,Punch Adventure S CNG,Height,1615 mm
TATA,PUNCH,Punch Adventure S CNG,Boot Space,210 Litres
TATA,PUNCH,Punch Adventure S CNG,Seating Capacity,5
TATA,PUNCH,Punch Adventure S CNG,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Adventure S CNG,Wheel Base,2445 mm
TATA,PUNCH,Punch Adventure S CNG,No. of Doors,5
TATA,PUNCH,Punch Adventure S CNG,Power Steering,YES
TATA,PUNCH,Punch Adventure S CNG,Air Conditioner,YES
TATA,PUNCH,Punch Adventure S CNG,Heater,YES
TATA,PUNCH,Punch Adventure S CNG,Adjustable Steering,Height only
TATA,PUNCH,Punch Adventure S CNG,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Adventure S CNG,Automatic Climate Control,YES
TATA,PUNCH,Punch Adventure S CNG,Air Quality Control,YES
TATA,PUNCH,Punch Adventure S CNG,Accessory Power Outlet,YES
TATA,PUNCH,Punch Adventure S CNG,Vanity Mirror,YES
TATA,PUNCH,Punch Adventure S CNG,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Adventure S CNG,Adjustable Headrest,YES
TATA,PUNCH,Punch Adventure S CNG,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Adventure S CNG,Rear AC Vents,YES
TATA,PUNCH,Punch Adventure S CNG,Cruise Control,YES
TATA,PUNCH,Punch Adventure S CNG,Parking Sensors,Rear
TATA,PUNCH,Punch Adventure S CNG,KeyLess Entry,YES
TATA,PUNCH,Punch Adventure S CNG,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Adventure S CNG,Cooled Glovebox,NO
TATA,PUNCH,Punch Adventure S CNG,Paddle Shifters,NO
TATA,PUNCH,Punch Adventure S CNG,USB Charger,Front & Rear
TATA,PUNCH,Punch Adventure S CNG,Central Console Armrest,YES
TATA,PUNCH,Punch Adventure S CNG,Drive Modes,2
TATA,PUNCH,Punch Adventure S CNG,Idle Start-Stop System,YES
TATA,PUNCH,Punch Adventure S CNG,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Adventure S CNG,Voice assisted sunroof,YES
TATA,PUNCH,Punch Adventure S CNG,Power Windows,Front & Rear
TATA,PUNCH,Punch Adventure S CNG,Tachometer,YES
TATA,PUNCH,Punch Adventure S CNG,Leather Wrapped Steering Wheel,NO
TATA,PUNCH,Punch Adventure S CNG,Leather wrap gear-shift selector,NO
TATA,PUNCH,Punch Adventure S CNG,Glove Box,YES
TATA,PUNCH,Punch Adventure S CNG,Digital Cluster,YES
TATA,PUNCH,Punch Adventure S CNG,Digital Cluster Size,4
TATA,PUNCH,Punch Adventure S CNG,Rain Sensing Wiper,YES
TATA,PUNCH,Punch Adventure S CNG,Rear Window Wiper,YES
TATA,PUNCH,Punch Adventure S CNG,Rear Window Washer,YES
TATA,PUNCH,Punch Adventure S CNG,Rear Window Defogger,YES
TATA,PUNCH,Punch Adventure S CNG,Wheel Covers,YES
TATA,PUNCH,Punch Adventure S CNG,Alloy Wheels,NO
TATA,PUNCH,Punch Adventure S CNG,Rear Spoiler,NO
TATA,PUNCH,Punch Adventure S CNG,Outside Rear View Mirror Turn Indicators,YES
TATA,PUNCH,Punch Adventure S CNG,Integrated Antenna,YES
TATA,PUNCH,Punch Adventure S CNG,Cornering Foglamps,NO
TATA,PUNCH,Punch Adventure S CNG,Roof Rails,YES
TATA,PUNCH,Punch Adventure S CNG,Automatic Headlamps,YES
TATA,PUNCH,Punch Adventure S CNG,Antenna,Shark Fin
TATA,PUNCH,Punch Adventure S CNG,Sunroof,Single Pane
TATA,PUNCH,Punch Adventure S CNG,Puddle Lamps,NO
TATA,PUNCH,Punch Adventure S CNG,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,PUNCH,Punch Adventure S CNG,Tyre Size,185/70 R15
TATA,PUNCH,Punch Adventure S CNG,Tyre Type,Radial Tubeless
TATA,PUNCH,Punch Adventure S CNG,Wheel Size,15 Inch
TATA,PUNCH,Punch Adventure S CNG,LED DRLs,NO
